,index,abs_baso_discharge_value
0,,1173125
1,0.02,97997
2,0.03,82180
3,0.01,81255
4,0.04,49215
5,<0.03,40067
6,0.05,28257
7,0.00,24838
8,0.06,16312
9,0.07,9350
10,0.08,5598
11,0.0,5340
12,0.09,3495
13,0.10,2836
14,0.11,1506
15,0.1,1235
16,0.12,1074
17,Unable to assay. Clotted specimen.,784
18,0.13,744
19,Account Credited,687
20,0.14,600
21,0.15,420
22,0.16,328
23,Unable to report,317
24,0.17,259
25,0.18,218
26,0.20,204
27,0.19,183
28,Too Few Cells To Do Differential,125
29,0.21,103
30,0.2,86
31,0.22,86
32,0.23,77
33,0.25,71
34,0.24,68
35,Unable to assay. Quantity not sufficient.,53
36,Duplicate request,45
37,0.26,43
38,0.28,42
39,0.30,38
40,Unable to assay. No specimen received.,36
41,0.27,33
42,0.29,32
43,Unable to assay. Specimen incorrectly identified.,28
44,0.32,25
45,0.31,24
46,0.3,22
47,0.33,20
48,0.34,19
49,Microtainer specimen,19
50,0.36,16
51,0.39,15
52,0.37,14
53,0,12
54,0.35,10
55,0.42,10
56,0.38,10
57,REVISED,9
58,Requisitioning entry error,9
59,Unable to assay. Specimen improperly collected/handled.,8
60,0.41,8
61,0.57,8
62,Unable to quantitate due to possible contamination.,7
63,0.46,7
64,0.56,7
65,Unable to assay. Possible interfering substance(s) present.,6
66,0.5,6
67,0.50,6
68,0.4,6
69,Specimen received unlabelled.,5
70,0.43,5
71,Cancelled by clinician,5
72,20,5
73,0.40,5
74,Ignore results. Specimen was contaminated,5
75,0.44,5
76,31,4
77,19,4
78,25,4
79,Manual review follows,4
80,0.45,4
81,9,4
82,0.52,4
83,0.55,4
84,41,4
85,"Test accessioning error,please disregard.",4
86,0.62,4
87,0.47,3
88,"CANCELLED,Specimen not collected or received",3
89,13,3
90,0.7,3
91,11,3
92,0.8,3
93,0.54,3
94,0.49,3
95,32,3
96,0.58,3
97,0.6,3
98,0.48,2
99,0.80,2
100,0.51,2
101,0.76,2
102,0.78,2
103,1.00,2
104,10,2
105,0.91,2
106,1.50,2
107,0.67,2
108,0.66,2
109,0.85,2
110,0.89,2
111,0.53,2
112,1.51,2
113,1.74,2
114,0.74,2
115,36,2
116,Ignore results.  Specimen clotted.,2
117,53,2
118,35,2
119,34,2
120,30,2
121,58,2
122,28,2
123,27,2
124,26,2
125,Ignore results. Specimen clotted.,2
126,22,2
127,50,2
128,Identity unclear. Specimen labelled incorrectly.,2
129,78,2
130,Test inadvertently not performed,2
131,18,2
132,SEE MANUAL DIFF BELOW,1
133,0.60,1
134,0.61,1
135,SPECIMEN CLOTTED,1
136,0.71,1
137,Unable to assay. Primary specimen no longer available for additional,1
138,Specimen drawn in wrong tube.,1
139,Unable to assay. Broken/spilled in transit.,1
140,0.63,1
141,Specimen contaminated,1
142,Unable to assay.  Unable to locate specimen.,1
143,Specimen no longer available for testing.,1
144,0.59,1
145,0.65,1
146,<<DO NOT REPORT>>,1
147,Results called to and read back by:,1
148,Patient expired,1
149,98,1
150,0.72,1
151,CLTD,1
152,CNDUPL,1
153,Called to,1
154,Clerical Error,1
155,Disregard results.,1
156,IMPCOL,1
157,Ignore results. Specimen hemolyzed,1
158,Ignore results. Specimen mislabeled,1
159,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
160,MISLABELED,1
161,ACRE,1
162,Medical record number mismatch. Disregard results.,1
163,Patient discharged,1
164,CLOTTED,1
165,0.93,1
166,0.73,1
167,21,1
168,37,1
169,3.9,1
170,3,1
171,29.79,1
172,29,1
173,24,1
174,23,1
175,2.99,1
176,175,1
177,2.98,1
178,2.81,1
179,2.70,1
180,2.56,1
181,2.51,1
182,2.18,1
183,2.00,1
184,4.29,1
185,40,1
186,44,1
187,45,1
188,83,1
189,74,1
190,70,1
191,69,1
192,65,1
193,64,1
194,63,1
195,62,1
196,60,1
197,6.57,1
198,6.36,1
199,57,1
200,51,1
201,48,1
202,47,1
203,0.75,1
204,2,1
205,17,1
206,16,1
207,1.17,1
208,1.14,1
209,1.13,1
210,1.10,1
211,1.07,1
212,0.97,1
213,0.96,1
214,0.94,1
215,84,1
216,0.9,1
217,0.87,1
218,0.84,1
219,0.83,1
220,0.82,1
221,0.79,1
222,1.21,1
223,1.25,1
224,1.40,1
225,1.91,1
226,14,1
227,138,1
228,12,1
229,119,1
230,94,1
231,1.98,1
232,1.95,1
233,1.60,1
234,1.6,1
235,1.56,1
236,1.53,1
237,1.46,1
238,1.44,1
239,10.59,1
240,1.78,0
241,REQUEST CREDITED,0
242,7.21,0
243,12.51,0
