,index,abs_eosin_discharge_value
0,,1171967
1,0.00,31171
2,0.01,20593
3,0.03,18199
4,0.04,17532
5,0.06,17517
6,0.05,17490
7,0.07,16999
8,<0.03,16531
9,0.08,16453
10,0.09,16185
11,0.10,15881
12,0.02,15498
13,0.11,14877
14,0.12,14252
15,0.13,13288
16,0.14,12747
17,0.15,11693
18,0.16,11172
19,0.17,10469
20,0.18,9582
21,0.19,9035
22,0.20,8847
23,0.21,7756
24,0.22,7310
25,0.23,6734
26,0.24,6238
27,0.25,5671
28,0.26,5383
29,0.27,4907
30,0.28,4511
31,0.29,4147
32,0.30,4013
33,0.31,3616
34,0.32,3292
35,0.33,3074
36,0.34,2866
37,0.35,2785
38,0.36,2524
39,0.0,2436
40,0.1,2207
41,0.37,2207
42,0.38,2014
43,0.39,1950
44,0.40,1870
45,0.41,1646
46,0.42,1591
47,0.43,1479
48,0.44,1394
49,0.45,1284
50,0.46,1220
51,0.47,1134
52,0.2,1078
53,0.48,1067
54,0.49,969
55,0.50,882
56,0.51,860
57,0.52,788
58,Unable to assay. Clotted specimen.,784
59,0.53,772
60,Account Credited,687
61,0.55,671
62,0.54,657
63,0.56,638
64,0.57,585
65,0.58,550
66,0.3,505
67,0.59,497
68,0.60,490
69,0.62,451
70,0.61,445
71,0.63,399
72,0.65,366
73,0.64,362
74,0.67,339
75,0.66,338
76,Unable to report,317
77,0.69,291
78,0.71,281
79,0.68,273
80,0.72,261
81,0.73,259
82,0.70,257
83,0.74,251
84,0.76,244
85,0.77,218
86,0.75,217
87,0.78,217
88,0.4,207
89,0.81,190
90,0.80,183
91,0.79,181
92,0.82,171
93,0.83,162
94,0.86,143
95,0.85,141
96,0.87,137
97,0.89,134
98,Too Few Cells To Do Differential,125
99,0.84,124
100,0.92,122
101,0.88,119
102,0.93,116
103,0.90,116
104,0.5,103
105,0.91,98
106,0.94,97
107,1.00,97
108,0.97,90
109,0.99,88
110,0.95,86
111,0.98,77
112,0.96,76
113,0.6,76
114,1.01,72
115,1.04,71
116,1.09,68
117,1.06,66
118,1.08,63
119,1.03,62
120,1.11,58
121,1.02,56
122,1.10,56
123,1.12,55
124,1.26,54
125,1.19,54
126,Unable to assay. Quantity not sufficient.,53
127,1.21,52
128,1.16,51
129,1.07,51
130,1.05,48
131,1.15,47
132,1.20,47
133,Duplicate request,45
134,1.14,45
135,1.13,40
136,1.30,40
137,1.23,39
138,1.22,39
139,1.24,39
140,1.18,39
141,1.17,39
142,1.25,37
143,Unable to assay. No specimen received.,36
144,1.32,35
145,1.33,33
146,0.7,33
147,1.40,32
148,1.35,31
149,1.38,30
150,1.27,30
151,1.41,30
152,1.31,28
153,1.28,27
154,Unable to assay. Specimen incorrectly identified.,27
155,1.58,26
156,1.29,25
157,1.44,25
158,1.36,24
159,1.37,24
160,1.34,23
161,1.39,22
162,1.59,22
163,1.56,21
164,1.51,20
165,1.55,20
166,1.52,20
167,1.42,20
168,1.47,19
169,1.48,19
170,1.65,19
171,1.61,19
172,Microtainer specimen,19
173,1.67,18
174,1.60,18
175,1.49,18
176,1.43,16
177,1.80,15
178,1.69,15
179,1.54,15
180,1.46,15
181,1.62,14
182,1.45,14
183,1.57,13
184,1.63,13
185,1.70,13
186,1.50,12
187,1.64,12
188,1.75,12
189,1.72,12
190,1.73,12
191,1.74,12
192,1.82,11
193,1.77,11
194,0.9,11
195,1.71,11
196,0.8,11
197,1.85,11
198,1.76,10
199,1.79,10
200,1.66,10
201,1.81,10
202,0,10
203,1.89,9
204,1.84,9
205,REVISED,9
206,Requisitioning entry error,9
207,1.95,9
208,1.92,9
209,1.53,9
210,1.83,8
211,1.78,8
212,1.93,8
213,1.68,8
214,Unable to assay. Specimen improperly collected/handled.,8
215,Unable to quantitate due to possible contamination.,7
216,1.86,7
217,1.0,7
218,1.87,7
219,1.96,7
220,1.94,7
221,Unable to assay. Possible interfering substance(s) present.,6
222,1.91,6
223,1.99,6
224,1.1,6
225,Ignore results. Specimen was contaminated,5
226,1.88,5
227,1.98,5
228,1.90,5
229,2.12,5
230,69,5
231,2.10,5
232,Cancelled by clinician,5
233,Specimen received unlabelled.,5
234,"Test accessioning error,please disregard.",4
235,2.01,4
236,2.27,4
237,2.20,4
238,2.09,4
239,2.48,4
240,2.59,4
241,1.2,4
242,1.3,4
243,2.70,3
244,3.44,3
245,2.45,3
246,1.5,3
247,"CANCELLED,Specimen not collected or received",3
248,Manual review follows,3
249,2.31,3
250,96,3
251,2.30,3
252,2.29,3
253,2.28,3
254,10,3
255,2.16,3
256,1.97,3
257,2.71,3
258,2.02,3
259,1.6,3
260,2.13,3
261,2.19,3
262,2.06,3
263,2.05,3
264,2.04,3
265,2.00,3
266,2.25,3
267,2.49,3
268,1.4,3
269,2.51,2
270,2.65,2
271,51,2
272,Test inadvertently not performed,2
273,2.52,2
274,48,2
275,20,2
276,2.63,2
277,2.90,2
278,5.18,2
279,2.33,2
280,2.34,2
281,3.08,2
282,2.58,2
283,2.43,2
284,5,2
285,2.73,2
286,2.17,2
287,160,2
288,Identity unclear. Specimen labelled incorrectly.,2
289,2.0,2
290,Ignore results. Specimen clotted.,2
291,4.17,2
292,4.18,2
293,140,2
294,2.03,2
295,Ignore results.  Specimen clotted.,2
296,3.46,2
297,2.22,2
298,326,2
299,90,2
300,366,1
301,368,1
302,474,1
303,318,1
304,5.10,1
305,365,1
306,5.04,1
307,37.07,1
308,352,1
309,5.24,1
310,5.30,1
311,5.37,1
312,32,1
313,56,1
314,451,1
315,4.60,1
316,43,1
317,30,1
318,4.56,1
319,4.54,1
320,4.53,1
321,4.38,1
322,4.30,1
323,4.21,1
324,317,1
325,4.12,1
326,4.03,1
327,4.61,1
328,4.66,1
329,4.72,1
330,4.92,1
331,403,1
332,4.58,1
333,4.05,1
334,58,1
335,2.54,1
336,59,1
337,Patient discharged,1
338,CLTD,1
339,CNDUPL,1
340,Called to,1
341,Clerical Error,1
342,Disregard results.,1
343,IMPCOL,1
344,Ignore results. Specimen mislabeled,1
345,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
346,MISLABELED,1
347,Medical record number mismatch. Disregard results.,1
348,Patient expired,1
349,ACRE,1
350,Results called to and read back by:,1
351,SEE MANUAL DIFF BELOW,1
352,SPECIMEN CLOTTED,1
353,Specimen contaminated,1
354,Specimen drawn in wrong tube.,1
355,Specimen hemolyzed.,1
356,Specimen no longer available for testing.,1
357,Unable to assay.  Unable to locate specimen.,1
358,Unable to assay. Broken/spilled in transit.,1
359,Unable to assay. Primary specimen no longer available for additional,1
360,CLOTTED,1
361,95,1
362,6.25,1
363,7.54,1
364,6.82,1
365,6.87,1
366,61,1
367,614,1
368,62,1
369,64,1
370,68,1
371,698,1
372,7.20,1
373,7.28,1
374,72,1
375,918,1
376,745,1
377,750,1
378,78,1
379,8,1
380,804,1
381,83,1
382,9.39,1
383,3.95,1
384,9.56,1
385,9.93,1
386,3.96,1
387,3.09,1
388,3.92,1
389,3.89,1
390,15.70,1
391,15,1
392,148,1
393,147,1
394,143,1
395,142,1
396,138,1
397,132,1
398,13.88,1
399,122,1
400,12.29,1
401,119,1
402,115,1
403,109,1
404,107,1
405,102,1
406,10.7,1
407,2.6,1
408,2.60,1
409,2.62,1
410,2.68,1
411,2.69,1
412,2.76,1
413,2.77,1
414,2.81,1
415,15.83,1
416,150,1
417,156,1
418,2.15,1
419,2.47,1
420,2.41,1
421,2.40,1
422,2.39,1
423,2.38,1
424,2.37,1
425,2.26,1
426,2.24,1
427,2.23,1
428,2.21,1
429,2.18,1
430,2.1,1
431,157,1
432,2.08,1
433,190,1
434,2.57,1
435,188,1
436,185,1
437,18,1
438,172,1
439,170,1
440,17.18,1
441,162,1
442,158,1
443,2.83,1
444,2.85,1
445,2.86,1
446,2.87,1
447,3.11,1
448,3.17,1
449,3.18,1
450,3.23,1
451,3.25,1
452,3.27,1
453,3.31,1
454,3.32,1
455,3.36,1
456,3.37,1
457,3.39,1
458,3.40,1
459,3.41,1
460,3.49,1
461,3.51,1
462,3.58,1
463,3.59,1
464,3.61,1
465,3.63,1
466,3.64,1
467,3.65,1
468,3.66,1
469,3.79,1
470,3.82,1
471,3.86,1
472,3.10,1
473,3.1,1
474,2.53,1
475,3.07,1
476,2.91,1
477,2.92,1
478,2.94,1
