,index,abs_lymph_admit_value
0,,1187228
1,1.30,2330
2,1.50,2313
3,1.39,2313
4,1.20,2304
5,1.29,2300
6,1.33,2293
7,1.41,2289
8,1.40,2287
9,1.10,2280
10,1.09,2279
11,1.43,2264
12,1.18,2260
13,1.23,2256
14,1.32,2252
15,1.12,2240
16,1.52,2240
17,1.46,2231
18,1.25,2216
19,1.35,2216
20,1.27,2215
21,1.45,2213
22,1.19,2213
23,1.13,2205
24,1.14,2199
25,1.34,2197
26,1.60,2195
27,1.26,2186
28,1.49,2185
29,1.00,2177
30,1.38,2177
31,1.47,2175
32,1.17,2175
33,1.24,2174
34,1.54,2174
35,1.28,2171
36,1.11,2165
37,1.21,2158
38,1.44,2158
39,1.57,2157
40,1.31,2153
41,1.48,2152
42,1.42,2149
43,1.37,2147
44,1.02,2147
45,1.22,2141
46,1.05,2140
47,1.07,2128
48,1.53,2126
49,1.51,2124
50,1.08,2121
51,1.59,2116
52,1.15,2114
53,1.06,2113
54,1.56,2113
55,1.55,2108
56,1.61,2106
57,0.99,2104
58,1.16,2103
59,1.36,2094
60,1.58,2084
61,1.62,2072
62,1.01,2067
63,0.97,2062
64,1.66,2060
65,1.63,2055
66,1.70,2050
67,0.95,2048
68,1.04,2042
69,1.73,2041
70,1.68,2033
71,1.64,2029
72,0.98,2028
73,1.03,2021
74,0.93,2017
75,1.65,2016
76,0.94,2015
77,1.74,2010
78,1.71,1993
79,0.96,1987
80,1.72,1980
81,1.67,1975
82,0.90,1956
83,1.80,1946
84,0.92,1933
85,1.69,1929
86,0.91,1914
87,0.88,1910
88,1.75,1910
89,0.89,1890
90,1.78,1881
91,1.77,1870
92,1.79,1858
93,1.81,1842
94,1.85,1840
95,0.85,1840
96,1.76,1833
97,0.87,1833
98,1.89,1827
99,1.87,1820
100,0.84,1806
101,1.83,1800
102,0.86,1797
103,1.92,1796
104,1.86,1789
105,0.80,1779
106,1.84,1774
107,0.83,1773
108,1.91,1764
109,1.82,1762
110,1.88,1759
111,1.93,1744
112,1.90,1743
113,0.82,1725
