,index,abs_mono_discharge_value
0,,1136737
1,0.50,7553
2,0.60,7548
3,0.53,7268
4,0.55,7267
5,0.56,7250
6,0.57,7239
7,0.52,7218
8,0.48,7188
9,0.54,7158
10,0.59,7157
11,0.58,7151
12,0.51,7130
13,0.61,7116
14,0.49,6987
15,0.63,6907
16,0.47,6885
17,0.62,6835
18,0.65,6767
19,0.64,6763
20,0.46,6663
21,0.66,6637
22,0.45,6425
23,0.67,6406
24,0.44,6361
25,0.68,6336
26,0.70,6296
27,0.69,6270
28,0.42,6151
29,0.43,6142
30,0.40,6123
31,0.41,5916
32,0.71,5869
33,0.72,5754
34,0.73,5543
35,0.75,5449
36,0.39,5427
37,0.74,5370
38,0.76,5166
39,0.38,5159
40,0.80,5059
41,0.77,5058
42,0.79,5035
43,0.78,4991
44,0.37,4910
45,0.36,4761
46,0.81,4632
47,0.82,4519
48,0.35,4360
49,0.83,4321
50,0.34,4179
51,0.84,4103
52,0.85,3978
53,0.86,3974
54,0.33,3949
55,0.87,3804
56,0.88,3709
57,0.32,3678
58,0.89,3651
59,0.90,3598
60,0.91,3444
61,0.92,3352
62,0.31,3323
63,0.30,3216
64,0.94,3195
65,0.93,3176
66,0.95,2928
67,0.29,2928
68,0.96,2927
69,0.97,2825
70,0.98,2788
71,0.28,2698
72,1.00,2653
73,1.01,2562
74,0.99,2509
75,0.27,2440
76,1.02,2378
77,1.04,2319
78,1.03,2254
79,0.26,2141
80,1.06,2115
81,1.05,2111
82,1.07,2074
83,1.08,1957
84,0.25,1955
85,1.09,1924
86,1.10,1847
87,1.11,1812
88,1.12,1765
89,0.24,1741
90,1.13,1724
91,1.15,1655
92,0.23,1635
93,1.14,1607
94,1.16,1565
95,0.22,1483
96,1.17,1427
97,1.18,1401
98,1.19,1366
99,0.21,1342
100,1.20,1334
101,1.21,1317
102,1.22,1281
103,0.20,1212
104,0.6,1178
105,1.23,1169
106,0.5,1148
107,0.19,1138
108,1.24,1129
109,1.25,1119
110,1.26,1094
111,1.27,1075
112,1.28,1054
113,1.29,999
114,1.30,978
115,0.7,971
116,0.18,966
117,1.31,909
118,1.32,906
