,index,absolute_nrbc_admit_value
0,,1567461
1,<0.01,36538
2,0.00,19414
3,0.02,1135
4,0.01,1092
5,0.03,516
6,0.04,323
7,0.05,253
8,0.06,213
9,0.08,161
10,0.07,156
11,0.09,135
12,0.10,112
13,0.11,101
14,0.13,77
15,0.12,74
16,0.14,73
17,0.15,69
18,0.17,65
19,0.21,58
20,0.23,56
21,Unable to report,56
22,0.18,54
23,Unable to assay. Clotted specimen.,53
24,0.16,48
25,0.20,47
26,0.19,46
27,0.22,43
28,0.26,33
29,0.27,32
30,0.24,30
31,0.25,30
32,0.29,27
33,0.33,26
34,0.32,25
35,0.36,25
36,0.28,24
37,0.31,24
38,0.38,23
39,0.30,23
40,0.51,23
41,0.35,21
42,Account Credited,20
43,0.41,20
44,0.53,19
45,0.37,19
46,0.40,19
47,0.46,19
48,0.55,18
49,<<DO NOT REPORT>>,18
50,0.43,18
51,0.42,17
52,0.56,17
53,0.57,17
54,0.48,16
55,0.60,16
56,0.67,16
57,0,16
58,0.39,15
59,0.49,15
60,0.45,15
61,0.34,14
62,0.44,14
63,0.71,14
64,0.90,13
65,0.70,12
66,0.47,12
67,0.81,12
68,0.61,12
69,0.66,11
70,0.64,11
71,0.96,11
72,0.52,11
73,0.87,11
74,0.59,10
75,0.68,10
76,0.82,10
77,0.54,10
78,0.50,10
79,0.74,9
80,0.65,9
81,Duplicate request,9
82,0.78,9
83,0.69,9
84,0.79,9
85,0.75,8
86,0.77,8
87,1.14,8
88,0.72,8
89,0.91,8
90,0.85,8
91,0.95,8
92,1.05,8
93,1.12,7
94,0.98,7
95,0.86,7
96,1.01,7
97,1.03,7
98,1.02,7
99,0.80,7
100,1.41,7
101,Unable to assay. No specimen received.,7
102,0.84,6
103,0.62,6
104,1.11,6
105,0.97,6
106,0.73,6
107,1.31,6
108,1.04,6
109,0.89,6
110,1.19,6
111,0.76,6
112,1.17,5
113,1.24,5
114,1.39,5
115,1.40,5
116,1.08,5
117,1.54,5
118,1.37,5
119,1.45,5
120,0.63,5
121,0.58,5
122,0.99,5
123,0.94,5
124,0.92,5
125,1.15,4
126,1.00,4
127,1.29,4
128,1.49,4
129,1.53,4
130,0.88,4
131,2.20,4
132,1.35,4
133,1.58,4
134,1.10,4
135,1.13,4
136,2.58,4
137,2.71,4
138,1.65,4
139,1.07,4
140,0.93,4
141,1.51,3
142,1.38,3
143,1.64,3
144,1.60,3
145,1.52,3
146,1.90,3
147,0.0,3
148,1.56,3
149,1.57,3
150,1.78,3
151,1.36,3
152,1.71,3
153,1.23,3
154,1.06,3
155,2.42,3
156,2.08,3
157,2.09,3
158,1.26,3
159,1.20,3
160,2.12,3
161,0.83,3
162,1.32,2
163,1.69,2
164,1.09,2
165,1.61,2
166,1.16,2
167,1.59,2
168,1.18,2
169,1.25,2
170,1.28,2
171,1.50,2
172,1.48,2
173,1.47,2
174,1.44,2
175,Unable to assay. Possible interfering substance(s) present.,2
176,LCAN LOCATION ROUTING ERROR,2
177,7.16,2
178,1.27,2
179,1.73,2
180,1.77,2
181,2.14,2
182,1.87,2
183,2.35,2
184,2.38,2
185,2.11,2
186,3.71,2
187,2.48,2
188,2.03,2
189,2.56,2
190,2.90,2
191,1.97,2
192,1.94,2
193,1.89,2
194,3.45,2
195,1.74,2
196,1.82,2
197,3.35,2
198,2.94,2
199,1.80,2
200,3.04,2
201,3.65,1
202,3.60,1
203,3.29,1
204,4.77,1
205,3.27,1
206,4.17,1
207,4.80,1
208,3.23,1
209,3.59,1
210,3.76,1
211,3.17,1
212,4.96,1
213,3.30,1
214,4.58,1
215,4.73,1
216,3.57,1
217,4.37,1
218,4.35,1
219,4.31,1
220,3.53,1
221,3.46,1
222,4.21,1
223,5.14,1
224,3.43,1
225,3.42,1
226,3.41,1
227,3.32,1
228,3.38,1
229,5.04,1
230,1.72,1
231,3.78,1
232,5.21,1
233,8.87,1
234,80.37,1
235,9.15,1
236,Cancelled,1
237,0.1,1
238,3.92,1
239,Identity unclear. Specimen labelled incorrectly.,1
240,3.95,1
241,Specimen received unlabelled.,1
242,Test Not Indicated,1
243,Test incorrectly ordered.,1
244,3.96,1
245,3.97,1
246,Unable to assay. Quantity not sufficient.,1
247,0.004,1
248,Unable to assay. Specimen incorrectly identified.,1
249,3.99,1
250,8.86,1
251,8.51,1
252,7.92,1
253,6.47,1
254,5.26,1
255,3.12,1
256,5.35,1
257,3.83,1
258,5.77,1
259,5.80,1
260,6.19,1
261,6.58,1
262,7.81,1
263,6.89,1
264,6.95,1
265,6.98,1
266,68.25,1
267,7.20,1
268,7.32,1
269,7.67,1
270,3.14,1
271,3.03,1
272,3.11,1
273,1.33,1
274,14.74,1
275,15.99,1
276,19.40,1
277,19.79,1
278,19.82,1
279,1.34,1
280,2.00,1
281,12.31,1
282,1.30,1
283,2.04,1
284,2.05,1
285,2.06,1
286,1.22,1
287,2.15,1
288,1.43,1
289,4.03,1
290,2.24,1
291,1.63,1
292,1.70,1
293,1.75,1
294,1.68,1
295,1.67,1
296,1.76,1
297,4.10,1
298,1.62,1
299,11.93,1
300,1.81,1
301,1.84,1
302,1.95,1
303,1.99,1
304,10.59,1
305,11.62,1
306,2.18,1
307,2.13,1
308,2.26,1
309,2.67,1
310,2.79,1
311,2.82,1
312,2.84,1
313,2.85,1
314,2.87,1
315,2.89,1
316,2.91,1
317,2.93,1
318,2.95,1
319,2.96,1
320,2.97,1
321,21.92,1
322,22.07,1
323,3.02,1
324,3.09,1
325,2.70,1
326,2.68,1
327,2.50,1
328,2.59,1
329,2.31,1
330,2.39,1
331,2.40,1
332,2.45,1
333,2.47,1
334,2.54,1
335,4.06,1
336,2.65,1
337,2.66,1
338,9.03,0
339,12.88,0
340,3.55,0
341,4.97,0
342,3.16,0
343,5.49,0
344,2.10,0
345,2.78,0
346,3.85,0
347,2.61,0
348,6.26,0
349,3.40,0
350,1.85,0
351,7.57,0
352,16.78,0
