,index,admit_date
0,2018-06-18,832
1,2018-07-23,830
2,2018-06-12,810
3,2018-08-20,809
4,2018-07-09,808
5,2018-09-18,807
6,2017-10-16,802
7,2018-02-13,800
8,2018-06-25,799
9,2018-06-13,799
10,2018-05-21,798
11,2018-05-14,798
12,2018-09-10,798
13,2017-12-11,796
14,2017-12-18,793
15,2018-03-12,790
16,2018-07-02,789
17,2018-06-04,788
18,2017-10-02,787
19,2018-07-16,787
20,2018-05-07,787
21,2018-09-17,787
22,2018-02-19,785
23,2018-04-09,785
24,2017-11-13,785
25,2018-09-11,784
26,2018-05-15,783
27,2018-06-26,782
28,2018-03-27,782
29,2018-08-21,782
30,2014-01-14,781
31,2018-07-10,781
32,2017-12-05,779
33,2018-09-04,779
34,2018-07-05,778
35,2018-04-23,776
36,2017-11-14,776
37,2018-08-13,776
38,2017-12-19,775
39,2018-10-09,774
40,2017-10-17,774
41,2017-11-28,773
42,2017-11-06,772
43,2018-01-16,772
44,2018-06-05,771
45,2018-07-31,770
46,2018-06-11,770
47,2018-08-22,769
48,2018-01-03,768
49,2018-03-20,768
50,2018-01-09,768
51,2017-10-09,767
52,2018-05-22,767
53,2018-06-27,767
54,2018-10-01,763
55,2018-06-07,762
56,2017-12-20,762
57,2017-10-23,762
58,2017-10-30,761
59,2018-01-22,760
60,2015-02-23,758
61,2018-07-27,758
62,2014-07-08,757
63,2018-08-14,757
64,2018-04-27,756
65,2018-08-01,755
66,2018-08-06,755
67,2018-05-29,755
68,2014-12-08,754
69,2018-07-03,753
70,2018-01-08,753
71,2018-08-15,752
72,2017-12-04,752
73,2018-07-17,752
74,2018-05-23,752
75,2018-08-28,751
76,2018-08-27,751
77,2018-01-12,751
78,2017-10-24,751
79,2018-03-13,751
80,2014-12-02,750
81,2018-04-16,750
82,2014-12-09,749
83,2018-04-30,749
84,2018-03-05,749
85,2018-03-01,748
86,2018-10-08,748
87,2018-05-01,746
88,2018-06-19,746
89,2018-07-06,745
90,2018-05-30,745
91,2018-04-12,745
92,2018-06-06,744
93,2018-04-24,744
94,2017-11-27,744
95,2018-04-19,744
96,2015-03-16,744
97,2018-01-11,743
98,2018-10-15,743
99,2018-05-17,743
100,2015-04-20,742
101,2018-05-24,742
102,2018-01-26,741
103,2017-10-03,741
104,2018-07-30,741
105,2018-02-05,741
106,2018-01-29,740
107,2018-02-15,740
108,2018-05-10,740
109,2018-04-03,740
110,2017-10-10,740
111,2018-03-23,739
112,2018-06-21,739
113,2018-09-13,739
114,2018-09-24,739
115,2015-06-15,739
116,2015-06-22,738
117,2014-12-16,737
118,2014-05-12,737
119,2018-05-16,737
120,2014-12-10,736
121,2018-04-17,736
122,2017-01-18,736
123,2018-01-19,736
124,2014-06-02,735
125,2018-02-20,735
126,2017-03-21,735
127,2018-05-09,735
128,2015-07-07,734
129,2017-11-09,734
130,2018-08-07,734
131,2018-08-23,734
132,2018-01-05,733
133,2018-01-23,733
134,2014-11-11,733
135,2018-05-08,732
136,2017-03-06,732
137,2018-02-06,732
138,2017-12-07,732
139,2017-10-19,732
140,2015-03-17,732
141,2018-09-26,731
142,2017-10-12,731
143,2018-09-05,730
144,2017-11-02,730
145,2013-12-02,730
146,2014-07-22,730
147,2018-03-19,729
148,2018-04-02,729
149,2018-07-13,729
150,2017-03-20,729
151,2018-06-29,729
152,2017-02-21,728
153,2018-10-03,728
154,2018-02-23,728
155,2018-03-26,727
156,2014-04-14,727
157,2017-10-25,727
158,2017-01-04,727
159,2018-07-18,726
160,2018-08-16,725
161,2018-05-31,725
162,2018-07-11,725
163,2017-11-21,725
164,2018-09-07,725
165,2016-11-29,724
166,2015-03-10,724
167,2018-10-04,724
168,2017-12-06,723
169,2014-04-29,723
170,2017-12-12,723
171,2014-08-19,723
172,2015-07-06,723
173,2015-01-05,723
174,2016-05-31,723
175,2017-11-29,723
176,2018-06-20,722
177,2015-01-20,722
178,2017-05-23,722
179,2018-07-24,722
180,2015-08-25,721
181,2017-01-23,721
182,2018-08-08,721
183,2018-07-19,720
184,2018-09-14,720
185,2017-11-16,720
186,2017-12-28,720
187,2018-04-18,719
188,2014-12-01,719
189,2018-02-14,719
190,2015-04-09,719
191,2018-09-12,719
192,2018-09-25,719
193,2018-03-15,719
194,2017-12-08,719
195,2018-01-24,718
196,2016-11-08,718
197,2014-07-14,718
198,2017-10-11,718
199,2014-10-13,717
200,2017-11-03,717
201,2014-05-05,717
202,2018-07-26,717
203,2015-01-06,717
204,2018-01-10,717
205,2018-05-03,717
206,2017-11-07,716
207,2014-04-08,716
208,2018-03-14,716
209,2018-02-16,716
210,2015-09-22,715
211,2013-03-05,715
212,2018-08-10,715
213,2018-01-04,715
214,2017-11-20,715
215,2018-02-27,715
216,2018-10-02,714
217,2018-10-11,714
218,2017-10-31,714
219,2017-01-24,714
220,2017-10-18,714
221,2017-05-22,713
222,2017-12-27,713
223,2017-02-07,713
224,2018-04-13,713
225,2018-02-08,713
226,2017-09-25,713
227,2018-06-28,713
228,2016-03-07,713
229,2017-09-19,713
230,2017-02-22,712
231,2018-07-25,712
232,2014-09-15,712
233,2018-05-18,712
234,2018-02-09,712
235,2018-04-10,712
236,2017-11-30,711
237,2015-05-26,711
238,2012-12-03,711
239,2014-12-15,710
240,2014-05-27,710
241,2018-02-07,710
242,2016-07-11,710
243,2014-07-29,709
244,2018-08-09,709
245,2012-09-24,709
246,2015-07-20,709
247,2018-03-30,709
248,2018-05-02,708
249,2017-02-23,708
250,2018-01-17,708
251,2014-12-29,708
252,2017-03-07,708
253,2014-11-24,708
254,2014-06-17,708
255,2014-09-09,708
256,2018-06-08,707
257,2013-07-23,707
258,2012-06-11,707
259,2015-01-12,707
260,2017-04-10,707
261,2014-09-02,707
262,2014-06-03,707
263,2018-01-02,706
264,2014-09-22,706
265,2014-02-24,706
266,2014-08-05,706
267,2013-12-16,706
268,2015-04-21,705
269,2017-07-11,705
270,2018-02-28,705
271,2015-11-30,705
272,2015-01-19,705
273,2014-08-04,704
274,2017-02-09,704
275,2016-11-28,704
276,2016-09-12,704
277,2017-03-27,704
278,2017-12-21,704
279,2018-09-20,704
280,2017-02-27,703
281,2018-06-22,703
282,2016-08-29,703
283,2015-04-07,703
284,2014-10-27,703
285,2013-09-16,703
286,2015-04-14,703
287,2015-02-09,703
288,2015-05-04,703
289,2017-11-17,702
290,2013-05-21,702
291,2018-03-28,702
292,2014-11-17,702
293,2015-04-08,702
294,2017-06-06,702
295,2018-02-26,701
296,2014-05-28,701
297,2015-10-06,701
298,2017-01-12,701
299,2014-05-22,701
300,2018-08-30,700
301,2015-03-09,700
302,2016-11-14,700
303,2018-01-15,700
304,2017-01-17,700
305,2017-09-05,700
306,2014-06-16,699
307,2014-09-16,699
308,2015-12-01,699
309,2017-04-04,699
310,2017-01-03,699
311,2017-06-26,699
312,2015-11-19,699
313,2017-10-04,699
314,2017-07-10,699
315,2013-12-03,699
316,2014-08-11,699
317,2014-07-15,698
318,2017-04-27,698
319,2015-07-08,698
320,2016-12-29,698
321,2015-03-31,698
322,2014-05-29,698
323,2014-06-23,698
324,2018-08-03,698
325,2017-04-17,697
326,2017-10-27,697
327,2014-06-30,697
328,2017-10-05,697
329,2014-02-26,697
330,2018-03-07,697
331,2013-06-25,697
332,2014-10-14,697
333,2017-05-01,697
334,2018-04-26,697
335,2015-09-29,697
336,2017-01-25,696
337,2017-04-24,696
338,2013-12-17,696
339,2015-04-15,696
340,2018-04-20,696
341,2018-08-29,696
342,2014-08-25,695
343,2018-09-06,695
344,2017-09-29,695
345,2015-12-07,695
346,2015-09-08,695
347,2016-12-19,695
348,2017-04-11,695
349,2017-03-13,695
350,2017-05-18,694
351,2015-09-28,694
352,2017-12-14,694
353,2014-08-12,694
354,2014-12-03,694
355,2018-10-10,694
356,2018-02-12,693
357,2014-01-13,693
358,2016-11-03,693
359,2013-07-16,693
360,2013-03-12,693
361,2016-12-05,693
362,2017-05-02,693
363,2017-04-25,693
364,2015-07-14,692
365,2018-10-22,692
366,2016-04-11,692
367,2018-07-12,692
368,2016-11-30,692
369,2015-12-14,691
370,2014-02-25,691
371,2015-01-26,691
372,2014-11-04,691
373,2017-09-27,691
374,2014-03-11,691
375,2014-09-08,690
376,2015-10-13,690
377,2014-03-10,690
378,2018-09-19,690
379,2018-05-11,690
380,2015-02-10,690
381,2017-09-21,690
382,2018-01-30,689
383,2018-04-06,689
384,2014-03-20,689
385,2013-04-22,689
386,2014-09-10,689
387,2015-07-21,689
388,2018-09-27,689
389,2016-08-10,689
390,2017-09-26,689
391,2018-04-05,689
392,2018-06-14,688
393,2016-03-28,688
394,2017-02-13,688
395,2015-08-24,688
396,2015-07-13,688
397,2016-03-14,688
398,2012-11-26,688
399,2013-04-29,688
400,2015-08-19,688
401,2014-03-17,688
402,2018-01-18,688
403,2017-02-14,688
404,2014-11-25,688
405,2016-12-07,687
406,2013-04-09,687
407,2014-12-17,687
408,2015-03-18,687
409,2016-12-27,687
410,2013-01-03,687
411,2016-04-05,687
412,2014-12-05,687
413,2014-10-21,686
414,2017-11-01,686
415,2015-09-23,686
416,2016-12-28,686
417,2014-07-07,686
418,2017-08-01,686
419,2017-01-20,686
420,2015-01-13,686
421,2017-09-28,686
422,2013-02-19,685
423,2015-05-19,685
424,2017-02-06,685
425,2017-12-26,685
426,2014-07-21,685
427,2018-03-22,685
428,2017-05-15,685
429,2016-04-12,684
430,2017-09-18,684
431,2013-09-23,684
432,2015-08-11,684
433,2017-10-26,684
434,2015-07-27,684
435,2015-11-17,684
436,2018-05-04,684
437,2015-06-16,684
438,2018-02-01,684
439,2015-12-29,683
440,2015-02-03,683
441,2018-08-02,683
442,2014-09-24,683
443,2018-01-25,683
444,2015-01-07,683
445,2018-03-02,682
446,2017-05-08,682
447,2017-06-29,682
448,2015-03-30,682
449,2015-01-14,681
450,2017-04-03,681
451,2017-05-31,681
452,2015-11-16,681
453,2016-03-22,681
454,2015-10-27,681
455,2015-05-05,680
456,2014-04-22,680
457,2018-07-20,680
458,2014-04-28,680
459,2018-02-02,680
460,2016-09-21,680
461,2013-05-14,680
462,2016-11-16,680
463,2015-09-17,680
464,2013-09-17,680
465,2015-02-24,680
466,2017-09-11,680
467,2012-10-22,679
468,2018-10-16,679
469,2016-06-27,679
470,2017-01-09,679
471,2014-07-30,679
472,2017-03-30,679
473,2013-01-14,679
474,2015-04-28,679
475,2016-02-16,679
476,2016-06-07,679
477,2015-08-17,679
478,2014-09-29,679
479,2012-11-27,679
480,2017-07-25,678
481,2017-06-05,678
482,2015-06-08,678
483,2017-07-06,678
484,2016-02-08,678
485,2015-05-12,678
486,2017-02-15,678
487,2013-06-24,678
488,2015-11-18,678
489,2013-04-15,678
490,2014-01-08,678
491,2013-08-05,678
492,2017-01-10,677
493,2015-02-18,677
494,2015-07-16,677
495,2015-12-08,677
496,2014-10-24,677
497,2015-10-28,677
498,2015-04-06,677
499,2016-08-15,676
500,2013-07-22,676
501,2014-09-04,676
502,2014-03-18,676
503,2018-09-21,676
504,2014-04-09,676
505,2018-03-21,676
506,2014-06-24,676
507,2014-03-05,676
508,2013-11-18,675
509,2016-12-12,675
510,2014-07-16,675
511,2016-08-22,675
512,2016-09-26,675
513,2014-06-10,675
514,2014-10-07,675
515,2014-03-24,675
516,2015-09-21,675
517,2016-05-02,674
518,2016-03-15,674
519,2014-11-03,674
520,2013-12-10,674
521,2017-04-05,674
522,2018-06-15,674
523,2015-05-11,674
524,2018-09-28,674
525,2016-10-24,674
526,2017-08-09,674
527,2014-09-23,674
528,2015-12-15,674
529,2014-10-28,674
530,2018-01-31,674
531,2015-11-03,674
532,2017-06-12,673
533,2013-08-19,673
534,2017-01-26,673
535,2017-11-15,673
536,2016-07-25,673
537,2015-06-09,673
538,2014-08-06,673
539,2017-05-24,673
540,2014-09-30,673
541,2012-04-16,673
542,2011-01-04,673
543,2015-06-23,673
544,2018-04-11,672
545,2017-12-13,672
546,2012-01-10,671
547,2014-04-03,671
548,2014-09-17,671
549,2014-01-09,671
550,2018-03-29,671
551,2013-07-08,671
552,2012-03-19,671
553,2016-04-18,671
554,2014-01-16,671
555,2015-10-05,671
556,2016-03-09,670
557,2017-05-17,670
558,2018-08-24,670
559,2018-03-08,670
560,2018-02-21,670
561,2012-03-13,670
562,2016-02-01,670
563,2015-04-13,670
564,2015-03-20,670
565,2018-06-01,670
566,2013-07-18,669
567,2015-09-01,669
568,2018-03-06,669
569,2015-08-31,669
570,2017-01-05,669
571,2014-06-04,669
572,2013-03-18,669
573,2017-07-12,669
574,2014-01-20,669
575,2016-08-25,669
576,2017-06-19,669
577,2014-05-01,669
578,2017-01-06,669
579,2013-07-30,669
580,2014-11-19,668
581,2012-09-18,668
582,2015-08-18,668
583,2018-04-25,668
584,2013-04-30,668
585,2017-01-30,668
586,2014-03-31,668
587,2015-05-07,668
588,2018-03-16,668
589,2014-01-21,668
590,2017-01-16,668
591,2013-09-30,668
592,2014-06-18,668
593,2016-07-07,668
594,2013-08-20,667
595,2018-10-05,667
596,2015-06-18,667
597,2015-03-11,667
598,2016-12-13,667
599,2016-10-18,667
600,2015-10-08,667
601,2013-10-21,667
602,2017-12-29,666
603,2018-04-04,666
604,2016-02-23,666
605,2014-02-19,666
606,2014-07-31,666
607,2016-10-25,666
608,2013-12-04,665
609,2014-06-25,665
610,2014-06-12,665
611,2014-10-20,665
612,2017-06-01,665
613,2017-02-08,665
614,2015-04-27,665
615,2017-02-20,665
616,2014-05-14,665
617,2015-06-29,665
618,2016-05-23,665
619,2016-01-05,665
620,2011-01-03,664
621,2017-05-10,664
622,2014-06-09,664
623,2014-05-19,664
624,2016-03-08,664
625,2014-04-21,664
626,2013-11-11,664
627,2015-07-01,664
628,2017-07-17,664
629,2017-06-27,663
630,2017-02-28,663
631,2014-05-07,663
632,2013-05-20,663
633,2012-11-12,663
634,2014-01-15,663
635,2017-10-06,663
636,2014-06-26,663
637,2016-07-18,663
638,2014-08-26,663
639,2017-11-08,663
640,2014-12-04,662
641,2017-01-31,662
642,2012-01-24,662
643,2013-05-15,662
644,2016-06-14,662
645,2016-08-09,662
646,2012-02-20,662
647,2017-03-01,662
648,2014-03-04,662
649,2015-03-02,662
650,2014-02-04,661
651,2016-02-17,661
652,2018-08-31,661
653,2012-01-23,661
654,2012-03-05,661
655,2015-03-19,661
656,2017-03-10,661
657,2013-08-21,661
658,2013-10-16,661
659,2013-10-28,661
660,2016-10-10,661
661,2013-09-04,660
662,2014-08-18,660
663,2013-12-09,660
664,2016-04-07,660
665,2016-11-15,660
666,2014-05-13,660
667,2017-05-04,660
668,2017-02-16,660
669,2016-09-20,660
670,2014-03-03,660
671,2012-08-20,660
672,2017-08-14,660
673,2017-07-18,660
674,2017-05-30,660
