,index,admit_diastolic_bp
0,,122060
1,70,48755
2,72,43433
3,74,42192
4,80,41491
5,78,39990
6,76,39068
7,68,38955
8,77,37712
9,75,36682
10,67,36154
11,73,36082
12,69,35844
13,71,35681
14,79,35672
15,60,35087
16,65,33857
17,82,33833
18,66,33467
19,81,32960
20,64,32622
21,84,31825
22,63,30757
23,62,30562
24,83,29338
25,86,28379
26,85,27146
27,58,26788
28,88,26127
29,61,24937
30,87,24546
31,59,24001
32,90,23795
33,89,21658
34,56,21162
35,57,19973
36,91,18835
37,92,18158
38,55,17716
39,93,16565
40,94,15410
41,54,15175
42,95,14388
43,53,13421
44,96,13257
45,52,12747
46,98,12402
47,97,12078
48,50,11582
49,51,10557
50,100,10370
51,99,10041
52,102,6876
53,49,6834
54,48,6749
55,101,6744
56,103,5634
57,104,5571
58,47,5334
59,46,5268
60,105,5065
61,106,4590
62,45,4496
63,44,4242
64,107,4164
65,108,3903
66,110,3697
67,109,3627
68,42,3510
69,43,3446
70,40,2958
71,41,2762
72,111,2728
73,112,2627
74,113,2219
75,114,2072
76,115,1947
77,39,1855
78,38,1806
79,116,1774
80,117,1599
81,118,1520
82,37,1470
83,36,1420
84,119,1411
85,120,1366
86,35,1306
87,34,1176
88,32,1131
89,33,1106
90,30,1090
91,31,963
92,121,921
93,122,873
94,123,810
95,124,784
96,125,679
97,126,632
98,28,593
99,29,571
100,127,564
101,128,553
102,130,539
103,129,532
104,0,521
105,26,468
106,27,411
107,25,387
108,132,368
109,133,366
110,131,361
111,24,317
112,135,290
113,136,290
114,134,289
115,23,274
116,137,256
117,22,253
118,140,237
119,138,225
120,139,225
121,21,201
122,141,160
123,20,158
124,142,145
125,144,142
126,143,121
127,147,113
128,150,99
129,148,97
130,18,96
131,145,94
132,149,86
133,146,84
134,19,80
135,16,63
136,11,61
137,17,59
138,160,59
139,151,58
140,152,55
141,154,54
142,7,53
143,155,52
144,153,47
145,158,45
146,156,36
147,8,36
148,159,36
149,15,35
150,162,32
151,157,32
152,168,31
153,161,27
154,6,26
155,165,26
156,14,23
157,163,23
158,164,20
159,9,20
160,167,17
161,177,16
162,10,16
163,5,16
164,171,16
165,13,15
166,180,14
167,170,14
168,169,14
169,12,13
170,166,13
171,1,12
172,179,10
173,181,10
174,4,9
175,174,9
176,172,9
177,175,9
178,173,8
179,182,8
180,3,8
181,193,7
182,178,7
183,2,6
184,185,6
185,184,5
186,187,5
187,188,5
188,176,5
189,186,4
190,190,4
191,189,4
192,200,3
193,196,3
194,191,3
195,205,3
196,197,2
197,220,2
198,194,2
199,195,2
200,198,2
201,199,2
202,203,2
203,206,2
204,211,2
205,216,2
206,183,1
207,293,1
208,276,1
209,237,1
210,225,1
211,223,1
212,212,1
213,215,1
214,192,1
215,208,1
216,202,1
217,201,1
218,315,0
219,323,0
220,-14,0
