,index,admit_systolic_bp
0,,122060
1,120,27824
2,130,27528
3,128,25810
4,122,25793
5,140,25677
6,132,25605
7,118,25289
8,124,24973
9,138,24679
10,134,24497
11,136,24337
12,126,24193
13,133,24072
14,135,23685
15,131,23393
16,142,22956
17,129,22950
18,121,22836
19,125,22705
20,137,22521
21,127,22515
22,123,22077
23,119,22074
24,110,21787
25,116,21693
26,139,21428
27,117,20640
28,141,20639
29,144,20342
30,112,19926
31,143,19913
32,114,19456
33,115,19391
34,146,18766
35,145,18740
36,148,18418
37,150,18006
38,113,17825
39,147,17484
40,149,16928
41,111,16384
42,152,15982
43,151,15962
44,108,15751
45,154,14965
46,153,14916
47,109,14896
48,155,14095
49,156,13890
50,106,13842
51,107,13184
52,157,12946
53,158,12758
54,104,12653
55,100,12466
56,160,12377
57,102,12061
58,105,12006
59,159,11551
60,103,10341
61,161,10059
62,162,9900
63,101,9324
64,164,8936
65,163,8924
66,98,8662
67,165,8416
68,166,8096
69,99,7867
70,168,7771
71,167,7759
72,170,7480
73,169,6899
74,96,6726
75,172,6564
76,97,6458
77,171,6388
78,173,6136
79,174,5888
80,175,5831
81,95,5665
82,176,5629
83,94,5590
84,178,5547
85,180,5478
86,177,5296
87,90,5274
88,92,5153
89,179,5047
90,93,4686
91,181,4498
92,182,4494
93,184,4216
94,183,4159
95,185,3921
96,91,3841
97,186,3800
98,187,3534
99,188,3435
100,189,3356
101,190,3319
102,88,3105
103,89,2791
104,191,2674
105,192,2625
106,86,2560
107,193,2441
108,87,2375
109,194,2343
110,84,2262
111,85,2162
112,195,2148
113,196,2107
114,82,2060
115,198,2047
116,80,2046
117,197,2032
118,200,1973
119,199,1905
120,83,1823
121,81,1564
122,201,1439
123,202,1430
124,78,1354
125,204,1311
126,205,1275
127,203,1272
128,79,1202
129,206,1191
130,210,1139
131,207,1100
132,77,1089
133,76,1072
134,208,1031
135,74,1031
136,209,983
137,211,970
138,72,963
139,212,955
140,75,947
141,213,909
142,70,893
143,214,841
144,220,835
145,215,825
146,73,814
147,216,761
148,71,747
149,217,746
150,218,736
151,68,711
152,219,647
153,69,627
154,67,581
155,66,580
156,221,572
157,64,562
158,222,556
159,65,555
160,224,545
161,63,544
162,225,530
163,60,528
164,223,520
165,61,518
166,62,507
167,226,461
168,227,458
169,56,432
170,59,420
171,228,413
172,57,413
173,230,403
174,58,400
175,229,399
176,55,397
177,232,320
178,52,305
179,54,302
180,53,302
181,231,301
182,233,282
183,51,274
184,234,254
185,236,252
186,50,251
187,235,250
188,240,232
189,237,211
190,238,187
191,49,173
192,239,164
193,48,153
194,241,152
195,242,148
196,46,144
197,47,130
198,243,128
199,244,128
200,45,117
201,247,111
202,44,101
203,246,100
204,250,98
205,42,86
206,245,85
207,248,81
208,249,80
209,0,79
210,260,76
211,43,75
212,251,74
213,252,73
214,41,67
215,256,60
216,40,56
217,258,51
218,253,51
219,257,46
220,255,44
221,262,42
222,254,42
223,259,36
224,261,35
225,264,32
226,263,28
227,38,27
228,37,27
229,39,23
230,268,23
231,266,23
232,269,23
233,265,22
234,270,21
235,36,20
236,267,18
237,35,17
238,34,11
239,32,10
240,272,10
241,30,9
242,33,9
243,271,8
244,31,8
245,280,8
246,276,8
247,28,7
248,275,6
249,290,6
250,29,6
251,26,6
252,24,5
253,281,5
254,273,4
255,274,4
256,295,3
257,278,3
258,279,3
259,287,3
260,286,3
261,277,3
262,283,3
263,282,3
264,285,3
265,1,2
266,13,2
267,284,2
268,291,2
269,300,2
270,18,2
271,299,2
272,298,2
273,296,2
274,16,2
275,303,1
276,433,1
277,17,1
278,27,1
279,456,1
280,465,1
281,25,1
282,19,1
283,476,1
284,482,1
285,2,1
286,498,1
287,5,1
288,8,1
289,430,1
290,23,1
291,423,1
292,292,1
293,308,1
294,301,1
295,3,1
296,294,1
297,304,1
298,293,1
299,4,1
300,289,1
301,12,1
302,288,1
303,410,1
304,329,0
305,320,0
306,20,0
307,22,0
