,index,albumin_admit_value
0,,1483895
1,3.6,9452
2,3.7,9346
3,3.8,9131
4,3.5,9033
5,3.9,8885
6,3.4,8599
7,4.0,8426
8,3.3,7915
9,4.1,7786
10,4.2,6793
11,3.2,6778
12,3.1,6101
13,4.3,5927
14,4.4,5021
15,3.0,4955
16,2.9,4071
17,4.5,3852
18,2.8,3346
19,4.6,2920
20,2.7,2603
21,4.7,2144
22,2.6,2043
23,2.5,1548
24,4.8,1501
25,2.4,1225
26,4.9,965
27,2.3,957
28,2.2,722
29,2.1,543
30,5.0,543
31,2.0,426
32,5.1,352
33,1.9,297
34,1.8,220
35,5.2,220
36,1.7,160
37,Account Credited,146
38,5.3,143
39,Unacceptable due to gross hemolysis. Redraw requested.,85
40,1.6,82
41,Unable to assay. Specimen significantly hemolyzed.,71
42,5.4,66
43,1.5,65
44,5.5,49
45,1.4,42
46,Duplicate request,40
47,Unable to assay. Quantity not sufficient.,36
48,1.3,35
49,Unable to assay. No specimen received.,25
50,Unable to assay. Specimen incorrectly identified.,22
51,Cancelled by clinician,22
52,"CANCELLED,Specimen not collected or received",21
53,Unable to assay. Possible interfering substance(s) present.,19
54,5.6,19
55,Specimen received unlabelled.,15
56,1.2,14
57,1.1,11
58,5.7,9
59,5.8,9
60,Specimen hemolyzed.,9
61,Unable to assay.  Unable to locate specimen.,9
62,1.0,7
63,Identity unclear. Specimen labelled incorrectly.,7
64,Requisitioning entry error,6
65,Unable to quantitate due to possible contamination.,5
66,0.9,4
67,Unable to assay. Specimen improperly collected/handled.,4
68,Unable to assay. Specimen grossly hemolyzed.,4
69,6.0,4
70,2.96,3
71,3.25,3
72,2.73,3
73,0.8,3
74,"Test accessioning error,please disregard.",3
75,2.92,3
76,3.89,2
77,3.34,2
78,3.46,2
79,3.43,2
80,2.53,2
81,<0.3,2
82,Disregard results. Specimen incorrectly identified.,2
83,3.33,2
84,Patient refused collection,2
85,3.32,2
86,3.30,2
87,2.82,2
88,3.29,2
89,3.28,2
90,2.54,2
91,2.35,2
92,3.50,2
93,3.22,2
94,3.20,2
95,3.04,2
96,3.08,2
97,2.39,2
98,3.76,2
99,3.74,2
100,3.18,2
101,3.66,2
102,3.51,2
103,3.16,2
104,6.9,2
105,3.02,2
106,2.78,2
107,3.01,2
108,3.05,2
109,3.14,2
110,2.60,1
111,2.75,1
112,2.85,1
113,2.86,1
114,2.68,1
115,2.28,1
116,2.57,1
117,2.56,1
118,0.5,1
119,0.6,1
120,0.7,1
121,0.95,1
122,06,1
123,1.57,1
124,1.61,1
125,1.85,1
126,1.91,1
127,1.97,1
128,2.17,1
129,2.18,1
130,2.88,1
131,2.37,1
132,2.44,1
133,2.46,1
134,2.47,1
135,2.49,1
136,2.50,1
137,2.52,1
138,2.55,1
139,2.87,1
140,3.36,1
141,2.89,1
142,LCAN LOCATION TOUTING ERROR,1
143,4.54,1
144,4.58,1
145,5.9,1
146,6.8,1
147,7.0,1
148,7.5,1
149,<3.5,1
150,CONVERTED TO ISTAT,1
151,Ignore results.  Specimen mislabeled.,1
152,Ignore results. Specimen hemolyzed,1
153,Ignore results. Specimen was contaminated,1
154,Incorrect test ordered.,1
155,MISLABELED,1
156,2.90,1
157,Medical record number mismatch. Disregard results.,1
158,Notified by unit that specimen labelled incorrectly.,1
159,POS CONTAMINATION 998335BY 897715 103018,1
160,SPECIMEN HEMOLYZED,1
161,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
162,Specimen collected in wrong container type.,1
163,Specimen contaminated,1
164,Specimen drawn in wrong tube.,1
165,Test inadvertently not performed,1
166,Test reordered on another CCHS MRN.,1
167,Unable to assay. Analytical difficulty.,1
168,Unable to quantitate due to age of specimen.,1
169,4.24,1
170,4.07,1
171,3.93,1
172,3.84,1
173,2.95,1
174,2.98,1
175,2.99,1
176,3.06,1
177,3.09,1
178,3.10,1
179,3.11,1
180,3.12,1
181,3.13,1
182,3.17,1
183,3.19,1
184,3.21,1
185,3.23,1
186,3.27,1
187,3.40,1
188,3.49,1
189,3.54,1
190,3.55,1
191,3.59,1
192,3.61,1
193,3.62,1
194,3.65,1
195,3.67,1
196,3.77,1
197,3.79,1
198,0.2,1
