,index,albumin_discharge_value
0,,1488927
1,3.6,9356
2,3.7,9125
3,3.5,9076
4,3.8,8821
5,3.4,8645
6,3.9,8425
7,3.3,7976
8,4.0,7790
9,4.1,7109
10,3.2,6910
11,3.1,6285
12,4.2,6100
13,4.3,5204
14,3.0,5110
15,4.4,4380
16,2.9,4196
17,2.8,3469
18,4.5,3333
19,2.7,2703
20,4.6,2517
21,2.6,2135
22,4.7,1842
23,2.5,1624
24,4.8,1281
25,2.4,1256
26,2.3,974
27,4.9,804
28,2.2,771
29,2.1,593
30,5.0,453
31,2.0,451
32,1.9,304
33,5.1,279
34,1.8,234
35,5.2,176
36,1.7,167
37,5.3,124
38,Account Credited,118
39,1.6,85
40,Unacceptable due to gross hemolysis. Redraw requested.,75
41,1.5,69
42,Unable to assay. Specimen significantly hemolyzed.,60
43,5.4,44
44,Duplicate request,41
45,1.4,40
46,5.5,39
47,Unable to assay. Quantity not sufficient.,36
48,1.3,30
49,Unable to assay. No specimen received.,24
50,Cancelled by clinician,23
51,"CANCELLED,Specimen not collected or received",22
52,Unable to assay. Specimen incorrectly identified.,20
53,Unable to assay. Possible interfering substance(s) present.,20
54,5.6,15
55,1.2,14
56,Specimen received unlabelled.,14
57,Unable to assay.  Unable to locate specimen.,12
58,1.1,10
59,Specimen hemolyzed.,8
60,5.7,7
61,1.0,7
62,Identity unclear. Specimen labelled incorrectly.,6
63,5.8,6
64,Requisitioning entry error,6
65,Unable to assay. Specimen improperly collected/handled.,4
66,Unable to quantitate due to possible contamination.,4
67,Unable to assay. Specimen grossly hemolyzed.,4
68,0.9,4
69,3.25,3
70,0.8,3
71,2.96,3
72,2.92,3
73,2.73,3
74,6.0,3
75,"Test accessioning error,please disregard.",3
76,2.90,2
77,2.54,2
78,2.35,2
79,2.39,2
80,3.22,2
81,3.20,2
82,2.53,2
83,3.19,2
84,3.18,2
85,3.16,2
86,3.14,2
87,3.11,2
88,2.86,2
89,3.08,2
90,3.05,2
91,3.04,2
92,2.17,2
93,3.02,2
94,3.01,2
95,2.78,2
96,2.82,2
97,2.95,2
98,3.29,2
99,3.28,2
100,3.30,2
101,3.50,2
102,3.32,2
103,6.9,2
104,3.89,2
105,<0.3,2
106,3.76,2
107,3.74,2
108,3.66,2
109,Disregard results. Specimen incorrectly identified.,2
110,Patient refused collection,2
111,3.51,2
112,3.63,2
113,3.34,2
114,3.46,2
115,Test reordered on another CCHS MRN.,2
116,3.43,2
117,3.33,2
118,Test inadvertently not performed,1
119,2.37,1
120,2.28,1
121,2.29,1
122,7.0,1
123,0.6,1
124,2.31,1
125,2.36,1
126,5.9,1
127,6.8,1
128,CONVERTED TO ISTAT,1
129,2.40,1
130,0.5,1
131,2.44,1
132,2.46,1
133,2.47,1
134,2.49,1
135,2.18,1
136,Unable to quantitate due to age of specimen.,1
137,2.15,1
138,Specimen drawn in wrong tube.,1
139,Specimen collected in wrong container type.,1
140,SPECIMEN HEMOLYZED,1
141,1.57,1
142,MISLABELED,1
143,1.61,1
144,LCAN LOCATION TOUTING ERROR,1
145,Ignore results. Specimen was contaminated,1
146,1.85,1
147,Ignore results. Specimen hemolyzed,1
148,1.91,1
149,2.50,1
150,1.97,1
151,Ignore results.  Specimen mislabeled.,1
152,06,1
153,0.95,1
154,2.12,1
155,Unable to assay. Analytical difficulty.,1
156,4.58,1
157,2.57,1
158,2.52,1
159,4.54,1
160,3.62,1
161,3.61,1
162,3.03,1
163,3.59,1
164,3.55,1
165,3.06,1
166,3.54,1
167,3.09,1
168,3.10,1
169,3.12,1
170,3.13,1
171,3.49,1
172,3.17,1
173,3.40,1
174,3.39,1
175,3.36,1
176,3.21,1
177,3.23,1
178,3.27,1
179,3.00,1
180,2.99,1
181,2.98,1
182,3.93,1
183,4.51,1
184,2.55,1
185,2.56,1
186,4.24,1
187,2.60,1
188,2.63,1
189,2.68,1
190,4.07,1
191,2.75,1
192,3.65,1
193,3.84,1
194,3.79,1
195,2.85,1
196,3.77,1
197,2.87,1
198,2.88,1
199,2.89,1
200,3.67,1
201,0.2,1
