,index,alkaline_phosphatase_admit_value
0,,1493724
1,67,2075
2,70,2028
3,65,2020
4,68,2011
5,66,2011
6,71,1961
7,64,1958
8,61,1957
9,62,1942
10,72,1942
11,69,1920
12,63,1911
13,73,1900
14,74,1890
15,60,1883
16,75,1870
17,76,1838
18,59,1835
19,77,1806
20,79,1770
21,78,1761
22,58,1759
23,56,1732
24,80,1721
25,57,1706
26,81,1653
27,83,1626
28,55,1613
29,54,1575
30,82,1563
31,84,1549
32,85,1534
33,52,1494
34,86,1488
35,53,1446
36,87,1409
37,89,1406
38,88,1396
39,90,1326
40,51,1322
41,50,1317
42,91,1307
43,92,1262
44,94,1239
45,49,1226
46,48,1182
47,93,1182
48,95,1100
49,96,1097
50,98,1059
51,47,1058
52,97,1054
53,99,1024
54,102,988
55,100,966
56,46,947
57,101,937
58,103,881
59,104,874
60,105,855
61,45,852
62,44,845
63,107,836
64,43,785
65,106,785
66,108,750
67,109,728
68,110,703
69,112,677
70,113,669
71,111,662
72,114,619
73,115,606
74,41,604
75,42,592
76,116,585
77,117,546
78,40,536
79,121,531
80,119,522
81,122,516
82,118,512
83,120,497
84,124,497
85,123,463
86,39,450
87,125,446
88,127,444
89,126,428
90,130,418
91,38,413
92,128,397
93,129,386
94,131,385
95,132,382
96,134,372
97,133,371
98,136,356
99,138,351
100,135,344
101,36,332
102,142,328
103,137,320
104,37,313
105,139,306
106,144,294
107,140,287
108,141,287
109,145,280
110,147,277
111,143,277
112,35,274
113,148,264
114,146,253
115,149,250
116,151,248
117,150,247
118,154,244
119,153,236
120,34,230
121,152,222
122,156,220
123,162,203
124,161,202
125,155,196
126,159,195
127,32,184
128,157,183
129,158,181
130,165,181
131,160,176
132,166,173
133,169,172
134,33,169
135,164,169
136,175,168
137,171,167
138,163,165
139,167,163
140,168,159
141,Account Credited,156
142,170,155
143,174,154
144,179,153
145,31,152
146,182,148
147,180,143
148,172,143
149,178,139
150,186,138
151,181,137
152,177,135
153,173,133
154,193,133
155,183,129
156,197,129
157,185,126
158,176,121
159,195,121
160,184,120
161,187,116
162,191,114
163,201,113
164,189,113
165,30,112
166,190,109
167,188,108
168,196,107
169,206,105
170,204,100
171,192,97
172,200,97
173,194,96
174,Unable to assay. Specimen significantly hemolyzed.,94
175,198,94
176,220,93
177,210,91
178,203,91
179,207,91
180,202,90
181,199,89
182,205,89
183,227,86
184,Unacceptable due to gross hemolysis. Redraw requested.,85
185,212,84
186,215,83
187,28,83
188,219,82
189,217,82
190,216,80
191,209,79
192,221,76
193,213,76
194,211,76
195,222,75
196,230,73
197,214,73
198,208,72
199,29,72
200,223,70
201,27,69
202,226,68
203,224,68
204,248,68
205,231,65
206,232,65
207,236,62
208,228,62
209,218,60
210,235,60
211,229,59
212,239,59
213,234,59
214,225,58
215,240,57
216,233,57
217,241,55
218,250,54
219,238,54
220,237,53
221,253,53
222,242,50
223,244,50
224,271,50
225,243,49
226,254,49
227,252,48
228,264,47
229,268,46
230,259,46
231,247,46
232,267,45
233,249,45
234,262,45
235,257,45
236,261,44
237,263,44
238,281,44
239,278,44
240,277,43
241,246,42
242,287,41
243,245,41
244,260,41
245,251,41
246,266,40
247,26,40
248,265,39
249,269,39
250,25,38
251,255,38
252,299,38
253,291,37
254,270,37
255,292,36
256,273,36
257,296,35
258,258,35
259,280,35
260,285,35
261,24,35
262,Duplicate request,35
263,279,34
264,256,34
265,288,34
266,295,33
267,293,33
268,Unable to assay. Quantity not sufficient.,32
269,304,32
270,282,32
271,275,32
272,323,31
273,276,31
274,289,31
275,317,31
276,325,30
277,272,30
278,303,29
279,322,29
280,300,29
281,286,29
282,321,28
283,274,27
284,351,27
285,331,27
286,341,27
287,340,27
288,283,27
289,312,27
290,313,27
291,301,27
292,297,26
293,327,26
294,315,26
295,309,26
296,298,26
297,330,26
298,320,26
299,Specimen hemolyzed.,25
300,294,25
301,311,25
302,346,24
303,329,24
304,314,24
305,290,24
306,Unable to assay. No specimen received.,24
307,310,23
308,307,23
309,23,23
310,328,23
311,284,22
312,337,22
313,319,22
314,302,22
315,Cancelled by clinician,21
316,369,21
317,326,21
318,306,20
319,308,20
320,338,20
321,339,19
322,324,19
323,Unable to assay. Possible interfering substance(s) present.,19
324,305,19
325,334,19
326,335,19
327,361,19
328,"CANCELLED,Specimen not collected or received",19
329,332,18
330,353,18
331,21,18
332,345,18
333,394,18
334,316,18
335,374,17
336,376,17
337,384,17
338,386,17
339,368,17
340,354,17
341,359,17
342,333,17
343,22,17
344,349,17
345,Specimen received unlabelled.,16
346,342,16
347,350,16
348,373,16
349,357,16
350,385,16
351,371,16
352,381,16
353,379,16
354,437,15
355,Unable to assay. Specimen incorrectly identified.,15
356,402,15
357,401,15
358,348,15
359,453,15
360,355,15
361,360,15
362,398,14
363,358,14
364,387,14
365,362,13
366,364,13
367,417,13
368,365,13
369,375,13
370,426,13
371,383,13
372,440,13
373,343,13
374,20,13
375,347,13
376,382,13
377,480,12
378,429,12
379,391,12
380,377,12
381,367,12
382,393,12
383,372,12
384,395,12
385,336,12
386,Unable to assay.  Unable to locate specimen.,12
387,318,12
388,344,11
389,486,11
390,356,11
391,430,11
392,366,11
393,469,11
394,466,11
395,454,11
396,475,11
397,409,11
398,423,11
399,407,11
400,408,11
401,411,11
402,419,10
403,363,10
404,479,10
405,370,10
406,502,10
407,489,10
408,435,10
409,389,10
410,388,10
411,397,10
412,352,10
413,400,10
414,413,10
415,476,9
416,482,9
417,464,9
418,474,9
419,427,9
420,420,9
421,472,9
422,405,9
423,403,9
424,559,9
425,581,9
426,424,9
427,503,9
428,436,9
429,434,9
430,524,9
431,399,9
432,493,9
433,416,8
434,487,8
435,513,8
436,421,8
437,425,8
438,568,8
439,589,8
440,410,8
441,599,8
442,465,8
443,406,7
444,499,7
445,525,7
446,431,7
447,396,7
448,507,7
449,438,7
450,442,7
451,444,7
452,19,7
453,448,7
454,498,7
455,495,7
456,492,7
457,415,7
458,449,7
459,450,7
460,378,7
461,456,7
462,457,7
463,463,7
464,418,7
465,527,7
466,455,7
467,Identity unclear. Specimen labelled incorrectly.,7
468,550,7
469,593,7
470,612,7
471,611,7
472,669,7
473,539,7
474,566,7
475,484,6
476,481,6
477,459,6
478,552,6
479,478,6
480,Unable to assay. Specimen grossly hemolyzed.,6
481,473,6
482,467,6
483,461,6
484,460,6
485,443,6
486,458,6
487,452,6
488,500,6
489,582,6
490,439,6
491,432,6
492,422,6
493,414,6
494,390,6
495,642,6
496,17,6
497,18,6
498,720,6
499,496,6
500,530,6
501,517,6
502,523,6
503,512,6
504,505,6
505,520,6
506,567,5
507,584,5
508,919,5
509,532,5
510,528,5
511,462,5
512,510,5
513,680,5
514,514,5
515,891,5
516,509,5
517,596,5
518,515,5
519,451,5
520,428,5
521,535,5
522,590,5
523,447,5
524,446,5
525,445,5
526,433,5
527,587,5
528,471,5
529,541,5
530,522,5
531,404,5
532,775,5
533,380,5
534,548,5
535,488,5
536,549,5
537,652,5
538,660,5
539,504,5
540,560,5
541,556,5
542,555,5
543,13,4
544,698,4
545,542,4
546,639,4
547,519,4
548,Requisitioning entry error,4
549,533,4
550,392,4
551,591,4
552,628,4
553,15,4
554,679,4
555,1110,4
556,598,4
557,664,4
558,663,4
559,526,4
560,521,4
561,16,4
562,657,4
563,602,4
564,659,4
565,607,4
566,623,4
567,704,4
568,730,4
569,Unable to quantitate due to possible contamination.,4
570,721,4
571,563,4
572,846,4
573,733,4
574,734,4
575,554,4
576,553,4
577,538,4
578,506,4
579,483,4
580,490,4
581,759,4
582,494,4
583,497,4
584,772,4
585,511,4
586,634,4
587,579,4
588,703,4
589,573,4
590,705,4
591,706,4
592,719,3
593,954,3
594,785,3
