,index,alt_admit_value
0,,1493608
1,13,5953
2,12,5948
3,11,5848
4,15,5677
5,14,5648
6,10,5217
7,16,5172
8,17,5037
9,18,4518
10,9,4481
11,19,4261
12,20,3918
13,8,3708
14,21,3506
15,22,3285
16,23,2990
17,7,2777
18,24,2725
19,25,2549
20,26,2404
21,27,2132
22,28,2036
23,29,1924
24,6,1862
25,30,1789
26,31,1603
27,32,1498
28,33,1423
29,34,1354
30,35,1259
31,36,1155
32,37,1072
33,38,1044
34,39,984
35,40,886
36,<5,849
37,42,841
38,41,834
39,43,761
40,<6,742
41,44,732
42,45,662
43,46,645
44,5,613
45,47,596
46,48,587
47,49,567
48,50,564
49,51,519
50,52,470
51,53,462
52,56,452
53,54,432
54,57,409
55,55,402
56,58,400
57,60,365
58,59,362
59,61,323
60,62,312
61,65,294
62,66,291
63,63,289
64,64,281
65,67,272
66,68,268
67,69,246
68,70,234
69,73,223
70,72,220
71,71,210
72,75,209
73,79,209
74,74,195
75,80,189
76,78,189
77,76,189
78,77,183
79,Unable to assay. Specimen significantly hemolyzed.,177
80,84,174
81,81,168
82,82,165
83,83,165
84,Account Credited,154
85,85,152
86,86,148
87,90,146
88,87,143
89,91,142
90,89,132
91,96,130
92,88,129
93,92,126
94,95,123
95,98,119
96,93,116
97,97,113
98,99,113
99,94,100
100,103,99
101,115,97
102,105,96
103,100,95
104,106,93
105,101,91
106,102,90
107,<5.0,88
108,107,87
109,Unacceptable due to gross hemolysis. Redraw requested.,85
110,104,83
111,108,83
112,109,79
113,116,78
114,114,77
115,111,75
116,110,75
117,113,74
118,Specimen hemolyzed.,73
119,124,72
120,112,72
121,119,69
122,117,68
123,122,67
124,128,67
125,123,65
126,127,64
127,129,62
128,130,61
129,120,60
130,121,60
131,118,57
132,136,57
133,135,56
134,131,53
135,134,52
136,133,51
137,145,51
138,126,51
139,125,51
140,143,50
141,150,50
142,152,47
143,140,46
144,158,45
145,137,45
146,142,44
147,138,44
148,132,44
149,144,43
150,148,42
151,139,41
152,153,41
153,141,39
154,4,39
155,155,39
156,149,38
157,157,38
158,151,37
159,154,37
160,146,36
161,147,36
162,166,35
163,Unable to assay. Quantity not sufficient.,34
164,188,34
165,167,34
166,168,34
167,Duplicate request,34
168,162,33
169,161,33
170,190,33
171,159,32
172,180,32
173,192,31
174,163,31
175,203,31
176,172,31
177,174,31
178,179,30
