,index,alt_discharge_value
0,,1500660
1,11,5572
2,12,5570
3,13,5566
4,15,5324
5,14,5320
6,10,4914
7,16,4846
8,17,4694
9,9,4213
10,18,4209
11,19,4014
12,20,3672
13,8,3555
14,21,3272
15,22,3109
16,23,2817
17,7,2636
18,24,2578
19,25,2404
20,26,2275
21,27,2002
22,28,1909
23,29,1818
24,6,1796
25,30,1693
26,31,1506
27,32,1418
28,33,1351
29,34,1301
30,35,1191
31,36,1105
32,37,1024
33,38,998
34,39,928
35,40,851
36,<5,833
37,42,811
38,41,798
39,43,738
40,44,696
41,<6,680
42,45,645
43,46,637
44,5,594
45,47,575
46,48,552
47,49,550
48,50,546
49,51,514
50,52,460
51,53,447
52,56,444
53,54,418
54,55,398
55,57,391
56,58,380
57,60,355
58,59,353
59,61,317
60,62,294
61,65,285
62,63,279
63,64,274
64,66,273
65,68,263
66,67,259
67,69,250
68,73,224
69,70,223
70,72,209
71,71,206
72,79,200
73,75,196
74,80,192
75,74,189
76,78,182
77,76,181
78,77,179
79,84,170
80,83,169
81,81,158
82,82,158
83,Unable to assay. Specimen significantly hemolyzed.,151
84,85,149
85,91,141
86,90,141
87,86,139
88,87,138
89,89,131
90,92,130
91,95,125
92,Account Credited,124
93,88,122
94,96,119
95,93,114
96,99,112
97,98,110
98,97,109
99,94,98
100,101,98
101,103,95
102,104,93
103,106,93
104,115,91
105,105,89
106,<5.0,88
107,100,82
108,108,82
109,102,82
110,111,78
111,107,78
112,112,77
113,113,76
114,Unacceptable due to gross hemolysis. Redraw requested.,75
115,109,75
116,116,74
117,114,74
118,124,70
119,128,69
120,110,68
121,117,67
122,119,67
123,122,66
124,123,65
125,127,64
126,Specimen hemolyzed.,62
127,121,61
128,136,60
129,120,58
130,129,57
131,130,57
132,118,57
133,135,55
134,125,53
135,150,53
136,152,50
137,134,50
138,133,50
139,126,50
140,131,50
141,138,48
142,145,48
143,140,47
144,143,47
145,132,45
146,144,44
147,142,44
148,158,44
149,139,42
150,141,42
151,153,41
152,147,41
153,137,41
154,148,41
155,4,40
156,151,39
157,149,38
158,155,36
159,Duplicate request,36
160,146,36
161,157,35
162,Unable to assay. Quantity not sufficient.,34
163,166,34
164,167,34
165,154,34
166,162,33
167,168,33
168,161,32
169,160,32
170,188,32
171,164,32
172,163,31
173,203,31
174,190,30
175,192,30
176,159,30
177,171,30
178,180,30
179,172,29
180,Unable to assay. Possible interfering substance(s) present.,29
181,174,29
182,156,28
183,179,27
184,189,27
185,183,27
186,170,27
187,194,26
188,191,26
189,178,26
190,173,25
191,169,25
192,211,25
193,198,25
194,213,24
195,175,24
196,165,24
197,201,23
198,Unable to assay. No specimen received.,23
199,209,23
200,176,23
201,Cancelled by clinician,23
202,182,22
203,196,22
204,208,22
205,210,21
206,185,21
207,197,21
208,186,21
209,233,20
210,<4,20
211,200,20
212,"CANCELLED,Specimen not collected or received",20
213,177,20
214,193,20
215,219,20
216,257,19
217,195,19
218,199,19
219,225,19
220,204,19
221,205,17
222,202,17
223,237,17
224,206,17
225,231,17
226,217,16
227,229,16
228,184,16
229,220,16
230,221,16
231,181,16
232,187,16
233,269,16
234,251,16
235,243,16
236,214,16
237,239,16
238,236,16
239,Unable to assay.  Unable to locate specimen.,15
240,Specimen received unlabelled.,15
241,227,15
242,230,14
243,Unable to assay. Specimen incorrectly identified.,14
244,252,14
245,255,14
246,212,14
247,228,13
248,277,13
249,283,13
250,226,13
251,275,13
252,266,13
253,265,13
254,232,13
255,234,13
256,216,13
257,207,13
258,303,13
259,224,12
260,218,12
261,294,12
262,245,12
263,276,12
264,270,12
265,240,12
266,238,12
267,261,12
268,247,11
269,306,11
270,305,11
271,376,11
272,264,11
273,263,11
274,242,11
275,292,11
276,246,11
277,215,11
278,254,11
279,309,11
280,351,10
281,298,10
282,311,10
283,223,10
284,296,10
285,259,10
286,284,10
287,321,10
288,290,10
289,282,10
290,287,10
291,271,10
292,258,10
293,320,9
294,344,9
295,313,9
296,486,9
297,222,9
298,285,9
299,272,9
300,288,9
301,289,9
302,260,9
303,256,9
304,280,9
305,425,8
306,281,8
307,262,8
308,340,8
309,334,8
310,341,8
311,253,8
312,346,8
313,250,8
314,249,8
315,301,8
316,278,8
317,310,8
318,352,8
319,314,8
320,312,8
321,354,8
322,268,8
323,347,7
324,279,7
325,454,7
326,360,7
327,353,7
328,355,7
329,286,7
330,356,7
331,411,7
332,331,7
333,444,7
334,322,7
335,295,7
336,421,7
337,248,7
338,335,7
339,427,7
340,458,6
341,Identity unclear. Specimen labelled incorrectly.,6
342,267,6
343,434,6
344,244,6
345,363,6
346,399,6
347,402,6
348,308,6
349,325,6
350,337,6
351,357,6
352,300,6
353,328,6
354,319,6
355,329,6
356,317,6
357,302,6
358,304,6
359,348,6
360,307,6
361,462,6
362,291,6
363,315,5
364,414,5
365,323,5
366,318,5
367,408,5
368,299,5
369,273,5
370,324,5
371,394,5
372,392,5
373,390,5
374,387,5
375,385,5
376,382,5
377,336,5
378,374,5
379,339,5
380,343,5
381,366,5
382,350,5
383,274,5
384,400,5
385,568,5
386,487,5
387,438,5
388,439,5
389,Unable to assay. Specimen grossly hemolyzed.,5
390,441,5
391,452,5
392,504,5
393,445,5
394,437,5
395,447,5
396,430,5
397,469,5
398,Requisitioning entry error,4
399,326,4
400,235,4
401,327,4
402,3,4
403,384,4
404,398,4
405,375,4
406,396,4
407,389,4
408,333,4
409,505,4
410,379,4
411,316,4
412,481,4
413,459,4
414,297,4
415,380,4
416,404,4
417,358,4
418,241,4
419,589,4
420,349,4
421,419,4
422,587,4
423,455,4
424,570,4
425,367,4
426,330,4
427,412,4
428,345,4
429,371,4
430,480,4
431,436,4
432,293,4
433,405,4
434,471,3
435,472,3
436,342,3
437,463,3
438,332,3
439,530,3
440,490,3
441,560,3
442,426,3
443,605,3
444,599,3
445,635,3
446,581,3
447,569,3
448,564,3
449,561,3
450,551,3
451,Result not available due to interference by hemolysis. Suggest reorder,3
452,540,3
453,830,3
454,528,3
455,524,3
456,519,3
457,457,3
458,497,3
459,495,3
460,507,3
461,624,3
462,429,3
463,433,3
464,Unable to quantitate due to possible contamination.,3
465,440,3
466,391,3
467,377,3
468,372,3
469,364,3
470,Unable to assay. Analytical difficulty.,3
471,428,3
472,422,3
473,Unable to assay due to viscosity of specimen.,3
474,395,3
475,420,3
476,450,3
477,407,2
478,533,2
479,673,2
480,535,2
481,752,2
482,675,2
483,401,2
484,527,2
485,525,2
486,397,2
487,592,2
488,594,2
489,679,2
490,596,2
491,683,2
492,409,2
493,672,2
494,962,2
495,538,2
496,1001,2
497,647,2
498,574,2
499,642,2
500,432,2
501,562,2
502,413,2
503,652,2
504,554,2
505,657,2
506,658,2
507,410,2
508,550,2
509,Unable to assay. Specimen improperly collected/handled.,2
510,584,2
511,545,2
512,544,2
513,638,2
514,418,2
515,435,2
516,630,2
517,512,2
518,509,2
519,572,2
520,449,2
521,1034,2
522,451,2
523,485,2
524,1067,2
525,607,2
526,611,2
527,338,2
528,373,2
529,477,2
530,467,2
531,370,2
532,476,2
533,625,2
534,453,2
535,473,2
536,Unable to assay due to interference by lipemia.,2
537,614,2
538,606,2
539,381,2
540,616,2
541,623,2
542,359,2
543,393,2
544,598,2
545,502,2
546,456,2
547,460,2
548,908,2
549,694,2
550,442,2
551,Patient refused collection,2
552,446,2
553,762,2
554,386,2
555,448,2
556,423,2
557,"Test accessioning error,please disregard.",2
558,Disregard results. Specimen incorrectly identified.,2
559,849,1
560,890,1
561,1472,1
562,852,1
563,1496,1
564,887,1
565,1500,1
566,856,1
567,1489,1
568,866,1
569,860,1
570,859,1
571,874,1
572,780,1
573,1790,1
574,789,1
575,803,1
576,802,1
577,1651,1
578,764,1
579,797,1
580,796,1
581,1681,1
582,1693,1
583,758,1
584,1697,1
585,1758,1
586,768,1
587,784,1
588,782,1
589,781,1
590,773,1
591,804,1
592,808,1
593,754,1
594,841,1
595,848,1
596,1511,1
597,1512,1
598,847,1
599,1522,1
600,843,1
601,842,1
602,1551,1
603,810,1
604,839,1
605,827,1
606,777,1
607,817,1
608,816,1
609,815,1
610,1601,1
611,800,1
612,4274,1
613,1429,1
614,895,1
615,1114,1
616,1115,1
617,MISLABELED,1
618,1156,1
619,Ignore results. Specimen was contaminated,1
620,Ignore results. Specimen hemolyzed,1
621,1171,1
622,1180,1
623,CONVERTED TO ISTAT,1
624,1191,1
625,<10,1
626,991,1
627,981,1
628,1211,1
629,974,1
630,SAMPLE GROSSLY LIPEMIC SENT TO MAIN CAMPUS FOR TESTING.,1
631,1109,1
632,SPECIMEN GROSSLY LIPEMIC UNABLE TO OBTAIN RESULT,1
633,1049,1
634,1005,1
635,1009,1
636,1028,1
637,1032,1
638,1033,1
639,1047,1
640,Test inadvertently not performed,1
641,SPECIMEN HEMOLYZED,1
642,1052,1
643,1058,1
644,Specimen leaked in transport.,1
645,Specimen grossly lipemic,1
646,1082,1
647,Specimen collected in wrong container type.,1
648,1224,1
649,971,1
650,1238,1
651,915,1
652,1338,1
653,925,1
654,1343,1
655,1344,1
656,923,1
657,922,1
658,1372,1
659,926,1
660,914,1
661,1383,1
662,913,1
663,907,1
664,1401,1
665,1404,1
666,1331,1
667,928,1
668,966,1
669,1277,1
670,1241,1
671,1250,1
672,1256,1
673,960,1
674,956,1
675,1271,1
676,954,1
677,1319,1
678,946,1
679,1293,1
680,945,1
681,932,1
682,931,1
683,1313,1
684,753,1
685,620,1
686,750,1
687,517,1
688,2956,1
689,2958,1
690,526,1
691,523,1
692,522,1
693,518,1
694,516,1
695,536,1
696,513,1
697,511,1
698,510,1
699,506,1
700,3169,1
701,501,1
702,531,1
703,537,1
704,499,1
705,555,1
706,575,1
707,2645,1
708,2650,1
709,573,1
710,565,1
711,559,1
712,552,1
713,539,1
714,2802,1
715,548,1
716,546,1
717,543,1
718,542,1
719,2884,1
720,500,1
721,498,1
722,745,1
723,3922,1
724,3675,1
725,368,1
726,378,1
727,383,1
728,388,1
729,443,1
730,403,1
731,3633,1
732,406,1
733,415,1
734,416,1
735,417,1
736,4172,1
737,424,1
738,365,1
739,362,1
740,496,1
741,482,1
742,494,1
743,492,1
744,491,1
745,488,1
746,484,1
747,483,1
748,479,1
749,361,1
750,475,1
751,470,1
752,468,1
753,465,1
754,464,1
755,461,1
756,579,1
757,585,1
758,586,1
759,2584,1
760,692,1
761,687,1
762,1990,1
763,1998,1
764,2,1
765,684,1
766,2001,1
767,682,1
768,677,1
769,676,1
770,2076,1
771,669,1
772,668,1
773,667,1
774,666,1
775,1964,1
776,1951,1
777,699,1
778,729,1
779,744,1
780,738,1
781,736,1
782,732,1
783,1860,1
784,1865,1
785,725,1
786,708,1
787,724,1
788,723,1
789,722,1
790,719,1
791,714,1
792,713,1
793,665,1
794,663,1
795,662,1
796,626,1
797,590,1
798,591,1
799,595,1
800,2514,1
801,597,1
802,2496,1
803,601,1
804,603,1
805,6068,1
806,612,1
807,617,1
808,621,1
809,2359,1
810,660,1
811,2333,1
812,633,1
813,2311,1
814,659,1
815,653,1
816,650,1
817,648,1
818,22285,1
819,640,1
820,639,1
821,1,1
822,6312,1
823,631,1
824,629,1
825,2303,1
826,627,1
827,553,0
828,549,0
829,905,0
830,695,0
