,index,anion_gap_discharge_value
0,,1334294
1,12,40069
2,11,39909
3,13,35050
4,10,34868
5,14,27215
6,9,26792
7,15,18720
8,8,18212
9,16,12017
10,7,11231
11,17,7436
12,6,5926
13,18,4486
14,5,2922
15,19,2784
16,20,1699
17,4,1175
18,21,1061
19,22,738
20,23,460
21,3,413
22,24,348
23,25,268
24,26,175
25,2,161
26,Account Credited,150
27,Duplicate request,144
28,27,132
29,28,95
30,Unacceptable due to gross hemolysis. Redraw requested.,77
31,Unable to assay. Specimen significantly hemolyzed.,75
32,1,69
33,Unable to assay. No specimen received.,69
34,29,58
35,30,58
36,Unable to assay. Quantity not sufficient.,52
37,Unable to assay.  Unable to locate specimen.,45
38,31,43
39,"CANCELLED,Specimen not collected or received",42
40,Cancelled by clinician,42
41,32,37
42,Unable to assay. Possible interfering substance(s) present.,36
43,Unable to assay. Specimen incorrectly identified.,27
44,33,23
45,0,23
46,34,19
47,Specimen received unlabelled.,16
48,37,16
49,35,14
50,38,12
51,NOT DONE,12
52,Not calculated,12
53,36,11
54,Unable to assay. Specimen improperly collected/handled.,9
55,Specimen hemolyzed.,8
56,42,8
57,Identity unclear. Specimen labelled incorrectly.,7
58,41,6
59,Requisitioning entry error,6
60,Unable to quantitate due to possible contamination.,6
61,39,5
62,40,5
63,"Test accessioning error,please disregard.",5
64,45,4
65,Unable to assay. Specimen grossly hemolyzed.,4
66,44,3
67,Disregard results. Specimen incorrectly identified.,3
68,47,3
69,NEG 3,2
70,Unable to assay. Specimen too old to perform test.,2
71,NEG 1,2
72,Patient discharged,2
73,Patient expired,2
74,Ignore results. Specimen was contaminated,2
75,Patient refused collection,2
76,Unable to calculate due to invalid or missing component.,2
77,52,2
78,16.5,2
79,Test reordered on another CCHS MRN.,2
80,<0,2
81,see below,2
82,43,2
83,Specimen collected in wrong container type.,2
84,50,2
85,Test inadvertently not performed,1
86,Unable to quantitate due to age of specimen.,1
87,Unable to assay due to viscosity of specimen.,1
88,17.2,1
89,Specimen drawn in wrong tube.,1
90,18.9,1
91,18.0,1
92,NEG 347,1
93,SPECIMEN HEMOLYZED,1
94,NEG 6,1
95,NEG 16,1
96,NEG 10,1
97,MISLABELED,1
98,LCAN LOCATION TOUTING ERROR,1
99,Ignore results. Specimen hemolyzed,1
100,NEG 5,1
101,"DUPLICATE ORDER,PATIENT CREDITED",1
102,CONVERTED TO ISTAT,1
103,<5,1
104,PT EXPIRED,1
105,55,1
106,53,1
107,51,1
108,Unable to assay. Analytical difficulty.,1
109,49,1
110,48,1
111,46,1
112,NEG 32,1
113,-2,1
