,index,ast_admit_value
0,,1492712
1,17,6609
2,16,6542
3,18,6539
4,15,6301
5,19,6139
6,20,5808
7,14,5640
8,21,5446
9,22,5065
10,13,4847
11,23,4572
12,24,4033
13,12,3913
14,25,3719
15,26,3426
16,27,3005
17,11,2870
18,28,2826
19,29,2564
20,30,2198
21,31,2066
22,32,1903
23,10,1852
24,33,1750
25,34,1530
26,35,1482
27,36,1400
28,37,1246
29,38,1187
30,9,1168
31,39,1106
32,40,1062
33,41,923
34,42,863
35,43,827
36,44,788
37,45,786
38,46,744
39,47,719
40,8,590
41,48,579
42,49,576
43,51,564
44,50,563
45,52,493
46,53,460
47,55,451
48,57,445
49,54,437
50,56,413
51,59,394
52,Unable to assay. Specimen significantly hemolyzed.,392
53,60,351
54,61,344
55,58,342
56,62,325
57,7,299
58,63,286
59,64,279
60,66,277
61,65,276
62,67,251
63,69,244
64,68,238
65,74,237
66,72,216
67,73,214
68,76,214
69,70,210
70,71,203
71,77,195
72,85,188
73,75,188
74,78,182
75,80,162
76,83,161
77,84,161
78,82,159
79,79,154
80,81,154
81,Account Credited,154
82,86,150
83,Specimen hemolyzed.,145
84,90,141
85,87,136
86,88,131
87,6,127
88,89,122
89,92,121
90,95,120
91,94,117
92,93,111
93,91,111
94,96,109
95,104,104
96,101,103
97,100,99
98,103,98
99,107,93
100,97,93
101,105,91
102,110,91
103,99,91
104,102,89
105,109,86
106,108,86
107,Unacceptable due to gross hemolysis. Redraw requested.,85
108,98,83
109,106,82
110,116,78
111,119,75
112,114,74
113,113,72
114,112,69
115,118,68
116,117,67
117,111,67
118,124,67
119,133,64
120,115,63
121,125,62
122,122,60
123,121,59
124,128,59
125,134,59
126,136,57
127,130,56
128,127,56
129,140,55
130,120,52
131,123,51
132,126,50
133,138,49
134,129,48
135,135,47
136,Result not available due to interference by hemolysis. Suggest reorder,46
137,132,44
138,145,44
139,141,44
140,131,43
141,5,43
142,151,42
143,147,41
144,149,39
145,175,38
146,139,38
147,152,38
148,154,38
149,143,37
150,167,37
151,150,36
152,Unable to assay. Quantity not sufficient.,36
153,137,35
154,146,35
155,Duplicate request,34
156,142,34
157,155,34
158,169,32
159,144,32
160,176,31
161,170,30
162,173,30
163,158,30
164,153,30
165,157,30
166,Unable to assay. Possible interfering substance(s) present.,29
167,159,29
168,162,29
169,179,29
170,156,29
171,163,28
172,160,28
173,172,28
174,165,28
175,168,27
176,174,27
177,180,26
178,148,26
179,187,26
180,177,26
181,171,25
182,166,25
183,164,25
184,Unable to assay. No specimen received.,24
185,197,24
186,195,23
187,240,22
188,193,22
189,161,22
190,188,22
191,<5,22
192,184,22
193,204,21
194,213,21
195,218,21
196,194,21
197,185,21
198,178,21
199,Cancelled by clinician,21
200,225,20
201,190,20
202,210,20
203,205,20
204,183,19
205,"CANCELLED,Specimen not collected or received",19
206,189,19
207,216,19
208,219,18
209,186,18
210,191,18
211,182,18
212,192,18
213,229,17
214,211,17
215,181,17
216,196,16
217,232,16
218,<6,16
219,201,16
220,199,16
221,Unable to assay. Specimen incorrectly identified.,16
222,Specimen received unlabelled.,16
223,203,15
224,237,15
225,223,15
226,238,14
227,215,14
228,236,14
229,231,14
230,220,14
231,206,14
232,202,14
233,212,14
234,208,13
235,266,13
236,200,13
237,207,13
238,222,13
239,254,12
240,251,12
241,235,12
242,227,12
