,index,attending_specialty_institute_desc
0,INTERNAL MED & PRIMARY CARE,712921
1,NEUROSCIENCE CARE,157065
2,CARDIAC CARE,140156
3,DIGESTIVE DISEASE CARE,139691
4,PEDIATRIC CARE,124972
5,OBGYN & WOMEN'S CARE,109705
6,ORTHOPAEDICS & RHEUMATOLOGY CARE,76137
7,UROLOGY & KIDNEY CARE,40277
8,EMERGENCY CARE,35823
9,CANCER CARE,31338
10,RESPIRATORY CARE,28265
11,Unspecified,10389
12,HEAD & NECK CARE,7551
13,DERM & PLASTICS CARE,5890
14,CONNECTED CARE,2163
15,ENDOCRINOLOGY CARE,2143
16,ANESTHESIOLOGY CARE,1985
17,IMAGING CARE,1242
18,WELLNESS CARE,1162
19,EYE CARE,632
20,SURGICAL CARE,458
21,PATHOLOGY CARE,16
