,index,baso_discharge_value
0,,1158232
1,0.2,98726
2,0.3,77741
3,0.1,77591
4,0.4,56873
5,0.5,41598
6,0.0,28602
7,0.6,28187
8,0.7,17043
9,0.8,11201
10,0.9,8439
11,1.0,7790
12,1.1,3828
13,1.2,2398
14,1.3,1828
15,1.4,1285
16,1.5,968
17,Unable to assay. Clotted specimen.,802
18,1.6,764
19,2.0,734
20,Account Credited,701
21,1.7,691
22,1,542
23,1.8,468
24,1.9,338
25,Unable to report,319
26,2.1,217
27,3.0,202
28,2.2,181
29,2.4,154
30,2.3,153
31,Too Few Cells To Do Differential,125
32,2.6,122
33,2,111
34,2.5,94
35,2.7,83
36,2.8,65
37,2.9,63
38,Unable to assay. Quantity not sufficient.,56
39,4.0,50
40,Duplicate request,46
41,3.1,42
42,Unable to assay. No specimen received.,37
43,3,31
44,3.2,31
45,3.5,29
46,Unable to assay. Specimen incorrectly identified.,28
47,3.4,27
48,5.0,26
49,3.3,22
50,Microtainer specimen,19
51,3.6,15
52,3.7,13
53,REVISED,10
54,3.9,10
55,4,9
56,6.0,9
57,0,9
58,Requisitioning entry error,9
59,Unable to quantitate due to possible contamination.,8
60,Unable to assay. Specimen improperly collected/handled.,8
61,3.8,7
62,4.4,7
63,7.0,7
64,Unable to assay. Possible interfering substance(s) present.,6
65,5,6
66,4.1,6
67,Cancelled by clinician,5
68,12.0,5
69,Ignore results. Specimen was contaminated,5
70,4.5,5
71,Specimen received unlabelled.,5
72,5.2,4
73,"Test accessioning error,please disregard.",4
74,Manual review follows,4
75,7.5,3
76,"CANCELLED,Specimen not collected or received",3
77,5.3,3
78,15.0,3
79,9.0,3
80,4.9,3
81,4.3,3
82,4.6,3
83,6.7,3
84,Ignore results. Specimen clotted.,2
85,Identity unclear. Specimen labelled incorrectly.,2
86,10.0,2
87,Test inadvertently not performed,2
88,4.2,2
89,6,2
90,8.0,2
91,5.1,2
92,5.6,2
93,7.9,2
94,4.7,1
95,SEE MANUAL DIFF BELOW,1
96,13.8,1
97,13.0,1
98,12.5,1
99,6.9,1
100,7.1,1
101,Medical record number mismatch. Disregard results.,1
102,Patient discharged,1
103,Patient expired,1
104,7.7,1
105,Results called to and read back by:,1
106,Specimen contaminated,1
107,SPECIMEN CLOTTED,1
108,6.5,1
109,Specimen drawn in wrong tube.,1
110,Specimen no longer available for testing.,1
111,7.8,1
112,8,1
113,Unable to assay.  Unable to locate specimen.,1
114,Unable to assay. Analytical difficulty.,1
115,Unable to assay. Broken/spilled in transit.,1
116,Unable to assay. Primary specimen no longer available for additional,1
117,8.4,1
118,8.7,1
119,14.0,1
120,6.1,1
121,4.8,1
122,Clerical Error,1
123,9.5,1
124,9.9,1
125,<0.3,1
126,39.0,1
127,<<DO NOT REPORT>>,1
128,ACRE,1
129,5.5,1
130,CLOTTED,1
131,CLTD,1
132,CNDPL,1
133,Called to,1
134,8.8,1
135,Disregard results.,1
136,MISLABELED,1
137,26.0,1
138,25.0,1
139,22.0,1
140,Disregard results. Specimen incorrectly identified.,1
141,IMPCOL,1
142,Ignore results.  Specimen clotted.,1
143,5.8,1
144,Ignore results. Specimen hemolyzed,1
145,Ignore results. Specimen mislabeled,1
146,Unit clotted,1
147,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
148,9,1
149,REQUEST CREDITED,0
