,index,bilirubin_total_admit_value
0,,1482323
1,0.3,24943
2,0.4,21537
3,0.2,19319
4,0.5,16064
5,0.6,11574
6,0.7,8189
7,0.8,6001
8,0.9,4237
9,<0.2,3727
10,1.0,3251
11,1.1,2523
12,1.2,1881
13,0.1,1507
14,1.3,1466
15,1.4,1184
16,1.5,995
17,1.6,777
18,1.7,656
19,1.8,534
20,1.9,512
21,2.0,432
22,2.1,361
23,2.2,289
24,<0.1,281
25,2.3,249
26,2.4,247
27,6.1,237
28,6.7,233
29,6.8,228
30,6.3,224
31,6.5,224
32,2.5,221
33,6.0,220
34,7.0,217
35,6.9,212
36,2.6,206
37,7.1,203
38,5.8,203
39,6.4,197
40,6.2,193
41,6.6,191
42,2.7,185
43,5.9,184
44,2.8,184
45,5.7,183
46,7.6,180
47,5.6,177
48,7.4,177
49,7.3,173
50,7.8,172
51,5.5,169
52,7.2,169
53,7.5,167
54,7.7,165
55,Account Credited,164
56,5.3,157
57,8.0,156
58,3.0,155
59,7.9,155
60,5.4,153
61,9.3,151
62,8.6,147
63,8.2,146
64,8.7,145
65,9.1,144
66,8.4,143
67,9.0,142
68,8.8,141
69,5.2,134
70,8.5,133
71,5.1,133
72,8.1,129
73,2.9,129
74,4.8,129
75,9.2,127
76,9.6,124
77,8.9,120
78,3.2,120
79,3.3,117
80,9.7,114
81,9.4,114
82,9.5,112
83,5.0,111
84,3.4,111
85,8.3,110
86,10.1,108
87,10.6,106
88,3.1,106
89,10.0,106
90,9.8,105
91,10.3,101
92,3.5,99
93,10.2,99
94,9.9,99
95,4.7,93
96,11.5,93
97,10.5,93
98,10.7,92
99,11.1,92
100,4.5,89
101,3.6,89
102,4.6,88
103,4.9,87
104,11.4,86
105,4.2,85
106,4.0,85
107,Unacceptable due to gross hemolysis. Redraw requested.,85
108,3.7,82
109,11.0,82
110,3.8,79
111,4.1,78
112,10.4,78
113,10.8,78
114,4.3,77
115,3.9,76
116,10.9,76
117,11.3,76
118,11.6,75
119,Unable to assay. Specimen significantly hemolyzed.,73
120,12.0,73
121,11.2,70
122,11.7,68
123,11.8,66
124,4.4,63
125,12.3,62
126,Unable to assay. Quantity not sufficient.,60
127,13.1,56
128,11.9,56
129,12.7,54
130,12.6,51
131,12.2,51
132,12.5,50
133,12.8,48
134,12.9,47
135,12.4,45
136,13.3,42
137,13.4,41
138,12.1,40
139,13.2,37
140,13.5,37
141,Duplicate request,36
142,13.0,34
143,13.8,33
144,13.7,33
145,13.6,33
