,index,bilirubin_total_discharge_value
0,,1489309
1,0.3,23703
2,0.4,20295
3,0.2,18627
4,0.5,15249
5,0.6,10891
6,0.7,7679
7,0.8,5607
8,0.9,3985
9,<0.2,3582
10,1.0,3031
11,1.1,2322
12,1.2,1784
13,0.1,1483
14,1.3,1379
15,1.4,1114
16,1.5,932
17,1.6,732
18,1.7,614
19,1.8,516
20,1.9,470
21,2.0,409
22,2.1,347
23,2.2,284
24,<0.1,275
25,2.4,245
26,2.3,232
27,2.5,222
28,6.1,214
29,6.7,210
30,6.3,208
31,6.0,205
32,6.8,204
33,6.5,202
34,6.9,191
35,5.8,189
36,7.0,185
37,7.1,182
38,6.4,181
39,2.8,181
40,2.6,178
41,6.2,177
42,5.9,176
43,7.6,175
44,5.7,172
45,2.7,169
46,9.1,167
47,5.5,163
48,9.3,163
49,6.6,163
50,8.6,163
51,7.3,162
52,8.7,161
53,5.6,161
54,7.2,160
55,7.9,159
56,7.8,159
57,7.7,159
58,7.4,158
59,9.0,156
60,3.0,153
61,8.0,151
62,8.9,148
63,5.3,146
64,7.5,146
65,8.4,145
66,8.2,143
67,5.4,143
68,8.5,141
69,9.2,139
70,9.6,138
71,9.7,138
72,8.8,136
73,9.4,136
74,Account Credited,131
75,8.1,129
76,4.8,129
77,9.5,129
78,9.9,124
79,10.0,123
80,2.9,123
81,5.1,122
82,10.1,121
83,5.2,121
84,10.2,119
85,8.3,119
86,10.6,118
87,10.3,118
88,9.8,118
89,3.4,114
90,10.5,110
91,11.1,110
92,5.0,109
93,3.2,108
94,3.1,107
95,3.3,106
96,11.5,106
97,10.7,105
98,11.0,99
99,3.5,99
100,11.4,97
101,10.8,96
102,10.9,95
103,11.3,94
104,10.4,90
105,3.6,90
106,4.6,87
107,11.7,87
108,11.6,86
109,4.0,85
110,4.9,84
111,12.0,83
112,4.2,83
113,4.5,83
114,4.7,83
115,11.2,79
116,4.1,77
117,3.7,77
118,11.8,77
119,3.8,75
120,Unacceptable due to gross hemolysis. Redraw requested.,75
121,4.3,75
122,12.3,73
123,3.9,73
124,11.9,72
125,12.7,69
126,4.4,66
127,13.1,65
128,12.2,64
129,Unable to assay. Specimen significantly hemolyzed.,61
130,12.5,61
131,12.4,60
132,12.9,58
133,12.8,57
134,12.1,56
135,12.6,53
136,13.3,52
137,Unable to assay. Quantity not sufficient.,50
138,13.4,44
139,13.2,43
140,13.0,43
141,13.5,39
142,Duplicate request,37
143,13.7,35
144,13.6,34
145,13.8,33
146,14.0,31
147,14.2,30
148,Unable to assay. No specimen received.,24
149,13.9,23
