,index,bmi_discharge
0,,534879
1,0,86708
2,26.63,1756
3,27.12,1606
4,27.46,1491
5,24.41,1475
6,29.29,1291
7,25.09,1263
8,25.84,1257
9,25.83,1242
10,27.44,1229
11,28.34,1121
12,24.37,1118
13,23.63,1103
14,27.98,1093
15,25.06,1049
16,26.58,1037
17,24.96,1036
18,28.7,1031
19,32.28,1031
20,26.61,1027
21,24.8,1010
22,26.57,988
23,27.26,987
24,24.39,986
25,22.96,986
26,24.33,970
27,24.03,969
28,26.31,965
29,24.69,964
30,28.19,956
31,25.1,950
32,26.15,947
33,28.29,944
34,26.45,935
35,29.95,923
36,30.11,915
37,28.35,907
38,25.39,903
39,25.24,902
40,28.89,900
41,31.32,894
42,26.95,891
43,28.32,888
44,27.62,878
45,29.76,877
46,24.21,876
47,25.69,873
48,25.75,873
49,26.26,863
50,26.78,860
51,21.63,853
52,22.31,853
53,28.12,852
54,22.3,847
55,22.81,847
56,26.52,846
57,29.05,844
58,21.95,842
59,27.34,842
60,23.03,841
61,25.4,841
62,26.79,838
63,23.49,838
64,24.55,836
65,22.86,835
66,24.13,831
67,23.96,828
68,25.85,827
69,28.25,826
70,25.97,825
71,27.41,821
72,22.46,818
73,23.3,815
74,23.73,813
75,29.18,809
76,25.79,805
77,29.53,804
78,24.14,803
79,22.14,799
80,26.54,795
81,23.24,795
82,25.51,792
83,27.29,790
84,23.41,786
85,24.22,783
86,24.02,783
87,29.7,782
88,22.6,781
89,27.25,781
90,27.45,776
91,25.68,776
92,28.97,775
93,29.26,773
94,27.81,770
95,21.79,768
96,31,766
97,25.82,766
98,29.12,763
99,21.29,758
100,28.9,757
101,31.09,756
102,25.73,752
103,21.97,751
104,25.11,750
105,31.57,746
106,30.13,744
107,30.27,743
108,26.76,741
109,30.54,740
110,31.01,739
111,25.61,736
112,27.37,736
113,28.06,736
114,28.5,735
115,27.96,734
116,24.84,731
117,24.45,731
118,30.04,729
119,24.28,728
120,22.24,723
121,23.44,722
122,27.06,722
123,24.27,722
124,29.84,720
125,24.63,719
126,26.29,718
127,25.7,716
128,25.86,715
129,25.77,713
130,24.94,713
131,22.5,712
132,25.23,712
133,27.8,711
134,30.9,711
