,index,bun_discharge_value
0,,1253984
1,11,22076
2,12,21967
3,10,21341
4,13,21275
5,9,20031
6,14,19704
7,15,18615
8,8,17774
9,16,16501
10,17,15216
11,7,15172
12,18,13733
13,6,12192
14,19,11824
15,20,10518
16,21,9294
17,5,8752
18,22,8006
19,23,7063
20,24,6263
21,4,5702
22,25,5610
23,26,4867
24,27,4534
25,28,3940
26,29,3557
27,30,3223
28,31,2943
29,3,2916
30,32,2596
31,33,2371
32,34,2142
33,35,1977
34,36,1863
35,37,1675
36,38,1648
37,39,1409
38,41,1315
39,40,1307
40,42,1169
41,43,1141
42,2,1114
43,44,973
44,45,939
45,47,846
46,46,827
47,48,789
48,50,746
49,49,709
50,51,697
51,52,596
52,53,585
53,54,533
54,56,504
55,55,487
56,57,460
57,59,440
58,58,433
59,60,387
60,61,382
61,63,341
62,62,334
63,65,328
64,64,317
65,66,295
66,70,261
67,71,253
68,67,244
69,68,244
70,69,238
71,72,199
72,74,198
73,<2,189
74,Account Credited,186
75,73,182
76,79,172
77,77,171
78,78,167
79,75,166
80,76,161
81,Duplicate request,161
82,80,147
83,82,140
84,83,136
85,81,128
86,84,125
87,86,106
88,85,104
89,87,98
90,90,96
91,89,95
92,93,94
93,<3,93
94,88,92
95,91,91
96,92,86
97,94,82
98,Unable to assay. Specimen significantly hemolyzed.,78
99,Unacceptable due to gross hemolysis. Redraw requested.,78
100,Unable to assay. No specimen received.,72
101,99,62
102,Unable to assay. Quantity not sufficient.,59
103,96,59
104,98,57
105,1,55
106,Unable to assay.  Unable to locate specimen.,52
107,97,52
108,95,50
109,Cancelled by clinician,47
110,106,46
111,100,44
112,"CANCELLED,Specimen not collected or received",43
113,102,43
114,101,42
115,103,40
116,111,39
117,Unable to assay. Possible interfering substance(s) present.,39
118,104,39
119,107,36
120,105,34
121,108,34
122,109,31
123,Unable to assay. Specimen incorrectly identified.,28
124,110,23
125,112,22
126,118,19
127,Specimen received unlabelled.,18
128,117,18
129,115,17
130,123,16
131,116,16
132,119,15
133,121,15
134,122,15
135,124,14
136,130,13
137,<1,13
138,129,13
139,126,13
140,120,12
141,128,11
142,113,11
143,131,10
144,125,10
145,Unable to assay. Specimen improperly collected/handled.,10
146,Specimen hemolyzed.,8
147,135,8
148,114,8
149,140,8
150,Unable to assay. Specimen grossly hemolyzed.,7
151,Identity unclear. Specimen labelled incorrectly.,7
152,"Test accessioning error,please disregard.",6
153,156,6
154,127,6
155,Requisitioning entry error,6
156,149,6
157,Unable to quantitate due to possible contamination.,6
158,132,5
159,133,5
160,134,5
161,141,5
162,139,4
163,146,4
164,136,4
165,163,4
166,148,3
167,150,3
168,173,3
169,138,3
170,142,3
171,143,3
172,145,3
173,Disregard results. Specimen incorrectly identified.,3
174,164,2
175,Ignore results. Specimen was contaminated,2
176,Patient refused collection,2
177,174,2
178,172,2
179,Patient expired,2
180,Patient discharged,2
181,137,2
182,Ignore results. Specimen hemolyzed,2
183,Unable to assay. Analytical difficulty.,2
184,194,2
185,153,2
186,177,2
187,169,2
188,Unable to assay. Specimen too old to perform test.,2
189,Specimen collected in wrong container type.,2
190,Test reordered on another CCHS MRN.,2
191,see below,2
192,155,2
193,151,2
194,152,2
195,147,2
196,Specimen leaked in transport.,1
197,SPECIMEN HEMOLYZED,1
198,Specimen drawn in wrong tube.,1
199,Unable to quantitate due to age of specimen.,1
200,<1.4,1
201,"DUPLICATE ORDER,PATIENT CREDITED",1
202,PT EXPIRED,1
203,Ignore results.  Ordered on wrong patient.,1
204,263,1
205,CONVERTED TO ISTAT,1
206,MISLABELED,1
207,LCAN LOCATION TOUTING ERROR,1
208,Ignore results.  Specimen mislabeled.,1
209,DUPL SEE BMP STROKE ORDER,1
210,180,1
211,253,1
212,Test inadvertently not performed,1
213,175,1
214,170,1
215,185,1
216,168,1
217,162,1
218,161,1
219,160,1
220,186,1
221,159,1
222,158,1
223,157,1
224,154,1
225,187,1
226,190,1
227,184,1
228,195,1
229,197,1
230,206,1
231,217,1
232,225,1
233,244,1
234,Unable to assay due to viscosity of specimen.,1
