,index,calcium_admit_value
0,,1280591
1,8.9,23902
2,9.0,23598
3,8.8,23259
4,9.1,22705
5,8.7,22222
6,9.2,21027
7,8.6,20011
8,9.3,19021
9,8.5,17832
10,9.4,16967
11,8.4,15403
12,9.5,14507
13,8.3,12745
14,9.6,12073
15,8.2,9987
16,9.7,9947
17,8.1,7829
18,9.8,7754
19,9.9,6263
20,8.0,5821
21,10.0,4728
22,7.9,4401
23,10.1,3473
24,7.8,3133
25,10.2,2580
26,7.7,2262
27,10.3,1956
28,7.6,1656
29,10.4,1552
30,7.5,1179
31,10.5,1117
32,7.4,849
33,10.6,842
34,10.7,631
35,7.3,601
36,10.8,504
37,7.2,452
38,10.9,344
39,7.1,344
40,11.0,311
41,7.0,255
42,Account Credited,219
43,11.1,199
44,6.9,183
45,11.2,168
46,6.8,158
47,Duplicate request,139
48,11.4,122
49,11.3,116
50,6.7,111
51,6.6,95
52,6.5,91
53,Unacceptable due to gross hemolysis. Redraw requested.,91
54,Unable to assay. Specimen significantly hemolyzed.,91
55,6.4,76
56,11.5,75
57,Unable to assay. No specimen received.,70
58,Unable to assay. Quantity not sufficient.,65
59,11.7,64
60,11.6,60
61,6.3,51
62,11.9,47
63,Cancelled by clinician,46
64,Unable to assay.  Unable to locate specimen.,45
65,11.8,42
66,6.0,40
67,"CANCELLED,Specimen not collected or received",39
68,Unable to assay. Possible interfering substance(s) present.,38
69,6.1,36
70,6.2,35
71,12.0,32
72,Unable to assay. Specimen incorrectly identified.,31
73,12.7,22
74,12.5,22
75,12.4,22
76,13.0,20
77,12.1,19
78,5.7,19
79,12.9,18
80,Specimen received unlabelled.,18
81,12.3,18
82,13.2,16
83,5.6,15
84,5.5,13
85,5.8,12
86,5.9,12
87,Specimen hemolyzed.,12
88,12.6,12
89,12.8,11
90,13.4,11
91,12.2,10
92,Unable to assay. Specimen improperly collected/handled.,10
93,13.9,10
94,13.1,10
95,5.4,9
96,1.15,9
97,13.5,8
98,Identity unclear. Specimen labelled incorrectly.,8
99,1.14,7
100,5.1,7
101,13.3,7
102,1.12,7
103,1.19,7
104,1.18,7
105,1.21,7
106,13.8,7
107,Unable to assay. Specimen grossly hemolyzed.,7
108,Unable to quantitate due to possible contamination.,7
109,1.23,7
110,1.17,7
111,14.2,6
112,14.3,6
113,14.4,6
114,5.0,6
115,5.2,6
116,1.13,6
117,Requisitioning entry error,6
118,1.08,6
119,14.8,5
120,1.11,5
121,1.16,5
122,"Test accessioning error,please disregard.",5
123,13.7,4
124,14.0,4
125,1.22,4
126,15.3,4
127,1.20,4
128,13.6,4
129,5.3,4
130,4.9,4
131,15.1,3
132,see below,3
133,Disregard results. Specimen incorrectly identified.,3
134,1.10,3
135,15.4,3
136,1.09,3
137,14.6,3
138,4.7,3
139,Patient expired,2
140,3.9,2
141,Patient refused collection,2
142,4.5,2
143,4.3,2
144,1.26,2
145,Patient discharged,2
146,14.9,2
147,1.07,2
148,Unable to assay. Analytical difficulty.,2
149,Specimen collected in wrong container type.,2
150,16.9,2
151,16.8,2
152,16.6,2
153,15.7,2
154,Ignore results. Specimen was contaminated,2
155,Unable to assay. Specimen too old to perform test.,2
156,15.0,2
157,4.6,2
158,1.24,1
159,1.06,1
160,1.05,1
161,1.01,1
162,0.99,1
163,0.97,1
164,1.25,1
165,1.27,1
166,1.34,1
167,1.35,1
168,1.36,1
169,1.39,1
170,1.40,1
171,1.30,1
172,4.1,1
173,14.1,1
174,14.7,1
175,Ignore results.  Specimen mislabeled.,1
176,Ignore results. Specimen hemolyzed,1
177,LCAN LOCATION TOUTING ERROR,1
178,MISID NOTIFIED SHENEFE DIAL 04/06 1340 TS,1
179,MISLABELED,1
180,Medical record number mismatch. Disregard results.,1
181,Notified by unit that specimen labelled incorrectly.,1
182,POS CONTAMINATION 998335BY 897715 103018,1
183,PT EXPIRED,1
184,SPECIMEN HEMOLYZED,1
185,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
186,Specimen contaminated,1
187,Specimen drawn in wrong tube.,1
188,Specimen leaked in transport.,1
189,Test inadvertently not performed,1
190,Test reordered on another CCHS MRN.,1
191,"UNSUITABLE FOR ANALYSIS,SAMPLES LEFT AT SATELLITE",1
192,Unable to assay due to viscosity of specimen.,1
193,Unable to quantitate due to age of specimen.,1
194,Ignore results.  Ordered on wrong patient.,1
195,"DUPLICATE ORDER,PATIENT CREDITED",1
196,CONVERTED TO ISTAT,1
197,4.8,1
198,15.2,1
199,15.5,1
200,15.8,1
201,16.1,1
202,16.2,1
203,16.7,1
204,17.5,1
205,17.6,1
206,17.7,1
207,18.4,1
208,19.1,1
209,2.5,1
210,2.8,1
211,20.6,1
212,3.6,1
213,3.7,1
214,4.0,1
215,4.2,1
216,4.4,1
217,0.36,1
218,1.04,0
