,index,co2_discharge_value
0,,1278429
1,25,44259
2,26,43508
3,24,39591
4,27,38013
5,23,31628
6,28,30119
7,22,23108
8,29,21529
9,21,15382
10,30,14378
11,20,9607
12,31,9122
13,19,5802
14,32,5422
15,18,3493
16,33,3242
17,34,2096
18,17,2027
19,35,1458
20,16,1228
21,36,947
22,15,766
23,37,660
24,38,512
25,14,462
26,39,372
27,13,296
28,40,258
29,12,204
30,41,199
31,Account Credited,177
32,Duplicate request,149
33,42,141
34,11,123
35,43,118
36,44,113
37,10,80
38,Unacceptable due to gross hemolysis. Redraw requested.,78
39,Unable to assay. Specimen significantly hemolyzed.,75
40,Unable to assay. No specimen received.,71
41,9,66
42,45,62
43,Unable to assay. Quantity not sufficient.,58
44,Unable to assay.  Unable to locate specimen.,51
45,Cancelled by clinician,43
46,"CANCELLED,Specimen not collected or received",42
47,Unable to assay. Possible interfering substance(s) present.,38
48,46,34
49,8,32
50,47,31
51,7,28
52,Unable to assay. Specimen incorrectly identified.,27
53,48,22
54,49,20
55,>50,17
56,5,17
57,6,16
58,Specimen received unlabelled.,16
59,>45,13
60,Specimen hemolyzed.,10
61,Unable to assay. Specimen improperly collected/handled.,10
62,50,8
63,Identity unclear. Specimen labelled incorrectly.,7
64,Requisitioning entry error,6
65,Unable to quantitate due to possible contamination.,6
66,4,6
67,Unable to assay. Specimen grossly hemolyzed.,5
68,"Test accessioning error,please disregard.",5
69,Disregard results. Specimen incorrectly identified.,3
70,<3,3
71,Patient refused collection,2
72,54,2
73,Ignore results. Specimen was contaminated,2
74,Unable to assay. Analytical difficulty.,2
75,Patient expired,2
76,Test reordered on another CCHS MRN.,2
77,see below,2
78,Unable to assay. Specimen too old to perform test.,2
79,Patient discharged,2
80,Specimen collected in wrong container type.,2
81,Ignore results. Specimen hemolyzed,2
82,Ignore results.  Specimen mislabeled.,1
83,56,1
84,Unable to quantitate due to age of specimen.,1
85,Ignore results.  Ordered on wrong patient.,1
86,CONVERTED TO ISTAT,1
87,LCAN LOCATION TOUTING ERROR,1
88,Unable to assay due to viscosity of specimen.,1
89,Test inadvertently not performed,1
90,MISLABELED,1
91,"DUPLICATE ORDER,PATIENT CREDITED",1
92,Specimen leaked in transport.,1
93,3,1
94,Specimen drawn in wrong tube.,1
95,SPECIMEN HEMOLYZED,1
96,PT EXPIRED,1
