,index,creatinine_admit_value
0,,1297427
1,0.70,4873
2,0.80,4798
3,0.81,4753
4,0.77,4741
5,0.76,4725
6,0.78,4709
7,0.75,4690
8,0.72,4686
9,0.82,4658
10,0.74,4653
11,0.79,4640
12,0.71,4597
13,0.73,4585
14,0.85,4544
15,0.86,4509
16,0.69,4495
17,0.84,4427
18,0.83,4388
19,0.87,4346
20,0.67,4310
21,0.68,4303
22,0.88,4176
23,0.65,4124
24,0.90,4114
25,0.89,4083
26,0.66,4066
27,0.91,4021
28,0.92,3964
29,0.64,3862
30,0.63,3804
31,0.94,3788
32,0.62,3759
33,0.93,3749
34,0.95,3688
35,0.96,3647
36,0.61,3621
37,0.97,3459
38,1.00,3425
39,0.60,3380
40,0.99,3366
41,0.98,3323
42,0.59,3165
43,1.01,3099
44,0.58,3045
45,1.02,3036
46,1.03,3005
47,1.04,2853
48,1.05,2778
49,0.57,2739
50,0.56,2666
51,1.06,2643
52,1.07,2508
53,1.08,2479
54,0.55,2468
55,1.09,2411
56,1.10,2390
57,1.11,2302
58,0.54,2217
59,1.12,2141
60,1.13,2130
61,1.14,2014
62,0.52,1960
63,1.16,1947
64,0.53,1935
65,1.15,1930
66,1.17,1818
67,0.51,1707
68,1.18,1689
69,1.20,1661
70,1.19,1623
71,0.50,1617
72,1.21,1547
73,0.49,1466
74,1.22,1464
75,1.23,1413
76,1.24,1348
77,1.26,1334
78,1.25,1307
79,1.27,1257
80,0.7,1249
81,1.28,1210
82,0.6,1209
83,0.48,1208
84,1.29,1159
85,0.8,1150
86,1.30,1133
87,1.31,1108
88,0.47,1105
89,0.46,1095
90,1.32,1057
91,1.35,997
92,1.34,973
93,1.33,966
94,0.9,964
95,1.36,919
96,0.45,872
97,1.38,869
98,1.39,852
99,1.37,844
100,1.40,823
101,0.5,783
102,0.44,782
103,1.43,758
104,1.41,741
105,0.43,740
106,1.44,728
107,1.45,722
108,1.42,720
109,1.0,699
110,1.46,649
111,0.42,647
112,1.50,646
113,1.47,621
114,1.48,620
115,1.49,607
116,1.52,583
117,1.51,576
118,1.53,547
119,0.41,540
120,1.54,518
121,0.39,510
122,1.55,507
123,0.40,502
124,1.56,495
125,1.57,487
126,1.58,483
127,1.1,466
128,1.61,441
129,1.59,436
130,1.62,432
131,0.38,429
132,1.60,426
133,1.64,426
134,0.37,396
135,1.63,392
136,1.67,388
137,1.65,372
138,1.70,367
139,1.68,363
140,1.66,360
141,1.72,357
142,1.69,351
143,0.36,330
144,1.71,328
145,1.2,326
146,1.73,323
147,1.76,314
148,0.4,304
149,1.75,304
150,1.77,298
151,0.35,293
152,0.34,288
153,1.78,288
154,1.79,287
155,1.74,282
156,1.82,280
157,1.80,271
158,1.81,270
159,0.33,257
160,1.84,253
161,1.83,251
162,1.86,248
163,1.93,242
164,0.30,240
165,1.87,234
166,1.88,234
167,0.24,233
168,0.28,232
169,0.25,229
170,1.91,229
171,0.29,228
172,1.3,226
173,0.32,225
174,1.90,225
175,0.26,221
176,0.27,220
177,0.23,219
178,0.31,218
179,1.85,214
180,1.89,212
181,2.00,200
182,1.94,199
183,1.98,198
184,1.95,194
185,Account Credited,191
186,2.02,189
187,0.21,187
188,1.96,183
189,2.05,181
190,0.22,179
191,1.99,175
192,1.97,170
193,1.92,169
194,2.03,168
195,2.08,168
196,2.07,167
197,2.01,167
198,2.04,165
199,2.13,152
200,1.4,152
201,2.11,150
202,0.20,145
203,2.06,145
204,2.09,144
205,2.10,134
206,2.15,134
207,2.14,133
208,2.19,133
209,Duplicate request,132
210,2.23,129
211,2.12,128
212,2.27,125
213,2.33,122
214,2.22,120
215,0.19,119
216,2.21,119
217,2.32,118
218,2.20,118
219,2.28,115
220,2.16,115
221,2.26,115
222,2.24,114
223,2.18,114
224,2.35,111
225,2.17,104
226,2.25,103
227,2.39,102
228,2.36,102
229,2.37,99
230,0.18,98
231,1.5,98
232,2.40,98
233,2.34,98
234,2.38,97
235,2.30,97
236,2.45,96
237,2.44,95
238,Unable to assay. Specimen significantly hemolyzed.,95
239,2.31,91
240,Unacceptable due to gross hemolysis. Redraw requested.,91
241,2.49,88
242,2.46,87
243,2.50,87
244,2.54,85
245,2.42,84
246,2.48,84
247,2.57,82
248,2.29,81
249,2.47,80
250,0.17,76
251,2.51,76
252,2.43,75
253,2.60,75
254,2.63,75
255,2.41,74
256,2.52,74
257,2.53,74
258,2.55,74
259,2.74,73
260,2.72,72
261,2.65,72
262,2.59,71
263,2.71,70
264,2.56,70
265,2.69,70
266,2.73,70
267,2.68,69
268,2.70,68
269,Unable to assay. No specimen received.,68
270,2.58,66
271,0.3,66
272,2.81,65
273,1.6,65
274,2.64,63
275,2.90,63
276,2.62,63
277,2.85,63
278,2.79,62
279,2.66,61
280,3.00,61
281,2.78,60
282,2.77,60
283,2.75,57
284,3.10,56
285,0.16,55
286,2.87,55
287,2.83,54
288,Unable to assay. Quantity not sufficient.,54
289,1.7,54
290,2.67,54
291,2.84,54
292,2.82,53
293,3.04,50
294,3.43,50
295,2.76,50
296,2.61,50
297,3.21,49
298,2.97,49
299,3.05,49
300,2.91,49
301,2.80,48
302,2.99,48
303,2.96,48
304,2.94,48
305,3.26,48
306,2.89,48
307,3.11,48
308,2.86,48
309,3.25,48
310,2.92,46
311,2.93,46
312,3.37,46
313,3.13,46
314,2.98,46
315,3.20,45
316,1.8,45
317,3.02,45
318,1.9,45
319,3.34,45
320,3.32,45
321,Cancelled by clinician,44
322,3.19,43
323,3.23,43
324,3.06,43
325,3.44,42
326,2.88,42
327,3.67,42
328,3.09,41
329,3.12,41
330,3.33,41
331,3.70,40
332,3.28,40
333,Unable to assay.  Unable to locate specimen.,40
334,"CANCELLED,Specimen not collected or received",39
335,3.41,39
336,3.08,38
337,3.62,38
338,3.31,38
339,3.17,38
340,2.95,37
341,3.36,36
342,3.03,35
343,3.60,35
344,Unable to assay. Possible interfering substance(s) present.,35
345,3.14,35
346,3.74,35
347,3.39,35
348,3.64,34
349,3.01,34
350,3.45,33
351,3.22,33
352,3.07,33
353,3.49,33
354,3.52,33
355,3.58,33
356,3.77,33
357,3.69,33
358,3.63,33
359,3.93,32
360,3.55,32
361,3.38,32
362,3.16,32
363,3.15,32
364,3.27,32
365,3.46,32
366,3.54,31
367,4.59,31
368,Unable to assay. Specimen incorrectly identified.,31
369,3.30,31
370,4.32,31
371,3.72,31
372,3.35,31
373,4.21,31
374,3.40,31
375,2.0,30
376,3.61,30
377,3.42,30
378,3.50,30
379,3.51,30
380,0.15,30
381,3.48,29
382,4.14,29
383,0.14,29
384,4.15,29
385,4.24,29
386,4.39,29
387,4.10,29
388,3.91,29
389,3.56,29
390,3.24,29
391,3.98,28
392,3.65,28
393,3.47,28
394,3.53,28
395,3.82,27
396,4.01,27
397,3.73,27
398,3.78,27
399,4.26,27
400,3.84,27
401,3.85,27
402,3.59,27
403,4.02,27
404,4.03,27
405,4.20,27
406,3.99,27
407,4.18,26
408,2.1,26
409,3.83,26
410,3.92,26
411,3.96,26
412,3.79,26
413,4.09,26
414,4.07,25
415,4.12,25
416,4.62,25
417,3.29,25
418,3.76,25
419,5.38,25
420,3.71,25
421,5.42,25
422,3.90,24
423,4.77,24
424,4.46,24
425,5.23,24
426,4.87,24
427,3.66,24
428,5.36,23
429,3.57,23
430,3.95,23
431,3.75,23
432,4.53,23
433,4.56,23
434,3.86,23
435,3.80,23
436,5.39,23
437,5.41,23
438,3.88,23
439,4.34,23
440,4.37,23
441,5.44,23
442,4.84,23
443,5.01,23
444,4.79,23
445,5.32,23
446,5.81,22
447,5.97,22
448,3.68,22
449,5.45,22
450,5.50,22
451,2.3,22
452,4.95,22
453,5.56,22
454,4.58,22
455,5.29,22
456,4.57,22
457,4.04,22
458,3.18,22
459,6.50,22
460,4.43,22
461,3.87,22
462,4.23,22
463,4.36,22
464,4.54,22
465,3.97,22
466,4.49,21
467,3.89,21
468,6.65,21
469,4.93,21
470,4.41,21
471,5.05,21
472,5.14,21
473,5.46,21
474,4.17,21
475,4.13,21
476,4.67,21
477,4.05,21
478,4.68,21
479,4.11,21
480,4.22,20
481,5.26,20
482,4.40,20
483,3.81,20
484,5.47,20
485,6.07,20
486,4.50,20
487,6.48,20
488,5.10,20
489,5.20,20
490,4.65,20
491,5.69,20
492,4.08,19
493,4.00,19
494,4.35,19
495,4.33,19
496,5.48,19
497,5.68,19
498,5.66,19
499,4.29,19
500,5.30,19
501,5.34,19
502,5.15,19
503,5.00,19
504,4.89,19
505,4.76,19
506,6.37,19
507,4.78,19
508,4.48,19
509,4.80,19
510,6.42,19
511,5.88,19
512,4.47,19
513,4.70,18
514,Specimen received unlabelled.,18
515,6.63,18
516,4.44,18
517,4.27,18
518,6.45,18
519,4.81,18
520,4.16,18
521,4.61,18
522,4.06,18
523,5.22,18
524,5.71,18
525,5.86,18
526,5.21,18
527,4.88,18
528,5.84,18
529,6.03,17
530,6.88,17
531,4.45,17
532,6.08,17
533,5.25,17
534,4.72,17
535,4.71,17
536,6.97,17
537,4.86,17
538,6.01,17
539,4.60,17
540,5.53,17
541,2.2,17
542,5.85,17
543,5.62,17
544,4.98,17
545,4.96,17
546,4.75,17
547,4.85,17
548,4.30,17
549,4.94,17
550,4.92,16
551,4.52,16
552,4.55,16
553,4.64,16
554,4.91,16
555,4.19,16
556,5.27,16
557,4.83,16
558,4.82,16
559,4.25,16
560,5.08,16
561,4.74,16
562,4.42,16
563,5.03,16
564,6.04,16
565,7.13,16
566,6.24,16
567,5.59,16
568,6.73,16
569,5.54,16
570,5.61,16
571,5.51,16
572,6.81,16
573,5.91,16
574,6.53,16
575,0.13,16
576,5.37,16
577,5.82,16
578,4.90,15
579,5.92,15
580,6.19,15
581,6.22,15
582,5.65,15
583,4.51,15
584,4.28,15
585,5.67,15
586,5.75,15
587,6.38,15
588,4.31,15
589,8.74,15
590,8.36,15
591,6.90,15
592,5.02,15
593,6.12,15
594,9.13,15
595,5.24,15
596,6.09,15
597,5.40,15
598,4.69,15
599,4.73,15
600,5.18,15
601,4.66,15
602,5.04,15
603,7.85,15
604,5.55,15
605,5.99,15
606,5.09,15
607,5.98,15
608,6.16,15
609,6.31,15
610,4.63,14
611,5.28,14
612,6.60,14
613,6.75,14
614,7.62,14
615,6.77,14
616,6.80,14
617,6.87,14
618,6.91,14
619,6.95,14
620,7.00,14
621,0.2,14
622,9.65,14
623,3.94,14
624,7.26,14
625,7.32,14
626,6.76,14
627,5.57,14
628,5.77,14
629,5.73,14
630,5.94,14
631,5.64,14
632,5.19,14
633,5.93,14
634,5.63,14
635,5.90,14
636,5.07,14
637,5.58,13
638,4.38,13
639,5.74,13
640,5.70,13
641,7.65,13
642,6.84,13
643,6.94,13
644,6.06,13
645,6.96,13
646,6.52,13
647,5.52,13
648,7.11,13
649,5.17,13
650,7.95,13
651,8.01,13
652,8.08,13
653,7.59,13
654,7.37,13
655,5.11,13
656,6.93,13
657,8.80,13
658,8.42,13
659,6.21,13
660,6.23,13
661,6.44,13
662,5.79,13
663,6.43,13
664,7.87,12
665,Specimen hemolyzed.,12
666,8.12,12
667,6.11,12
668,6.32,12
669,8.30,12
670,8.40,12
