,index,creatinine_discharge_value
0,,1294667
1,0.70,4923
2,0.80,4820
3,0.75,4777
4,0.77,4777
5,0.76,4776
6,0.81,4772
7,0.78,4762
8,0.72,4759
9,0.79,4739
10,0.74,4724
11,0.71,4651
12,0.73,4643
13,0.82,4638
14,0.85,4597
15,0.86,4559
16,0.69,4545
17,0.84,4468
18,0.83,4450
19,0.87,4396
20,0.67,4352
21,0.68,4320
22,0.88,4210
23,0.65,4209
24,0.90,4165
25,0.89,4096
26,0.66,4067
27,0.91,4049
28,0.92,4028
29,0.63,3921
30,0.64,3906
31,0.94,3843
32,0.62,3795
33,0.93,3775
34,0.95,3712
35,0.61,3656
36,0.96,3638
37,0.97,3515
38,0.60,3443
39,1.00,3431
40,0.99,3392
41,0.98,3369
42,0.59,3232
43,1.01,3144
44,0.58,3101
45,1.02,3075
46,1.03,3008
47,1.04,2844
48,1.05,2815
49,0.57,2773
50,0.56,2716
51,1.06,2676
52,1.07,2553
53,0.55,2516
54,1.08,2494
55,1.10,2420
56,1.09,2413
57,1.11,2311
58,0.54,2266
59,1.12,2167
60,1.13,2131
61,0.52,2019
62,1.14,2018
63,0.53,2000
64,1.16,1958
65,1.15,1954
66,1.17,1870
67,0.51,1753
68,1.18,1707
69,1.20,1677
70,0.50,1657
71,1.19,1617
72,1.21,1552
73,0.49,1509
74,1.22,1498
75,1.23,1434
76,1.24,1338
77,1.25,1334
78,1.26,1328
79,1.27,1280
80,0.7,1255
81,0.48,1248
82,0.6,1221
83,1.28,1206
84,1.29,1164
85,0.8,1156
86,0.47,1136
87,1.30,1133
88,0.46,1119
89,1.31,1101
90,1.32,1061
91,1.35,995
92,1.34,965
93,1.33,961
94,0.9,961
95,1.36,921
96,0.45,900
97,1.38,886
98,1.37,852
99,1.39,848
100,1.40,831
101,0.5,825
102,0.44,810
103,0.43,757
104,1.43,747
105,1.41,734
106,1.44,727
107,1.42,722
108,1.45,717
109,1.0,697
110,1.46,655
111,0.42,652
112,1.50,635
113,1.47,613
114,1.48,610
115,1.49,607
116,1.51,584
117,1.52,576
118,0.41,555
119,1.53,554
120,0.39,527
121,1.55,509
122,0.40,508
123,1.54,503
124,1.58,489
125,1.56,484
126,1.57,474
127,1.1,459
128,1.61,441
129,1.59,436
130,0.38,423
131,1.64,421
132,1.62,418
133,1.60,416
134,0.37,398
135,1.63,395
136,1.67,390
137,1.68,361
138,1.65,361
139,1.70,360
140,1.66,353
141,1.72,344
142,1.69,343
143,0.36,339
144,1.71,325
145,1.2,320
146,1.73,318
147,0.4,313
148,1.76,310
149,0.34,299
150,1.77,293
151,0.35,289
152,1.79,288
153,1.74,287
154,1.78,286
155,1.75,286
156,1.82,281
157,1.81,276
158,1.80,272
159,0.33,263
160,1.86,260
161,1.84,249
162,1.83,249
163,0.32,244
164,0.30,238
165,0.28,237
166,1.91,236
167,1.93,236
168,1.87,235
169,1.88,233
170,0.24,232
171,1.90,230
172,0.29,229
173,0.25,229
174,1.3,229
175,0.31,228
176,0.26,222
177,0.23,222
178,0.27,217
179,1.85,217
180,1.89,212
181,2.00,195
182,1.98,194
183,1.94,192
184,1.95,188
