,index,dateofbirth
0,394848000000000000,269
1,643420800000000000,229
2,-392169600000000000,220
3,-351993600000000000,201
4,-171936000000000000,194
5,-718416000000000000,193
6,-656380800000000000,189
7,-261360000000000000,186
8,486950400000000000,183
9,-852076800000000000,181
10,-513216000000000000,179
11,-779500800000000000,177
12,-417571200000000000,177
13,-561427200000000000,175
14,-503107200000000000,175
15,-793670400000000000,174
16,-358214400000000000,174
17,-362880000000000000,173
18,-706492800000000000,173
19,-657849600000000000,173
20,-343958400000000000,172
21,591494400000000000,172
22,-647740800000000000,172
23,-703728000000000000,172
24,-736300800000000000,172
25,-531878400000000000,171
26,-709257600000000000,170
27,-315619200000000000,170
28,-722908800000000000,170
29,-991094400000000000,169
30,-533692800000000000,167
31,-590976000000000000,167
32,-422064000000000000,167
33,-122688000000000000,166
34,-1108425600000000000,166
35,-666057600000000000,165
36,-129686400000000000,164
37,41731200000000000,164
38,-327110400000000000,164
39,-134092800000000000,164
40,-626054400000000000,164
41,-483235200000000000,162
42,-43372800000000000,162
43,-1022371200000000000,162
44,-725846400000000000,160
45,-659836800000000000,160
46,-489369600000000000,157
47,-335750400000000000,157
48,-643593600000000000,157
49,-419817600000000000,157
50,-731203200000000000,157
51,-694310400000000000,157
52,-305596800000000000,156
53,-712886400000000000,156
54,-795225600000000000,156
55,-567734400000000000,156
56,-895276800000000000,156
57,-500256000000000000,155
58,-715478400000000000,155
59,-557020800000000000,154
60,-735696000000000000,154
61,-757382400000000000,154
62,-437702400000000000,154
63,-1005177600000000000,153
64,-483148800000000000,153
65,-674438400000000000,152
66,-610416000000000000,152
67,-629424000000000000,152
68,-553478400000000000,152
69,-564796800000000000,152
70,-412214400000000000,152
71,-459648000000000000,151
72,-468201600000000000,151
73,-788918400000000000,151
74,-508118400000000000,151
75,-632448000000000000,151
76,-1106524800000000000,150
77,-519004800000000000,150
78,-407548800000000000,150
79,-518227200000000000,150
80,-681091200000000000,150
81,-728784000000000000,149
82,-424569600000000000,149
83,-595555200000000000,149
84,-379123200000000000,148
85,-1258675200000000000,148
86,-715910400000000000,148
87,-700790400000000000,148
88,317088000000000000,148
89,-444700800000000000,148
90,-205200000000000000,148
91,-800928000000000000,148
92,-565401600000000000,148
93,-707184000000000000,147
94,-525571200000000000,147
95,-644716800000000000,147
96,-690249600000000000,147
97,-402537600000000000,147
98,-645580800000000000,147
99,-276393600000000000,147
100,-234748800000000000,147
101,-593222400000000000,147
102,-478310400000000000,147
103,-419558400000000000,146
104,-737510400000000000,146
105,-680486400000000000,146
106,-495590400000000000,146
107,-690163200000000000,145
108,-559958400000000000,145
109,-312595200000000000,145
110,-613612800000000000,145
111,-688003200000000000,144
112,19699200000000000,144
113,-700963200000000000,144
114,232329600000000000,144
115,-673401600000000000,144
116,-1154822400000000000,144
117,-452390400000000000,143
118,-449280000000000000,143
119,-318124800000000000,143
120,-704419200000000000,142
121,-393811200000000000,142
122,-355795200000000000,142
123,-1134345600000000000,142
124,-721180800000000000,142
125,-720489600000000000,141
126,-642297600000000000,141
127,-366076800000000000,141
128,-667526400000000000,141
129,59097600000000000,141
130,-601171200000000000,141
131,-506908800000000000,141
132,-754099200000000000,141
133,-883612800000000000,141
134,-326851200000000000,141
135,-457142400000000000,140
136,-657072000000000000,140
137,-631152000000000000,140
138,-576806400000000000,140
139,-355622400000000000,140
140,-565574400000000000,140
141,-890784000000000000,140
142,-626313600000000000,140
143,-449884800000000000,140
144,-820540800000000000,140
145,-548553600000000000,140
146,-776476800000000000,140
147,-986515200000000000,139
148,-706924800000000000,139
149,-153705600000000000,139
150,-485827200000000000,139
151,-451526400000000000,139
152,-671932800000000000,139
153,-1172448000000000000,139
154,-228182400000000000,139
155,-685670400000000000,138
156,-574732800000000000,138
157,-431913600000000000,138
158,-469411200000000000,138
159,-1093305600000000000,138
160,-901238400000000000,138
161,-70502400000000000,138
162,-950313600000000000,138
163,-602553600000000000,138
164,-680400000000000000,137
165,-256780800000000000,137
166,-572918400000000000,137
167,-391219200000000000,137
168,-378172800000000000,137
169,-568512000000000000,137
170,-803088000000000000,137
171,-546480000000000000,137
172,-843782400000000000,136
173,-1086220800000000000,136
174,-909273600000000000,136
175,-637804800000000000,136
176,-587174400000000000,136
177,-445996800000000000,136
178,-671500800000000000,136
179,-1100563200000000000,136
180,-1049414400000000000,136
181,-435024000000000000,136
182,-395193600000000000,136
183,-820972800000000000,136
184,-491270400000000000,136
185,-484444800000000000,136
186,-720835200000000000,136
187,-710553600000000000,135
188,-842313600000000000,135
189,-322272000000000000,135
190,-572227200000000000,135
191,-901756800000000000,135
192,-855360000000000000,135
193,-633052800000000000,135
194,-596332800000000000,135
195,-340416000000000000,135
196,-498096000000000000,135
197,-486345600000000000,135
198,742521600000000000,135
199,-489974400000000000,135
200,-135907200000000000,135
201,-669772800000000000,134
202,-671241600000000000,134
203,-738028800000000000,134
204,-361238400000000000,134
205,-926985600000000000,134
206,-409017600000000000,134
207,-728179200000000000,134
208,-400550400000000000,134
209,-395625600000000000,134
210,-867715200000000000,134
211,-283824000000000000,134
212,-676080000000000000,134
213,-437443200000000000,134
214,-715392000000000000,133
215,-549849600000000000,133
216,-549417600000000000,133
217,-388713600000000000,133
218,-712108800000000000,133
219,-360374400000000000,133
220,-687139200000000000,133
221,-282009600000000000,133
222,-807840000000000000,133
223,-374371200000000000,133
224,-390614400000000000,133
225,-877564800000000000,132
226,-604800000000000000,132
227,-691545600000000000,132
228,-900115200000000000,132
229,-501638400000000000,132
230,-605232000000000000,132
