,index,discharge_date
0,2018-06-15,921
1,2018-05-25,891
2,2017-11-22,890
3,2018-05-18,885
4,2018-03-30,882
5,2017-12-22,881
6,2018-07-13,873
7,2017-11-03,871
8,2018-05-16,868
9,2018-08-24,864
10,2018-02-16,858
11,2018-07-27,853
12,2018-06-01,851
13,2018-07-06,846
14,2018-07-20,842
15,2018-04-27,840
16,2018-08-10,840
17,2018-05-04,840
18,2017-12-08,839
19,2018-04-13,837
20,2018-09-07,830
21,2014-11-26,827
22,2018-03-02,827
23,2018-03-16,826
24,2017-10-27,826
25,2018-06-22,826
26,2018-06-29,823
27,2018-08-03,822
28,2018-08-17,821
29,2018-04-20,819
30,2017-01-06,817
31,2017-10-06,814
32,2018-05-11,813
33,2017-11-10,812
34,2017-10-13,812
35,2018-01-19,812
36,2018-09-14,810
37,2018-08-31,810
38,2018-05-24,807
39,2018-03-23,804
40,2018-09-21,804
41,2017-11-17,802
42,2017-12-15,802
43,2016-11-23,801
44,2018-06-28,801
45,2017-02-24,800
46,2014-12-19,800
47,2018-06-14,799
48,2018-08-23,799
49,2018-01-11,799
50,2018-06-08,798
51,2018-10-12,797
52,2017-10-20,795
53,2018-02-09,795
54,2017-02-17,794
55,2018-02-02,793
56,2017-11-15,791
57,2014-12-12,791
58,2018-03-09,790
59,2018-08-16,790
60,2017-06-30,790
61,2017-05-19,790
62,2015-06-19,789
63,2018-01-26,789
64,2014-12-05,788
65,2018-07-12,788
66,2017-01-27,786
67,2014-06-20,786
68,2017-03-31,784
69,2018-10-05,783
70,2018-04-06,782
71,2017-12-21,781
72,2016-12-16,781
73,2017-03-24,781
74,2017-12-01,780
75,2018-07-03,780
76,2014-09-19,778
77,2012-11-21,776
78,2014-08-22,774
79,2014-02-28,774
80,2014-12-31,772
81,2017-01-13,772
82,2018-01-25,771
83,2017-04-07,771
84,2016-11-18,770
85,2017-09-29,768
86,2018-01-10,768
87,2015-01-30,767
88,2018-07-26,767
89,2018-06-07,767
