,index,discharge_diastolic_bp
0,,116225
1,70,50071
2,60,49188
3,68,48118
4,65,46730
5,67,46265
6,64,46230
7,62,45723
8,66,45355
9,69,45246
10,63,44624
11,58,44572
12,72,44543
13,71,41176
14,59,40579
15,61,40521
16,74,39653
17,73,38085
18,56,37428
19,75,36427
20,57,35694
21,76,35555
22,78,33840
23,77,32454
24,55,32384
25,80,30951
26,79,28391
27,54,28076
28,53,25031
29,82,24654
30,81,24317
31,52,23843
32,50,21657
33,83,20968
34,84,20777
35,51,19617
36,85,18224
37,86,17389
38,88,15444
39,87,14963
40,90,13211
41,89,12823
42,49,11056
43,48,10811
44,91,8782
45,47,8686
46,92,8536
47,46,7932
48,93,7142
49,45,6740
50,94,6718
51,44,5802
52,95,5793
53,96,5437
54,43,4769
55,98,4714
56,97,4698
57,42,4524
58,41,3621
59,99,3591
60,40,3471
61,100,2138
62,39,2001
63,38,1861
64,37,1659
65,36,1376
66,35,1301
67,101,1197
68,102,1148
69,34,1091
70,32,965
71,33,945
72,103,937
73,104,870
74,31,779
75,30,735
76,105,701
77,106,676
78,0,603
79,107,531
80,108,503
81,109,430
82,110,418
83,29,418
84,28,411
85,26,338
86,27,303
87,25,289
88,111,280
89,24,266
90,20,253
91,23,245
92,21,232
93,112,228
94,22,228
95,16,215
96,18,210
97,113,202
98,19,191
99,14,183
100,17,175
101,13,157
102,15,156
103,115,153
104,114,146
105,12,139
106,10,136
107,116,128
108,11,127
109,117,113
110,118,107
111,7,99
112,119,95
113,8,93
114,9,89
115,120,80
116,6,80
117,5,59
118,4,53
119,121,51
120,122,43
121,1,39
122,2,38
123,3,38
124,126,34
125,124,29
126,123,27
127,128,25
128,125,25
129,130,18
130,127,16
131,129,13
132,135,13
133,132,12
134,134,12
135,136,11
136,140,9
137,139,9
138,131,9
139,144,7
140,137,6
141,133,5
142,138,5
143,145,4
144,143,4
145,156,4
146,141,3
147,151,3
148,157,3
149,184,3
150,167,3
151,142,2
152,328,2
153,195,2
154,239,2
155,326,2
156,297,2
157,188,2
158,252,2
159,153,2
160,154,2
161,180,2
162,259,2
163,-4,2
164,149,2
165,263,2
166,159,2
167,-8,1
168,246,1
169,146,1
170,147,1
171,232,1
172,236,1
173,248,1
174,269,1
175,271,1
176,274,1
177,279,1
178,282,1
179,283,1
180,286,1
181,289,1
182,316,1
183,320,1
184,324,1
185,330,1
186,337,1
187,349,1
188,231,1
189,230,1
190,217,1
191,176,1
192,150,1
193,152,1
194,155,1
195,160,1
196,161,1
197,162,1
198,163,1
199,170,1
200,172,1
201,187,1
202,191,1
203,194,1
204,197,1
205,203,1
206,206,1
207,-3,1
208,208,0
209,317,0
210,254,0
211,204,0
