,index,discharge_systolic_bp
0,,116225
1,120,32777
2,118,31940
3,121,30793
4,122,30564
5,119,30482
6,116,30075
7,124,29768
8,110,29464
9,117,29367
10,112,29272
11,115,29080
12,128,29006
13,125,28667
14,114,28529
15,126,28473
16,123,28449
17,130,28055
18,127,27261
19,113,27243
20,132,26748
21,129,26587
22,111,26184
23,131,25609
24,134,25060
25,133,24983
26,108,24802
27,109,24655
28,135,24294
29,136,24143
30,138,23370
31,140,23034
32,107,22613
33,106,22385
34,137,22375
35,142,21033
36,105,21022
37,104,20625
38,139,20505
39,102,19146
40,141,18693
41,103,18329
42,100,17879
43,144,17533
44,143,17034
45,101,16624
46,145,16469
47,146,16143
48,148,15938
49,150,14790
50,147,14732
51,149,14068
52,98,13654
53,99,13134
54,152,12481
55,151,12296
56,153,11063
57,154,10659
58,97,10625
59,96,10292
60,155,9684
61,156,9291
62,95,9196
63,94,8419
64,158,8101
65,157,7627
66,92,7120
67,160,6966
68,93,6931
69,159,6462
70,90,6244
71,91,5380
72,162,4824
73,161,4509
74,164,4318
75,163,4001
76,165,3814
77,168,3590
78,166,3579
79,167,3252
80,169,2901
81,89,2798
82,88,2732
83,170,2707
84,87,2327
85,86,2256
86,172,2111
87,85,2019
88,171,1973
89,84,1917
90,174,1904
91,173,1739
92,82,1658
93,176,1637
94,83,1590
95,178,1586
96,175,1554
97,177,1478
98,80,1400
99,81,1381
100,180,1244
101,179,1213
102,78,1012
103,79,958
104,182,887
105,76,822
106,77,801
107,75,776
108,74,772
109,181,771
110,183,765
111,184,743
112,185,703
113,72,700
114,70,679
115,73,658
116,186,645
117,71,639
118,188,602
119,69,572
120,187,547
121,68,537
122,66,520
123,67,483
124,189,440
125,64,432
126,65,426
127,190,411
128,63,386
129,0,383
130,62,365
131,60,358
132,61,342
133,192,253
134,56,252
135,58,249
136,59,247
137,57,244
138,191,241
139,193,223
140,55,208
141,54,203
142,194,198
143,195,194
144,196,169
145,197,166
146,52,163
147,53,162
148,51,161
149,50,150
150,198,149
151,48,147
152,49,131
153,199,125
154,46,123
155,45,116
156,47,116
157,40,113
158,41,106
159,37,93
160,34,92
161,43,92
162,16,91
163,42,91
164,200,91
165,19,89
166,32,88
167,44,88
168,14,87
169,18,84
170,39,83
171,10,83
172,31,82
173,12,82
174,38,81
175,35,81
176,11,80
177,21,80
178,17,80
179,36,80
180,13,76
181,20,75
182,23,75
183,27,74
184,22,74
185,30,69
186,15,68
187,26,68
188,24,66
189,29,62
190,201,62
191,25,61
192,8,57
193,28,54
194,202,53
195,33,52
196,203,51
197,9,47
198,6,46
199,204,45
200,7,44
201,208,38
202,206,36
203,210,35
204,5,34
205,207,32
206,4,31
207,205,31
208,209,26
209,212,26
210,1,22
211,2,22
212,213,20
213,214,19
214,219,16
215,216,16
216,222,15
217,211,15
218,3,15
219,218,13
220,217,13
221,215,11
222,220,10
223,229,7
224,232,6
225,226,6
226,224,6
227,231,5
228,230,5
229,227,5
230,221,5
231,237,5
232,223,4
233,225,4
234,235,4
235,243,3
236,279,3
237,228,3
238,263,3
239,261,3
240,245,3
241,252,3
242,233,3
243,240,3
244,242,2
245,256,2
246,297,2
247,326,2
248,238,2
249,349,2
250,283,1
251,330,1
252,329,1
253,328,1
254,342,1
255,-8,1
256,324,1
257,322,1
258,437,1
259,-4,1
260,289,1
261,288,1
262,286,1
263,459,1
264,285,1
265,269,1
266,282,1
267,274,1
268,236,1
269,239,1
270,246,1
271,249,1
272,250,1
273,259,1
274,260,1
275,262,1
276,266,1
277,268,1
278,270,1
279,271,1
280,-3,1
281,264,0
282,251,0
283,321,0
284,234,0
