,index,egfr_other_admit_value
0,,1491246
1,>60,95986
2,59,1540
3,56,1458
4,58,1448
5,55,1429
6,57,1402
7,53,1360
8,54,1309
9,52,1279
10,51,1268
11,49,1167
12,50,1160
13,46,1117
14,48,1098
15,47,1083
16,45,1026
17,44,1000
18,42,924
19,43,919
20,41,882
21,60,877
22,39,834
23,40,831
24,38,808
25,37,718
26,35,704
27,36,701
28,33,620
29,34,617
30,31,589
31,32,578
32,29,527
33,28,526
34,30,525
35,27,508
36,5,479
37,8,470
38,7,469
39,6,464
40,26,445
41,22,422
42,23,417
43,9,417
44,24,417
45,25,415
46,10,401
47,11,380
48,4,378
49,13,341
50,18,339
51,21,338
52,14,335
53,12,329
54,20,325
55,17,320
56,19,315
57,16,314
58,15,278
59,3,212
60,Account Credited,152
61,Duplicate request,123
62,Unacceptable due to gross hemolysis. Redraw requested.,89
63,Unable to assay. Specimen significantly hemolyzed.,69
64,Unable to assay. No specimen received.,67
65,2,59
66,Unable to assay. Quantity not sufficient.,43
67,Cancelled by clinician,42
68,"CANCELLED,Specimen not collected or received",39
69,Unable to assay.  Unable to locate specimen.,38
70,Not calculated,28
71,Unable to assay. Specimen incorrectly identified.,27
72,Unable to assay. Possible interfering substance(s) present.,22
73,Specimen received unlabelled.,15
74,Specimen hemolyzed.,10
75,Unable to assay. Specimen improperly collected/handled.,8
76,Unable to quantitate due to possible contamination.,5
77,Requisitioning entry error,5
78,"Test accessioning error,please disregard.",5
79,Unable to assay. Specimen grossly hemolyzed.,5
80,0,4
81,Identity unclear. Specimen labelled incorrectly.,4
82,> 60 ml/Min/1.73m2,4
83,Unable to Calculate,3
84,Unable to assay. Specimen too old to perform test.,2
85,Patient discharged,2
86,Specimen collected in wrong container type.,2
87,Patient expired,2
88,Disregard results. Specimen incorrectly identified.,2
89,Ignore results. Specimen was contaminated,2
90,LCAN LOCATION TOUTING ERROR,1
91,Unable to assay. Analytical difficulty.,1
92,Unable to assay due to viscosity of specimen.,1
93,CONVERTED TO ISTAT,1
94,Test reordered on another CCHS MRN.,1
95,Test inadvertently not performed,1
96,Test Not Performed,1
97,Specimen drawn in wrong tube.,1
98,Specimen contaminated,1
99,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
100,MISID NOTIFIED SHENEFE DIAL 04/06 1340 TS,1
101,SPECIMEN HEMOLYZED,1
102,Patient refused collection,1
103,Ignore results. Specimen hemolyzed,1
104,PT EXPIRED,1
105,POS CONTAMINATION 998335BY 897715 103018,1
106,Notified by unit that specimen labelled incorrectly.,1
107,MISLABELED,1
108,Unable to quantitate due to age of specimen.,1
