,index,egfr_other_discharge_value
0,,1494825
1,>60,94073
2,59,1496
3,58,1419
4,56,1406
5,55,1405
6,57,1389
7,53,1307
8,54,1272
9,51,1220
10,52,1208
11,49,1137
12,50,1118
13,46,1069
14,47,1059
15,48,1052
16,45,997
17,44,965
18,42,888
19,43,886
20,60,867
21,41,849
22,40,806
23,39,790
24,38,771
25,37,697
26,36,684
27,35,658
28,33,595
29,34,592
30,31,561
31,32,539
32,28,498
33,30,498
34,29,496
35,27,473
36,5,469
37,7,464
38,8,456
39,6,450
40,26,423
41,22,401
42,9,395
43,25,393
44,24,392
45,23,390
46,10,384
47,11,366
48,4,346
49,13,332
50,18,322
51,21,322
52,14,314
53,12,313
54,16,309
55,20,309
56,17,299
57,19,286
58,15,254
59,3,194
60,Duplicate request,133
61,Account Credited,125
62,Unacceptable due to gross hemolysis. Redraw requested.,76
63,Unable to assay. No specimen received.,65
64,Unable to assay. Specimen significantly hemolyzed.,58
65,2,48
66,Unable to assay.  Unable to locate specimen.,43
67,Unable to assay. Quantity not sufficient.,41
68,"CANCELLED,Specimen not collected or received",41
69,Cancelled by clinician,39
70,Not calculated,27
71,Unable to assay. Specimen incorrectly identified.,24
72,Unable to assay. Possible interfering substance(s) present.,23
73,Specimen received unlabelled.,15
74,Specimen hemolyzed.,8
75,Unable to assay. Specimen improperly collected/handled.,7
76,"Test accessioning error,please disregard.",5
77,Requisitioning entry error,5
78,Identity unclear. Specimen labelled incorrectly.,4
79,Unable to quantitate due to possible contamination.,4
80,Unable to assay. Specimen grossly hemolyzed.,4
81,> 60 ml/Min/1.73m2,4
82,Unable to Calculate,4
83,0,3
84,Test reordered on another CCHS MRN.,2
85,Specimen collected in wrong container type.,2
86,Ignore results. Specimen was contaminated,2
87,Patient discharged,2
88,Unable to assay. Specimen too old to perform test.,2
89,Disregard results. Specimen incorrectly identified.,2
90,Patient expired,2
91,Unable to assay due to viscosity of specimen.,1
92,Unable to quantitate due to age of specimen.,1
93,PT EXPIRED,1
94,Unable to assay. Analytical difficulty.,1
95,CONVERTED TO ISTAT,1
96,Patient refused collection,1
97,SPECIMEN HEMOLYZED,1
98,Test inadvertently not performed,1
99,LCAN LOCATION TOUTING ERROR,1
100,Test Not Performed,1
101,Ignore results. Specimen hemolyzed,1
102,Specimen drawn in wrong tube.,1
103,MISLABELED,1
