,index,eosin_admit_value
0,,1113641
1,0.0,44618
2,0.1,26676
3,0.2,19304
4,0.3,16902
5,1.0,16752
6,0.4,16080
7,0.5,15488
8,0.6,14724
9,0.7,14503
10,0.8,14237
11,0.9,14115
12,1.1,13268
13,1.2,12774
14,1.3,12679
15,1.4,11992
16,2.0,11625
17,1.5,11600
18,1.6,11239
19,1.7,10879
20,1.8,10733
21,1.9,10158
22,2.1,9237
23,2.2,8790
24,2.3,8368
25,2.4,7983
26,2.5,7632
27,2.6,7377
28,3.0,7140
29,2.7,6808
30,2.8,6473
31,2.9,6186
32,3.1,5462
33,3.2,5230
34,3.3,4861
35,3.4,4593
36,3.5,4365
37,4.0,4098
38,3.6,4079
39,3.7,3852
40,3.8,3684
41,3.9,3479
42,4.1,3058
43,4.2,2873
44,4.3,2797
45,4.4,2585
46,4.5,2405
47,5.0,2300
48,4.6,2278
49,4.7,2264
50,4.8,2048
51,4.9,1902
52,5.1,1754
53,5.2,1648
54,5.3,1537
55,5.4,1443
56,5.5,1402
57,6.0,1326
58,5.6,1237
59,5.8,1197
60,5.7,1174
61,5.9,1063
62,6.1,1007
63,6.2,933
64,6.3,907
65,Unable to assay. Clotted specimen.,879
66,6.4,840
67,6.5,832
68,1,818
69,7.0,767
70,Account Credited,757
71,6.6,743
72,6.7,710
73,6.8,697
74,6.9,646
75,7.1,576
76,7.2,560
77,7.3,549
78,2,528
79,7.4,527
80,8.0,493
81,7.5,487
82,7.6,436
83,7.7,430
84,7.8,406
85,8.1,384
86,7.9,363
87,8.2,337
88,8.5,328
89,3,323
90,Unable to report,323
91,9.0,317
92,8.4,311
93,8.3,310
94,8.7,294
95,8.6,289
96,8.9,271
97,8.8,253
98,9.1,229
99,9.3,224
100,10.0,219
101,9.2,209
102,4,204
103,9.5,202
104,9.6,202
105,9.7,201
106,9.4,195
107,11.0,190
108,9.8,184
109,10.1,164
110,9.9,151
111,10.4,150
112,5,141
113,10.3,141
114,10.5,131
115,10.6,129
116,10.2,128
117,Too Few Cells To Do Differential,127
118,12.0,120
119,10.7,120
120,10.9,120
121,11.3,118
122,11.1,113
123,10.8,104
124,11.7,100
125,11.9,96
126,11.5,94
127,11.6,92
128,13.0,90
129,11.4,88
130,11.8,84
131,12.1,82
132,11.2,79
133,12.2,76
134,12.3,75
135,6,75
136,12.7,74
137,12.6,73
138,Unable to assay. Quantity not sufficient.,66
139,12.8,64
140,14.0,62
141,13.1,62
142,12.5,61
143,12.4,60
144,7,57
145,Duplicate request,52
146,12.9,50
147,13.2,48
148,13.6,46
149,13.9,45
150,15.0,44
151,13.8,44
152,13.7,44
153,13.4,44
154,13.3,44
155,13.5,43
156,14.4,42
157,14.1,41
158,14.2,38
159,Unable to assay. No specimen received.,37
160,14.5,37
161,15.1,37
162,14.8,36
163,14.6,34
164,14.7,34
165,15.2,34
166,16.0,33
167,18.0,33
168,14.3,31
169,15.4,31
170,15.9,30
171,17.0,29
172,Unable to assay. Specimen incorrectly identified.,28
173,15.7,28
174,14.9,26
175,15.8,26
176,16.1,26
177,8,26
178,19.0,25
179,Microtainer specimen,25
180,16.2,25
181,16.4,25
182,15.6,24
183,15.5,24
184,16.6,23
185,16.3,23
186,17.5,22
187,15.3,22
188,16.7,21
189,16.9,20
190,17.9,20
191,18.9,19
192,17.1,18
193,20.0,17
194,9,17
195,18.8,17
196,22.0,17
197,17.7,17
198,16.5,17
199,17.3,17
200,17.6,16
201,16.8,16
202,17.2,16
203,18.7,16
204,17.8,15
205,18.5,14
206,18.3,14
207,10,14
208,18.4,13
209,18.2,13
210,17.4,12
211,REVISED,12
212,19.3,12
213,21.1,12
214,19.4,11
215,21.0,11
216,11,11
217,0,11
218,Requisitioning entry error,11
219,25.0,10
220,21.6,10
221,21.4,10
222,24.0,10
223,13,10
224,18.1,9
225,18.6,9
226,19.2,9
227,20.6,9
228,19.7,8
229,20.3,8
230,19.1,8
231,20.5,8
232,20.7,8
233,20.9,8
234,Unable to assay. Specimen improperly collected/handled.,8
235,Unable to quantitate due to possible contamination.,8
236,23.0,8
237,20.2,7
238,19.9,7
239,20.8,7
240,19.6,7
241,24.5,7
242,27.0,7
243,14,7
244,32.0,7
245,26.0,7
246,21.9,6
247,19.5,6
248,16,6
249,21.7,6
250,15,6
251,21.5,6
252,Unable to assay. Possible interfering substance(s) present.,6
253,12,6
254,25.8,6
255,31.0,6
256,26.7,5
257,Ignore results. Specimen was contaminated,5
258,21.2,5
259,Specimen received unlabelled.,5
260,30.0,5
261,20.4,5
262,Cancelled by clinician,5
263,23.1,5
264,28.0,5
265,29.0,5
266,19.8,5
267,35.0,5
268,Manual review follows,4
269,"Test accessioning error,please disregard.",4
270,21,4
271,20.1,4
272,21.8,4
273,18,4
274,23.4,4
275,22.6,4
276,22.1,4
277,26.8,4
278,22.9,4
279,22.8,4
280,23.8,4
281,23.6,4
282,25.3,3
283,"CANCELLED,Specimen not collected or received",3
284,47.0,3
285,25.7,3
286,23.9,3
287,24.1,3
288,24.9,3
289,24.8,3
290,19,3
291,33.0,3
292,25.9,3
293,44.0,3
294,22.7,3
295,22.3,3
296,22.5,3
297,40.0,3
298,38.0,2
299,51.1,2
300,30.1,2
301,30.3,2
302,46.0,2
303,27,2
304,25.6,2
305,31.1,2
306,32.7,2
307,25.5,2
308,39,2
309,32.8,2
310,Ignore results. Specimen clotted.,2
311,Ignore results.  Specimen clotted.,2
312,Identity unclear. Specimen labelled incorrectly.,2
313,Disregard results. Specimen incorrectly identified.,2
314,25.1,2
315,25.2,2
316,24.6,2
317,27.4,2
318,24.7,2
319,27.3,2
320,24,2
321,23,2
322,28,2
323,Specimen contaminated,2
324,27.7,2
325,23.5,2
326,Unable to assay.  Unable to locate specimen.,2
327,Test inadvertently not performed,2
328,28.6,2
329,23.7,2
330,23.2,2
331,27.8,2
332,22.4,2
333,24.3,2
334,24.2,2
335,22.2,2
336,21.3,2
337,27.5,2
338,CLTD,1
339,CLOTTED,1
340,Unable to assay. Primary specimen no longer available for additional,1
341,47.9,1
342,ACRE,1
343,49.9,1
344,54.0,1
345,54.2,1
346,<0.3,1
347,57.9,1
348,56.0,1
349,54,1
350,CNDUPL,1
351,55.1,1
352,26.9,1
353,SPECIMEN CLOTTED,1
354,Disregard results.,1
355,Called to,1
356,26.5,1
357,Specimen drawn in wrong tube.,1
358,SEE MANUAL DIFF BELOW,1
359,Results called to and read back by:,1
360,Specimen no longer available for testing.,1
361,26.3,1
362,Patient expired,1
363,Patient discharged,1
364,Test Not Performed,1
365,Medical record number mismatch. Disregard results.,1
366,26.1,1
367,MISLABELED,1
368,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
369,26,1
370,26.4,1
371,Ignore results. Specimen mislabeled,1
372,Ignore results. Specimen hemolyzed,1
373,IMPCOL,1
374,ER NOTIFIED TO REDRAW,1
375,Unable to assay. Analytical difficulty.,1
376,Unable to assay. Broken/spilled in transit.,1
377,Clerical Error,1
378,26.2,1
379,22,1
380,45.0,1
381,43.8,1
382,32.2,1
383,32.1,1
384,25,1
385,31.9,1
386,31.5,1
387,31,1
388,30.8,1
389,30.7,1
390,30.5,1
391,30.4,1
392,29.9,1
393,29.7,1
394,29.6,1
395,24.4,1
396,29.5,1
397,29.2,1
398,28.9,1
399,28.5,1
400,28.4,1
401,28.2,1
402,28.1,1
403,27.9,1
404,20,1
405,23.3,1
406,27.6,1
407,33.2,1
408,33.4,1
409,33.6,1
410,34,1
411,42,1
412,41.8,1
413,40,1
414,39.7,1
415,39.1,1
416,39.0,1
417,37.8,1
418,37.5,1
419,37.0,1
420,36.5,1
421,36.4,1
422,36.3,1
423,36.2,1
424,36.0,1
425,36,1
426,35.7,1
427,35.6,1
428,35.5,1
429,35.3,1
430,35,1
431,34.8,1
432,34.5,1
433,34.4,1
434,34.0,1
435,35.9,1
436,REQUEST CREDITED,0
