,index,epicdeathdate
0,,1449102
1,2018-06-05,243
2,2018-06-21,215
3,2018-07-26,209
4,2019-01-24,198
5,2018-05-01,197
6,2016-05-10,190
7,2018-01-03,186
8,2018-04-06,182
9,2018-07-01,181
10,2017-01-30,178
11,2018-04-30,178
12,2017-03-02,176
13,2017-07-28,176
14,2017-02-13,176
15,2017-08-01,176
16,2018-04-02,174
17,2018-11-07,172
18,2018-05-20,172
19,2018-02-28,171
20,2017-12-02,170
21,2018-05-12,169
22,2017-02-20,169
23,2018-04-11,169
24,2016-11-17,167
25,2016-10-17,166
26,2017-01-05,166
27,2017-06-19,165
28,2018-01-01,165
29,2017-01-26,164
30,2016-12-26,164
31,2018-03-08,164
32,2017-12-24,163
33,2017-01-23,163
34,2017-10-31,163
35,2018-03-02,163
36,2018-11-02,163
37,2017-08-16,162
38,2018-03-21,162
39,2017-10-25,160
40,2018-02-16,160
41,2018-01-26,160
42,2017-12-17,159
43,2017-09-15,159
44,2016-01-08,158
45,2018-12-28,158
46,2016-09-30,158
47,2017-09-21,156
48,2018-05-07,156
49,2018-03-04,156
50,2016-06-11,154
51,2018-01-29,154
52,2017-11-28,153
53,2017-05-29,153
54,2017-03-13,153
55,2017-04-15,153
56,2018-11-06,152
57,2017-12-23,152
58,2018-11-04,152
59,2018-01-20,150
60,2018-05-11,150
61,2015-12-09,150
62,2018-10-15,150
63,2018-12-10,149
64,2017-04-03,149
65,2017-10-17,148
66,2017-12-22,148
67,2018-01-21,148
68,2019-01-20,148
69,2018-02-25,147
70,2019-01-17,147
71,2018-01-16,146
72,2016-09-26,146
73,2018-09-20,146
74,2017-04-19,145
75,2018-06-30,145
76,2018-12-05,145
77,2018-03-10,145
78,2017-07-15,145
79,2016-05-26,145
80,2018-11-17,145
81,2017-10-27,143
82,2019-01-02,143
83,2018-08-07,143
84,2018-08-27,143
85,2018-03-01,142
86,2018-11-18,142
87,2016-03-13,142
88,2016-08-27,141
89,2016-12-31,141
90,2017-08-15,141
91,2017-06-09,141
92,2018-07-09,140
93,2018-06-06,140
94,2018-03-14,140
95,2017-09-23,140
96,2017-02-06,139
97,2017-12-12,139
98,2016-10-02,139
99,2017-11-16,138
100,2016-12-21,138
101,2017-11-02,138
102,2017-07-17,138
103,2018-08-30,137
104,2017-03-14,137
105,2018-01-30,137
106,2018-05-02,137
107,2018-07-12,137
108,2018-07-07,137
109,2017-03-05,136
110,2017-01-04,136
111,2017-01-03,136
112,2018-06-03,136
113,2016-12-28,136
114,2018-06-28,136
115,2018-02-12,135
116,2018-06-18,135
117,2018-02-01,135
118,2016-04-01,135
119,2018-02-13,134
120,2018-08-11,134
121,2018-07-25,134
122,2016-01-25,134
123,2018-04-23,133
124,2017-11-07,133
125,2018-11-03,132
126,2015-12-12,132
127,2018-04-13,132
128,2017-05-24,132
129,2018-08-08,132
130,2017-06-20,131
131,2018-06-15,131
132,2018-06-10,130
133,2018-03-07,130
134,2017-10-01,130
135,2016-07-08,129
136,2018-01-13,129
137,2017-04-21,128
138,2017-03-07,128
139,2018-07-20,128
140,2018-07-08,128
141,2018-01-24,127
142,2018-08-19,127
143,2016-01-29,127
144,2017-11-21,127
145,2017-07-26,127
146,2017-02-17,127
147,2016-05-24,126
148,2018-07-17,126
149,2016-04-05,126
150,2016-10-16,126
151,2017-12-07,126
152,2017-10-16,126
153,2016-09-23,125
154,2017-11-20,125
155,2018-01-11,125
156,2016-12-29,125
157,2018-03-25,125
158,2018-11-25,125
159,2018-12-24,125
160,2017-01-25,124
161,2017-02-22,124
162,2018-09-16,124
163,2018-01-04,124
164,2017-11-19,124
165,2018-04-20,124
166,2017-07-23,124
167,2016-10-07,124
168,2018-08-23,124
169,2016-07-18,123
170,2018-05-05,123
171,2017-03-31,123
172,2016-10-24,123
173,2018-03-29,122
174,2017-12-18,122
175,2017-04-24,122
176,2017-11-11,122
177,2018-10-16,122
178,2018-02-08,122
179,2016-12-07,122
180,2016-01-09,122
181,2017-05-15,122
182,2017-04-10,122
183,2017-10-15,122
184,2017-07-29,121
185,2018-09-12,121
186,2018-05-16,121
187,2016-05-01,121
188,2016-10-11,121
189,2017-11-25,121
190,2018-06-12,121
191,2016-02-26,121
192,2018-01-23,121
193,2018-03-18,120
194,2017-01-28,120
195,2018-11-08,120
196,2017-08-12,120
197,2016-12-09,120
198,2017-04-16,120
199,2018-12-20,119
200,2017-02-10,119
201,2016-10-18,119
202,2018-01-10,119
203,2017-05-06,119
204,2018-02-26,119
205,2018-07-06,118
206,2018-08-21,118
207,2017-07-10,118
208,2018-08-04,118
209,2016-06-12,118
210,2017-07-13,118
211,2018-09-27,118
212,2018-11-22,118
213,2018-08-05,118
214,2018-06-19,117
215,2018-09-28,117
216,2018-09-17,117
217,2017-02-18,117
218,2018-11-12,117
219,2018-06-04,117
220,2018-03-23,117
221,2016-12-24,116
