,index,glucose_discharge_value
0,,1271285
1,96,8456
2,97,8217
3,95,8157
4,98,8060
5,99,8014
6,94,7981
7,93,7960
8,92,7869
9,100,7697
10,91,7562
11,101,7366
12,90,7344
13,102,7209
14,89,7108
15,103,7022
16,104,6826
17,105,6666
18,88,6564
19,106,6387
20,87,6162
21,107,6142
22,108,5818
23,86,5802
24,109,5460
25,110,5288
26,85,5222
27,111,5088
28,112,4874
29,84,4812
30,113,4606
31,114,4451
32,83,4377
33,115,4338
34,116,4047
35,117,3878
36,118,3771
37,82,3735
38,119,3520
39,120,3492
40,81,3450
41,121,3321
42,122,3092
43,123,3008
44,80,3001
45,124,2835
46,126,2732
47,125,2704
48,79,2537
49,127,2528
50,128,2414
51,78,2312
52,130,2269
53,129,2184
54,131,2109
55,134,2031
56,132,2022
57,133,1991
58,77,1981
59,135,1845
60,136,1708
61,137,1670
62,76,1666
63,138,1601
64,139,1566
65,140,1518
66,75,1480
67,141,1458
68,142,1385
69,74,1310
70,143,1291
71,144,1280
72,146,1276
73,145,1202
74,147,1131
75,148,1109
76,73,1083
77,150,1041
78,149,1031
79,151,1009
80,72,963
81,152,957
82,153,941
83,154,878
84,71,830
85,155,814
86,156,803
87,157,742
88,158,733
89,159,713
90,162,705
91,70,687
92,160,685
93,163,646
94,161,641
95,165,602
96,164,582
97,166,580
98,69,558
99,167,556
100,168,556
101,169,545
102,171,516
103,170,510
104,68,504
105,172,498
106,173,472
107,174,459
108,178,449
109,67,442
110,175,441
111,176,433
112,177,417
113,179,404
114,181,373
115,66,371
116,184,356
117,180,354
118,183,338
119,185,335
120,182,331
121,65,330
122,188,303
123,187,287
124,190,285
125,186,284
126,63,277
127,189,271
128,64,248
129,193,245
130,191,242
131,199,242
132,195,240
133,194,239
134,197,238
135,196,238
136,192,235
137,198,232
138,200,227
139,203,220
140,204,220
141,201,213
142,62,211
143,206,204
144,211,195
145,61,195
146,Account Credited,192
147,210,192
148,209,191
149,205,189
150,202,181
151,208,181
152,207,180
153,215,170
154,Duplicate request,166
155,216,160
156,213,158
157,212,155
158,60,154
159,214,153
160,218,150
161,219,145
162,217,142
163,59,140
164,221,139
165,220,138
166,226,133
167,223,130
168,58,127
169,225,122
170,227,120
171,224,120
172,228,119
173,222,119
174,232,117
175,234,112
176,238,112
177,230,110
178,57,109
179,247,109
180,239,108
181,236,107
182,231,107
183,242,103
184,229,102
185,56,102
186,233,99
187,235,99
188,241,96
189,237,96
190,243,95
191,259,94
192,240,92
193,244,91
194,252,90
195,54,90
196,251,90
197,256,90
198,253,89
199,Unable to assay.  Unable to locate specimen.,85
200,250,84
201,249,84
202,258,84
203,245,83
204,246,81
205,261,80
206,263,80
207,Unable to assay. No specimen received.,78
208,260,78
209,Unacceptable due to gross hemolysis. Redraw requested.,78
210,273,77
211,257,76
212,Unable to assay. Specimen significantly hemolyzed.,75
213,55,74
214,248,72
215,255,71
216,279,70
217,271,70
218,254,68
219,264,68
220,51,68
221,269,65
222,272,64
223,268,64
224,53,61
225,283,61
226,265,61
227,267,60
228,Unable to assay. Quantity not sufficient.,59
229,278,58
230,281,58
231,274,58
232,52,58
233,280,57
234,270,56
235,293,56
236,"CANCELLED,Specimen not collected or received",56
237,275,56
238,287,54
239,262,54
240,289,53
241,286,51
242,296,51
243,284,51
244,285,51
245,266,50
246,292,47
247,302,46
248,295,46
249,Cancelled by clinician,46
250,300,46
251,50,45
252,294,43
253,291,43
254,288,43
255,305,41
256,290,41
257,Unable to assay. Possible interfering substance(s) present.,41
258,315,41
259,306,41
260,277,40
261,282,39
262,299,39
263,303,38
264,310,38
265,298,38
266,301,37
267,325,36
268,317,36
269,309,36
270,327,36
271,276,36
272,311,35
273,314,35
274,297,35
275,323,35
276,Unable to assay. Specimen incorrectly identified.,34
277,45,32
278,326,32
279,46,32
280,316,32
281,338,32
282,313,31
283,331,31
284,322,31
285,48,31
286,47,31
287,332,30
288,328,30
289,49,29
290,319,29
291,321,29
292,307,29
293,304,29
294,345,28
295,337,28
296,312,27
297,335,27
298,320,27
299,344,27
300,329,26
301,351,26
302,44,26
303,336,25
304,339,24
305,318,24
306,365,24
307,343,23
308,334,23
309,363,22
310,308,22
311,333,22
312,353,21
313,374,21
314,355,21
315,341,21
316,330,20
317,40,20
318,349,20
319,350,20
320,324,20
321,42,19
322,348,19
323,356,19
324,362,19
325,41,19
326,378,19
327,364,19
328,384,19
329,342,18
330,381,18
331,357,18
332,359,18
333,369,17
334,Specimen received unlabelled.,17
335,354,17
336,391,17
337,360,17
338,352,17
339,361,16
340,368,16
341,347,16
342,389,16
343,358,16
344,380,16
345,372,15
346,35,15
347,401,15
348,43,15
349,36,15
350,340,15
351,379,14
352,382,14
353,397,14
354,400,14
355,376,14
356,387,14
357,367,14
358,395,14
359,370,14
360,408,14
361,373,13
362,390,13
363,Unable to assay. Specimen improperly collected/handled.,12
364,375,12
365,410,12
366,385,12
367,398,12
368,430,12
369,386,12
370,346,12
371,388,12
372,420,12
373,431,11
374,427,11
375,38,11
376,422,11
377,394,11
378,Requisitioning entry error,11
379,377,11
380,402,11
381,403,11
382,371,11
383,396,11
384,456,10
385,445,10
386,423,10
387,366,10
388,405,10
389,432,10
390,434,10
391,39,10
392,30,10
393,392,10
394,383,9
395,454,9
396,449,9
397,419,9
398,499,9
399,Specimen hemolyzed.,9
400,443,9
401,393,8
402,32,8
403,421,8
404,399,8
405,429,8
406,438,8
407,462,8
408,"Test accessioning error,please disregard.",8
409,29,8
410,37,8
411,480,8
412,478,8
413,409,7
414,407,7
415,31,7
416,472,7
417,Identity unclear. Specimen labelled incorrectly.,7
418,404,7
419,459,7
420,470,7
421,489,7
422,481,7
423,412,7
424,442,7
425,484,7
426,415,7
427,532,7
428,435,7
429,23,6
430,Unable to quantitate due to possible contamination.,6
431,414,6
432,474,6
433,493,6
434,455,6
435,477,6
436,448,6
437,446,6
438,440,6
439,439,6
440,437,6
441,433,6
442,424,6
443,466,6
444,417,6
445,416,6
446,469,6
447,411,6
448,33,6
449,24,5
450,463,5
451,451,5
452,461,5
453,27,5
454,460,5
455,467,5
456,476,5
457,28,5
458,521,5
459,Unable to assay. Specimen grossly hemolyzed.,5
460,450,5
461,482,5
462,505,5
463,486,5
464,542,5
465,487,5
466,490,5
467,418,5
468,471,5
469,501,5
470,447,5
471,34,4
472,19,4
473,21,4
474,436,4
475,613,4
476,468,4
477,523,4
478,538,4
479,519,4
480,551,4
481,554,4
482,526,4
483,488,4
484,485,4
485,479,4
486,475,4
487,473,4
488,529,4
489,458,4
490,457,4
491,413,4
492,425,4
493,8,4
494,428,4
495,664,3
496,18,3
497,571,3
498,567,3
499,562,3
500,11,3
501,544,3
502,548,3
503,591,3
504,539,3
505,533,3
506,582,3
507,593,3
508,406,3
509,Negative,3
510,600,3
511,26,3
512,605,3
513,606,3
514,610,3
515,16,3
516,Disregard results. Specimen incorrectly identified.,3
517,647,3
518,713,3
519,692,3
520,657,3
521,22,3
522,4,3
523,17,3
524,483,3
525,452,3
526,496,3
527,504,3
528,506,3
529,508,3
530,509,3
531,464,3
532,513,3
533,497,3
534,426,3
535,729,2
536,619,2
537,>1500,2
538,638,2
539,637,2
540,634,2
541,Unable to assay. Specimen too old to perform test.,2
542,748,2
543,492,2
544,623,2
545,620,2
546,25,2
547,see below,2
548,618,2
549,Ignore results. Specimen hemolyzed,2
550,12,2
551,Ignore results. Specimen was contaminated,2
552,614,2
553,494,2
554,495,2
555,778,2
556,645,2
557,491,2
558,444,2
559,14,2
560,711,2
561,20,2
562,698,2
563,693,2
564,441,2
565,918,2
566,688,2
567,835,2
568,686,2
569,680,2
570,745,2
571,453,2
572,744,2
573,666,2
574,465,2
575,663,2
576,603,2
577,13,2
578,654,2
579,650,2
580,527,2
581,631,2
582,599,2
583,564,2
584,579,2
585,536,2
586,577,2
587,573,2
588,537,2
589,566,2
590,565,2
591,561,2
592,583,2
593,Specimen collected in wrong container type.,2
594,540,2
595,557,2
596,601,2
597,556,2
598,514,2
599,Test reordered on another CCHS MRN.,2
600,535,2
601,520,2
602,Patient refused collection,2
603,587,2
604,503,2
605,592,2
606,500,2
607,Patient expired,2
608,Patient discharged,2
609,597,2
610,586,2
611,Unable to assay. Analytical difficulty.,2
612,585,2
613,525,2
614,881,1
615,15,1
616,890,1
617,793,1
618,787,1
619,1025,1
620,893,1
621,892,1
622,Unable to assay due to viscosity of specimen.,1
623,895,1
624,897,1
625,900,1
626,779,1
627,Unable to quantitate due to age of specimen.,1
628,851,1
629,854,1
630,853,1
631,852,1
632,800,1
633,797,1
634,850,1
635,843,1
636,839,1
637,836,1
638,Test inadvertently not performed,1
639,1020,1
640,831,1
641,803,1
642,1040,1
643,909,1
644,MISLABELED,1
645,1078,1
646,1118,1
647,1104,1
648,SPECIMEN HEMOLYZED,1
649,<2,1
650,<3,1
651,1113,1
652,CONVERTED TO ISTAT,1
653,"DUPLICATE ORDER,PATIENT CREDITED",1
654,1220,1
655,911,1
656,Ignore results.  Ordered on wrong patient.,1
657,Ignore results.  Specimen mislabeled.,1
658,PT EXPIRED,1
659,LCAN LOCATION TOUTING ERROR,1
660,777,1
661,1000,1
662,hi,1
663,983,1
664,1101,1
665,978,1
666,1007,1
667,Specimen leaked in transport.,1
668,1417,1
669,921,1
670,Specimen drawn in wrong tube.,1
671,932,1
672,1013,1
673,935,1
674,942,1
675,944,1
676,949,1
677,962,1
678,critical,1
679,1324,1
680,968,1
681,976,1
682,939,1
683,671,1
684,775,1
685,616,1
686,581,1
687,589,1
688,590,1
689,594,1
690,596,1
691,598,1
692,602,1
693,609,1
694,615,1
695,617,1
696,655,1
697,621,1
698,624,1
699,628,1
700,629,1
701,632,1
702,636,1
703,640,1
704,642,1
705,643,1
706,576,1
707,572,1
708,570,1
709,563,1
710,498,1
711,5,1
712,510,1
713,511,1
714,512,1
715,515,1
716,522,1
717,524,1
718,528,1
719,530,1
720,531,1
721,545,1
722,546,1
723,547,1
724,3,1
725,550,1
726,553,1
727,558,1
728,560,1
729,653,1
730,659,1
731,768,1
732,732,1
733,710,1
734,712,1
735,714,1
736,719,1
737,720,1
738,721,1
739,722,1
740,723,1
741,724,1
742,736,1
743,667,1
744,737,1
745,741,1
746,746,1
747,751,1
748,756,1
749,758,1
750,759,1
751,763,1
752,764,1
753,709,1
754,706,1
755,2,1
756,703,1
757,668,1
758,669,1
759,673,1
760,674,1
761,675,1
762,676,1
763,678,1
764,682,1
765,683,1
766,684,1
767,2100,1
768,687,1
769,689,1
770,690,1
771,697,1
772,699,1
773,7,1
774,702,1
775,10,1
776,945,0
