,index,heartrate_discharge
0,,48647
1,80,46944
2,70,45901
3,72,45572
4,78,42665
5,76,39886
6,74,39568
7,68,38540
8,75,37838
9,77,37168
10,71,36531
11,73,36320
12,82,35363
13,66,35230
14,60,34984
15,84,34732
16,79,34630
17,69,34245
18,88,33891
19,65,33575
20,81,32687
21,64,32540
22,86,31905
23,85,31325
24,67,31226
25,83,29749
26,62,29552
27,90,28123
28,87,27426
29,63,27128
30,89,25417
31,61,23754
32,92,22826
33,91,20970
34,94,19031
35,93,18422
36,95,18397
37,96,18076
38,98,17246
39,58,16700
40,59,16090
41,100,15878
42,97,15165
43,57,13054
44,140,12890
45,99,12828
46,56,12441
47,120,11085
48,101,10696
49,102,10618
50,55,10288
51,104,8662
52,54,8625
53,103,8301
54,105,7530
55,132,7319
56,128,7136
57,106,6817
58,108,6767
59,110,6513
60,52,6505
61,53,6339
62,130,6274
63,136,6177
64,107,5813
65,144,5010
66,109,4932
67,148,4928
68,112,4925
69,51,4867
70,50,4774
71,124,4756
72,0,4735
73,111,3862
74,116,3676
75,150,3605
76,118,3506
77,114,3352
78,138,3169
79,115,2970
80,113,2957
81,122,2726
82,142,2493
83,126,2164
84,117,2098
85,152,2080
86,160,2065
87,49,1841
88,48,1829
89,135,1828
90,134,1738
91,125,1725
92,119,1616
93,156,1580
94,2,1520
95,146,1296
96,121,1286
97,47,1180
98,123,1117
99,145,1066
100,46,931
101,45,812
102,127,800
103,129,762
104,154,749
105,133,709
106,44,623
107,158,587
108,131,573
109,137,509
110,43,441
111,139,427
112,164,423
113,155,390
114,141,378
115,143,361
116,42,341
117,147,331
118,162,303
119,168,301
120,149,266
121,40,260
122,170,257
123,41,239
124,166,228
125,153,222
126,157,221
127,151,216
128,159,153
129,165,150
130,180,143
131,172,135
132,18,131
133,39,121
134,174,117
135,Present;Equal,114
136,161,114
137,176,104
138,37,103
139,38,96
140,163,94
141,20,87
142,36,83
143,167,78
144,169,70
145,35,68
146,178,67
147,173,64
148,34,54
149,171,54
150,30,54
151,32,52
152,175,50
153,28,48
154,16,47
155,33,45
156,182,44
157,177,42
158,184,38
159,26,34
160,188,34
161,27,32
162,22,32
163,31,32
164,179,32
165,25,32
166,29,31
167,24,31
168,1,28
169,Present,27
170,23,27
171,186,22
172,7,22
173,21,22
174,17,21
175,190,21
176,187,21
177,9,20
178,19,20
179,183,20
180,8,20
181,6,18
182,12,17
183,185,16
184,181,15
185,192,15
186,11,12
187,198,11
188,200,11
189,5,11
190,10,10
191,14,9
192,191,9
193,13,9
194,195,8
195,193,7
196,189,6
197,15,6
198,196,5
199,197,4
200,206,4
201,3,4
202,4,4
203,203,3
204,204,3
205,194,3
206,Equal,3
207,116.00,2
208,1130,2
209,88.00,2
210,89.00,2
211,100.00,2
212,212,2
213,218,2
214,199,2
215,220,2
216,51.00,2
217,202,2
218,67.00,2
219,208,2
220,210,2
221,225,2
222,1566,1
223,300,1
224,112.00,1
225,35.00,1
226,113.00,1
227,290,1
228,114.00,1
229,405,1
230,280,1
231,259,1
232,250,1
233,84.00,1
234,476,1
235,86.00,1
236,455,1
237,247,1
238,479,1
239,488,1
240,92.00,1
241,94.00,1
242,69.00,1
243,Equal;Present,1
244,101.00,1
245,64.00,1
246,61.00,1
247,60.00,1
248,248,1
249,120.00,1
250,244,1
251,76.00,1
252,55.00,1
253,201,1
254,71.00,1
255,205,1
256,73.00,1
257,209,1
258,2100,1
259,211,1
260,74.00,1
261,Present;Unequal,1
262,214,1
263,82.00,1
264,215,1
265,216,1
266,77.00,1
267,78.00,1
268,222,1
269,223,1
270,124.00,1
271,228,1
272,233,1
273,240,1
274,1487,1
275,57.00,1
276,217,0
277,Absent;Equal,0
278,313,0
279,1784,0
