,index,insurance2
0,MEDICARE (PART A & B),129498
1,MEDICARE A AND B,107144
2,MEDICARE ACUTE INPAT,89390
3,CARESOURCE,85354
4,MEDICARE A,84845
5,ANTHEM BLUE ACCESS,45394
6,SUPER MED CLASSIC/PLUS,41956
7,SELF PAY,40429
8,SUPERMED PLUS/CLASSI,39970
9,BLUE ACCESS PPO,37896
10,SUPERMED PLUS,35053
11,CARE SOURCE MEDICAID HMO,31403
12,CARESOURCE MEDICAID,25251
13,ANTHEM SR ADVAN/HMO-CHN,21893
14,ANTARES/EHP,19430
15,MEDICAID,19165
16,BLUE CARD PPO,19013
17,ANTHEM SENIOR ADVANTAGE,17966
18,MMO SUPERMED PLUS,17797
19,MEDICARE OUTPATIENT,17029
20,MEDICARE,16488
21,ANTHEM SR ADVNTGE IP,15495
22,MUTUAL HEALTH SVCS EHP,15041
23,CHOICECARE MEDICARE ADVANTAGE,13840
24,UHC COMMERCIAL HMO,13788
25,OH MEDICAID,13394
26,MEDICAID-OHIO DEPT HUMAN SERVICES,13385
27,AETNA MEDICARE PPO,13302
28,AETNA MEDICARE,13105
29,MEDICARE PSYCH,12737
30,HUMANA CHOICE PPO,12616
31,UHC HMO,11217
32,MEDICARE B,10923
33,SELF-PAY,9744
34,HUMANA MEDCR PPO IP,9710
35,AETNA-SELECT CHOICE HMO,9227
36,MYCARE CARESOURCE MEDICARE,8769
37,CHN EMPLOYEE HLTH PLAN,8636
38,UHC HLTHCARE HMO,8629
39,MYCARE UHC MEDICARE,8027
40,BLUE CROSS OUT OF AREA,7978
41,BUCKEYE COMMUNITY HEALTHPLAN,7767
42,AETNA MEDCRE HMO IP,7698
43,AETNA HMO,7353
44,MHS CCHS OH NON STAFF,7080
45,UHC COMM PLAN OH,7036
46,OHIO MEDICAID,6766
47,UNISON HEALTH PLAN,6115
48,MEDICAL MUTUAL OF OHIO,5979
49,AETNA US HLTHCARE  HMO,5813
50,AETNA CHOICE POS II,5387
51,PARAMOUNT ADVANTAGE,5263
52,UNITED HEALTHCARE CHOICE PLUS,5261
53,MEDICARE HMO OTHR OP,5192
54,ANTHEM MEDICARE PREFERRED - MEDICARE PPO,5112
55,AETNA/ NON-HMO,4902
56,BUCKEYE COMM HLTH PLAN,4850
57,SUPERMED BEH HLTH,4730
58,ANTHEM BCBS FEP PPO,4652
59,HUMANA GOLD PLUS,4575
60,CIGNA HEALTHCARE OPN ACC PLUS,4520
61,WELL CARE OF OHIO,4516
62,UHC CHOICE PLUS,4502
63,ANTHEM BLUE CROSS,4399
64,KAISER INSURANCE,4357
65,HUMANA MEDICARE PPO,4322
66,BUCKEYE HLTH PLAN,4213
67,CIGNA HMO,4009
68,MEDICARE ANTHEM SR ADV,3947
69,AETNA MEDICARE HMO/PPO,3930
70,PARAMOUNT CAID HMO,3732
71,MYCARE CSRC MCARE IP,3445
72,ANTHEM SR ADVNTGE OP,3381
73,BUCKEYE COMM HLTH PSYCH,3296
74,CIGNA HLTHCARE POS,3123
75,BCBS INDIANA ANTHEM,3092
76,COMMERCIAL MISC,3055
77,BCBS FL PPO,2889
78,UHC AARP MEDICARECOMPLETE PLAN,2722
79,1ST COMMERCIAL INS,2685
80,OTHER INSURANCE COMPANIES,2602
81,AETNA PPO,2595
82,PARAMOUNT ADVANTAGE MEDICAID HMO,2569
83,INTERNATIONAL SELF PAY,2562
84,MOLINA HEALTHCARE OH,2461
85,BLUE MEDICARE ACCESS PPO,2459
86,AVMED MEDICARE HMO,2457
87,BUCKEYE BEHVRL HEALT,2362
88,MEDICARE HUMANA,2288
89,AARP HMO MCR 26018 IP,2272
90,SECURE HORIZONS MCR IP,2246
91,KAISER - REG,2232
92,MUTUAL HLTH BEHVL HLTH EHP,2216
93,MYCARE BUCKEYE MEDICARE,2209
94,AETNA-TRADITIONAL CHOICE,2136
95,UHC PREFERRED CARE PARTNERS,2106
96,MEDICARE SNF,2064
97,UHC - MEDICARE HMO,2038
98,CIGNA HLTHPLAN OF OHIO,1998
99,OPTUM HEALTH TRANSPLANT,1993
100,UNITED HEALTHCARE,1977
101,MEDICARE AETNA OPEN PLAN,1969
102,UHC AARP MEDICARECOMPLETE,1928
103,MYCARE UHC MCARE IP,1845
104,MY CARE OHIO BUCKEYE MEDICARE HMO,1815
105,MOLINA HLTH CAID HMO,1806
106,GENERIC HOSPITAL/MEDICAL,1797
107,HUMANA MEDCR PPO OP,1790
108,AETNA MEDCRE HMO OP,1781
109,MEDICARE REHAB OUTPT,1776
110,ANTHEM MEDICARE PREFERRED,1763
111,MMO,1733
112,BCBS MEDICARE PPO OOS,1700
113,MEDICARE PART A,1649
114,HUMANA GOLD PLUS HMO,1639
115,UHC GROUP MEDICARE ADVANTAGE PPO,1626
116,NEIGHBORHOOD HMO SR,1563
117,TRICARE STANDRD PRIM,1558
118,AETNA US HEALTHCARE PPO,1550
119,UHC DUAL COMPLETE HMO SNP,1542
120,ANTHEM MEDCR PREF IP,1525
121,MEDICAL MUTUAL OF OH,1518
122,AULTCARE -SMCP,1516
123,BLUE MEDICARE ACCESS,1489
124,UHC BEHVRL HLTH,1480
125,COVENTRY CARELINK SILVER HIX,1471
126,HEALTHAMERICA MDCR PPO,1467
127,WELLCARE OF OHIO,1461
128,MEDICARE PROVIDER LIABLTY,1419
129,CIGNA PPO,1396
130,MYCARE CSRC MCARE OP,1359
131,AETNA MEDICARE HMO,1358
132,AETNA US HEALTHCARE,1346
133,CIGNA - PPO PLAN,1334
134,KAISER PERMANENTE,1323
135,UMR,1315
136,AETNA OPEN ACCESS,1312
137,TRICARE STANDARD,1270
138,UHC UMR CHOICE PLUS,1265
139,BCBS MEDICARE ADV PPO,1248
140,CIGNA - HMO PLAN,1238
141,ANTHEM DUAL ADVANTAGE MEDICARE,1238
142,OHIO DEPT PUBLIC WELFARE,1214
143,MYCARE BCKY MCARE IP,1202
144,VA MEDICAL CENTER,1199
145,SUMMACARE HMO/POS/PPO,1180
146,HOSPICE OF THE CLEVELAND,1164
147,ANTARES CCF STAFF,1158
148,HUMANA GOLD+ MCR IP,1136
149,MEDICAL MUTUAL MEDICARE ADV PLAN,1125
150,MUTUAL HEALTH  ANTARES,1121
151,AETNA-OPEN CHOICE PPO,1115
152,MOLINA HEALTHCARE OF OHIO,1091
153,VISTA HEALTH COMMERCIAL,1090
154,CARESOURCE MYCARE,1076
155,AULTCARE,1059
156,UNITED HEALTHCARE CHOICE,1038
157,UHC MEDICAL RESRC,1020
158,AVMED HMO,1010
159,BCN ADVANTAGE,989
160,MEDICARE PART B INP,955
161,SUPERMED CLASSIC,953
162,ANTHEM BLUE TRADITIONAL,947
163,AETNA BEHAVRL HLTH,938
164,UHC HlthCARE,922
165,HUMANA MEDICARE ADVANTAGE,891
166,SUNSHINE STATE HEALTH PLAN,884
167,BCBS FL PPC FED EMP,862
168,VA MEDICAL CTR,853
169,MMO NAS NETWORK,848
170,MMO MEDADVANTAGE CHOICE HMO,847
171,UHC AARP MEDICARECOMPLETE CHOICE,845
172,SUPER MED SELECT,834
173,HOSPICE OF THE WESTERN RESERVE,829
174,ANTHEM TRADITIONAL,827
175,HUMANA TRICARE MILITARY,825
176,BCBS FL PUBLIX,823
177,UHC HLTHCARE MDCR HMO,781
178,MHS CCHS OH STAFF,760
179,AVMED POS,759
180,BLUE TRADITIONAL,750
181,HUMANA GOLD+ MCR OP,740
182,MEDICAID SECONDARY,732
183,SUPERMED PLUS +,729
184,SUMMACARE,716
185,MMO MEDADVANTAGE CLASSIC HMO,709
186,SUMMACARE PPO,700
187,OSCAR HIX,698
188,VA ADMINISTRATION,694
189,UMR CCHS FL NON STAFF,693
190,HOSPICE OF CCF,693
191,HUMANA GOLD CHOICE,689
192,BCBS MYBLUE HIX,685
193,CIGNA LIFESOURCE,684
194,EMBASSY OF KUWAIT,682
195,SUMMACARE SECURE MDCR,680
196,MEDICARE PART B ONLY,675
197,UHC GEHA,674
198,PRIMETIME HEALTH PLAN PFFS,673
199,MYCARE UHC MCARE OP,658
200,MEDICARE HMO OTHR IP,656
201,ANTHEM DUAL ADVANTAGE MEDICARE HMO,648
202,GATEWAY HLTH PLN PA MDCR ASSUR,647
203,MMO SUPERMED SELECT,642
204,MEDICAID - OUT OF STATE,638
205,ADVANTRA MEDICARE PPO,638
206,AARP HMO MCR COMP+ IP,638
207,AETNA MERITAIN HEALTH,631
208,INTL EMBASSY KUWAIT MEDICAL,630
209,UHC PPO CHOICE,620
210,Unspecified,620
211,SECURE HORIZONS MCR OP,619
212,HUMANA MEDICARE HMO,619
213,AETNA OPEN ACCESS AETNA SELECT,612
214,GREAT WEST HLTHCARE,611
215,MEDICARE ADVANTRA HMO,611
216,MMO SUPERMED PPO HIX,599
217,ANTHEM BLUE PREFERRD,596
218,MEDICARE SUMMACARE,589
219,SUPERMED SELECT,586
220,GOLDEN RULE INSURANCE,583
221,OTHER HMO,579
222,UHC MEDICARE COMPLETE HMO POS,573
223,HUMANA CHOICECARE PPO,568
224,NALC,565
225,BCBS FL BLUEOPTIONS,558
226,MUTUAL HLTH SERVICES,554
227,CARESOURCE JUST4ME HIX,553
228,BLUE CROSS PPC,553
229,ANTHEM NATL TRANSPLANT,549
230,CIGNA BEHAVIORAL HLTH,544
231,MMO MHS,544
232,CIGNA PAYER SOLUTIONS PPO,538
233,UHC AARP MCR CMP I/P,537
234,BLUE PREF PRIM PLUS HMO,535
235,HOSPICE CLEVELAND CLINIC,535
236,BUCKEYE COMM Hlth PLAN,533
237,INTL AETNA KUWAIT HEALTH,532
238,CIGNA HEALTHCARE PPO,530
239,NHP HMO UNITED HEALTH GRP,521
240,INTL UHC WORLDWIDE,519
241,MOLINA HELATHCARE OF OHIO,519
242,SUMMACARE INC,519
243,GATEWAY HEALTH PLAN OF OHIO,516
244,CIGNA GWH OAP,506
245,TRICARE NORTH,504
246,UHC HLTHCARE PPO,504
247,MMO UFCW HB ONLY,503
248,MCDONOUGH CAPERTON,502
249,COVENTRY VISTA HEALTH,499
250,HUMANA MEDCRE HMO IP,498
251,HOSPICE OF CLEVE CLINIC,491
252,BCBS OUT OF STATE,488
253,INTL GENERIC,487
254,ROYAL EMBASSY SAUDI ARABIA,483
255,MYCARE BCKY MCARE OP,480
256,BCBS BLUECARE,457
257,MMO MEDICARE ADVG IP,449
258,HUMANA HMO,441
259,CIGNA HLTHCARE PPO,440
260,HEALTH OPT MEDCRE IP,438
261,HUMANA NATIONAL POS,437
262,CIGNA HEALTHPLAN,436
263,BCBS NETWORK BLUE -,434
264,HEALTH AMERICA,433
265,HEALTH PLAN UPPER OHIO MDCR,431
266,AVMED MEDICARE POS,431
267,UAE EMBASSY MILITARY,429
268,PRIMETIME HEALTH PLAN HMO,418
269,MEDICAL MUTUAL (NAS)+++,418
270,UHC COMMUNITY PLAN,414
271,MMO MEDADVANTAGE PREMIUM PPO,414
272,GATEWAY MEDCR HMO IP,412
273,GWH CIGNA,406
274,UNITED MED RESOURCES,406
275,MMO LIMITED ACCESS TPLTS,405
276,TRICARE PRIME,403
277,UHC DUAL COMPLETE PPO SNP,398
278,GENERIC OOS MEDICAID HMO,398
279,MEDINFORM MED PAY INSURANCE,397
280,SUPERMED HMO,391
281,MMO SUPERMED HMO,385
282,HUMANA ACCESS,380
283,MEDICAID OUT OF STAT,377
284,ANTHM SR BVR HLTH IP,375
285,TRICARE,368
286,BUCKEYE ADVANTAGE,367
287,BWC - OUTPATIENT,367
288,MULTIPLAN NETWORK GENERIC,366
289,BENEFIT SYSTEMS,365
290,BCBS MYBLUE,364
291,COVENTRY HMO,364
292,CIGNA INDEMNITY PSYCH,364
293,MEDICARE HMO OUTPATIENT,357
294,MOLINA BROW MCD HMO,353
295,AETNA INSTIT OF EXCELLENCE TRANS SRVS,349
296,BC SECONDARY,346
297,HOSPICE OF THE W RESERVE,345
298,MEDICAID INPT TO OUTPT,344
299,MEDICARE PLUS BLUE PPO,343
300,GENERIC MEDICARE HMO,339
301,FRONTPATH,338
302,COMM INPT TO OUTPT,338
303,MISC  COMMERCIAL INSUR,336
304,INTL AETNA,332
305,ANTHM DL ADVG MCR IP,330
306,UHC GEHA PPO,329
307,INDEPENDENT HLTH HMO,329
308,OXFORD HEALTH PLANS,325
309,ADVANTRA MEDICARE HMO,323
310,BLUE CARD HMO,323
311,HUMANA CLEVELAND CLINIC PREFERRED HMO,320
312,MEDICARE BENEFITS EXHAUSTED,316
313,MMO PEIA,314
314,HUMANA CHOICECARE NETWORK,311
315,AVMED MEDCRE HMO IP,310
316,HUMANA CHOICECARE,308
317,MMO SUPERMED CLASSIC,305
318,BLUE PREF PRIM PLUS POS,301
319,MEDICAID MCP GENERIC,300
320,UNITED HLTHCR MCR IP,299
321,METROHEALTH CARE PLUS,297
322,GOLDEN RULE INSURANCE CO,294
323,MMO SUPERMED POS HIX,293
324,AETNA OPEN CHOICE PPO,291
325,AETNA POS,285
326,BCBS OOS GENERIC,284
327,STUDENT INSURANCE,278
328,MEDICARE DEMO BILLING,277
329,TRADITIONAL CARE NETWORK,274
330,GENERIC HOSPICE,273
331,CARESOURCE ADVANTAGE,273
332,1-888-OHIO COMP,272
333,OSCAR,270
334,UNITED HEALTHCARE MEDICARE PPO,265
335,NORTHERN GROUP SERVCIES,265
336,OPTUM HLTH GOVT TRANSPLNT,263
337,UHC HLTHCARE MEDICARE,261
338,MMO TRADITIONAL CARE NTWK,261
339,SECURECARE,257
340,CARESOURCE MEDICAID HMO PSYCH,255
341,UHC AARP MEDICARECOMPLETE PLUS,246
342,PARAMOUNT HEALTH CARE HMO,245
343,MEDICAID HMO OTHER,245
344,PARAMOUNT,245
345,CHOICE CARE NETWORK,243
346,INETICO,242
347,MMO ADVANTG PPO IP,240
348,CIGNA HEALTHCARE POS OPN ACCES,237
349,TRICARE FOR LIFE,237
350,BCBS MEDICARE OOS,236
351,UNITEDHEALTHCAREONE,236
352,OHIO WORKERS COMPENSATION,235
353,COVENTRY HEALTH CARE OF FL MEDICARE HMO,233
354,"CARE WORKS OF OHIO,LTD",233
355,NATIONAL ASSOC OF LETTER CARRIERS,231
356,KAISER - POS,230
357,BLUE CARD TRADITIONAL,229
358,APEX SC PREMIER PPO,228
359,HLTH PLN UPPER OH VALLEY,227
360,MMO TRADITIONAL,224
361,KAISER ADDED CHOICE POS,222
362,CIGNA-GWH (GREAT WEST HEALTH),222
363,CHAMPVA,219
364,BCBS FL BLUECARE,216
365,NHP POS UNITED HEALTH GRP,215
366,ANTHEM BLUE PREFERRED PRIMARY,215
367,SUPER MED HMO,215
368,MEDICAID OUT OF STATE,214
369,INTL CIGNA,214
370,MERITAIN HEALTH,211
371,INTL EMBASSY SAUDI ARABIA MEDICAL,210
372,MEDICARE OPPS OUTPATIENT,204
373,HEALTH NET FEDERAL SERVIC,203
374,AVMED SELF FUNDED OPTIONS,203
375,VETERAN'S ADMINISTRATION,201
376,COVENTRY CARELINK GOLD HIX,201
377,GENERIC BWC,199
378,OUT OF STATE MEDICAID,198
379,ANTARES CCHS RET UNDER 65,197
380,UHC OPTUMHEALTH BH,196
381,HUMANA CHOICE CARE,196
382,EMERALD HEALTH,195
383,MMO MEDADVANTAGE PPO,194
384,WELLCARE OF OHIO INC,194
385,WELLCARE MEDICAID PSYCH,194
386,COVENTRY CARELINK BRONZE HIX,193
387,EMBASSY OF QATAR,192
388,GWH CIGNA PPO,192
389,BLUE CARD POS,192
390,UHC AARP MEDICARE COMPLETE,190
391,UHC DUAL COMPLETE HMO SNP MCARE,190
392,MAIL HANDLERS BENEFIT PLAN,186
393,VA MEDICAL Ctr,184
394,EMERALD HEALTH NETWORK,184
395,MHS CCHS OH NON STAFF RETIREE,179
396,CIGNA LOCALPLUS,178
397,INPATIENT BILL AS OBS,177
398,UHC AARP MCR CMP O/P,176
399,MMO MEDADVANTAGE STANDARD HMO,176
400,UHC RIVER VALLEY,175
401,BCBS EMPIRE PLAN HOSP ONLY,175
402,BCBS MEDICARE HMO OOS,175
403,BUCKEYE CHP HIX,175
404,MANAGED CARE MISC,174
405,MMO UPMC HEALTH PLAN,172
406,UHC MEDICA MEDICARE HMO,172
407,MEDICARE HMO,171
408,BLUE CROSS PPO,171
409,MMO TRANSPLANT HB ONLY,171
410,AETNA USHC INDEMNITY,168
411,AETNA SELECT OPEN ACCESS,167
412,BCBS FL HEALTH OPTIONS,166
413,GATEWAY MEDCR HMO OP,166
414,UHC MCR ADVG PPO IP,166
415,HUMANA ONE,165
416,GATEWAY MDCR ASSURED PA,162
417,"COMP MGMT HLTH SYSTEMS,INC.",162
418,UNKNOWN,161
419,CIGNA HEALTHCARE CHOICE FUND,161
420,ANTHEM GOLD DIRECTACCESS,161
421,MMO MEDICARE ADVG OP,159
422,AETNA POS GENERIC,159
423,OHIO PPO CONNECT,158
424,MMO MEDADVANTAGE PREFERRED PPO,158
425,HEALTHAMERICA MDCR HMO,157
426,MMO NARROW NETWORK,157
427,ADVANTRA MDCR PPO IP,157
428,MEDPAY AKRON,155
429,BUCKEYE COMMUNITY HEALTH,155
430,BCBS FL STATE EMP,155
431,WORKERS COMP OTHR,154
432,SC PREMIER PPO,154
433,WORKERS COMP SELF INS,153
434,SELF-PAY FLAT FEE,153
435,MHS AKRON OH USW NON STAFF,151
