,index,length_of_stay
0,0 days 23:58:00.000000000,710
1,2 days 00:00:00.000000000,491
2,1 days 22:30:00.000000000,480
3,1 days 00:00:00.000000000,471
4,2 days 01:00:00.000000000,466
5,1 days 21:00:00.000000000,465
6,1 days 23:00:00.000000000,464
7,1 days 22:00:00.000000000,457
8,2 days 02:00:00.000000000,457
9,2 days 00:30:00.000000000,454
10,1 days 21:30:00.000000000,453
11,0 days 22:45:00.000000000,450
12,1 days 20:30:00.000000000,446
13,0 days 22:00:00.000000000,440
14,1 days 00:30:00.000000000,436
15,1 days 23:30:00.000000000,434
16,1 days 23:45:00.000000000,433
17,1 days 19:45:00.000000000,433
18,1 days 00:15:00.000000000,432
19,0 days 21:30:00.000000000,427
20,1 days 01:30:00.000000000,426
21,0 days 23:30:00.000000000,423
22,1 days 22:15:00.000000000,422
23,2 days 00:40:00.000000000,421
24,1 days 22:45:00.000000000,418
25,2 days 00:45:00.000000000,418
26,1 days 21:45:00.000000000,418
27,0 days 23:40:00.000000000,416
28,1 days 20:00:00.000000000,415
29,0 days 23:00:00.000000000,415
30,1 days 19:30:00.000000000,414
31,1 days 21:15:00.000000000,412
32,2 days 01:30:00.000000000,412
33,1 days 21:35:00.000000000,412
34,2 days 04:00:00.000000000,411
35,1 days 02:00:00.000000000,410
36,2 days 00:15:00.000000000,410
37,2 days 00:35:00.000000000,409
38,0 days 23:15:00.000000000,409
39,1 days 20:45:00.000000000,408
40,2 days 02:15:00.000000000,407
41,0 days 23:45:00.000000000,407
42,1 days 23:25:00.000000000,405
43,2 days 02:30:00.000000000,404
44,1 days 19:00:00.000000000,403
45,0 days 21:45:00.000000000,402
46,1 days 18:30:00.000000000,402
47,1 days 23:15:00.000000000,400
48,1 days 23:40:00.000000000,400
49,1 days 21:40:00.000000000,399
50,2 days 01:45:00.000000000,399
51,2 days 01:15:00.000000000,399
52,1 days 21:25:00.000000000,398
53,0 days 22:30:00.000000000,397
54,2 days 00:10:00.000000000,397
55,1 days 21:50:00.000000000,396
56,1 days 22:10:00.000000000,396
57,2 days 03:00:00.000000000,396
58,0 days 21:00:00.000000000,395
59,1 days 02:30:00.000000000,393
60,0 days 22:15:00.000000000,393
61,1 days 19:15:00.000000000,392
62,2 days 00:20:00.000000000,391
63,1 days 21:05:00.000000000,390
64,2 days 02:45:00.000000000,390
65,2 days 01:20:00.000000000,389
66,2 days 03:30:00.000000000,388
67,1 days 22:55:00.000000000,388
68,1 days 20:15:00.000000000,386
69,1 days 22:40:00.000000000,385
70,1 days 23:05:00.000000000,385
71,1 days 01:00:00.000000000,385
72,1 days 21:10:00.000000000,384
73,1 days 23:50:00.000000000,383
74,2 days 00:50:00.000000000,383
75,1 days 23:10:00.000000000,383
76,1 days 03:00:00.000000000,382
77,0 days 21:15:00.000000000,382
78,1 days 01:45:00.000000000,381
79,2 days 05:00:00.000000000,380
80,2 days 00:25:00.000000000,379
81,2 days 23:00:00.000000000,379
82,1 days 23:55:00.000000000,379
83,2 days 04:30:00.000000000,378
84,2 days 02:10:00.000000000,377
85,0 days 21:35:00.000000000,377
86,1 days 00:25:00.000000000,377
87,0 days 22:55:00.000000000,377
88,0 days 23:05:00.000000000,375
89,2 days 05:30:00.000000000,374
90,0 days 20:30:00.000000000,374
91,1 days 23:20:00.000000000,373
92,1 days 18:00:00.000000000,372
93,0 days 20:45:00.000000000,372
94,2 days 03:15:00.000000000,372
95,1 days 22:20:00.000000000,371
96,1 days 19:35:00.000000000,370
97,1 days 03:30:00.000000000,370
98,1 days 18:20:00.000000000,370
99,2 days 02:25:00.000000000,370
100,1 days 20:55:00.000000000,369
101,1 days 18:45:00.000000000,369
102,2 days 00:55:00.000000000,369
103,0 days 18:45:00.000000000,369
104,1 days 18:10:00.000000000,368
105,0 days 22:25:00.000000000,368
106,1 days 20:20:00.000000000,368
107,1 days 01:10:00.000000000,367
108,1 days 20:10:00.000000000,367
109,1 days 01:25:00.000000000,367
110,1 days 01:15:00.000000000,367
111,1 days 19:40:00.000000000,366
112,0 days 21:50:00.000000000,366
113,0 days 22:40:00.000000000,365
114,1 days 23:35:00.000000000,365
115,1 days 17:30:00.000000000,364
116,1 days 18:15:00.000000000,364
117,2 days 00:05:00.000000000,363
118,2 days 03:45:00.000000000,363
119,1 days 19:55:00.000000000,363
120,1 days 16:15:00.000000000,363
121,0 days 20:05:00.000000000,363
122,0 days 22:10:00.000000000,363
123,1 days 00:35:00.000000000,363
124,2 days 06:30:00.000000000,362
125,0 days 20:00:00.000000000,362
126,1 days 00:50:00.000000000,362
127,1 days 05:00:00.000000000,362
128,0 days 23:55:00.000000000,361
129,1 days 17:45:00.000000000,361
130,1 days 02:15:00.000000000,361
131,2 days 01:35:00.000000000,361
132,1 days 20:35:00.000000000,361
133,1 days 22:05:00.000000000,360
134,2 days 04:15:00.000000000,360
135,2 days 02:55:00.000000000,360
136,3 days 00:00:00.000000000,360
137,1 days 19:50:00.000000000,359
138,1 days 20:40:00.000000000,359
139,2 days 05:45:00.000000000,358
140,2 days 03:10:00.000000000,358
141,1 days 18:50:00.000000000,357
142,0 days 19:45:00.000000000,357
143,1 days 03:45:00.000000000,356
144,0 days 21:40:00.000000000,356
145,1 days 04:00:00.000000000,356
146,0 days 22:50:00.000000000,356
147,2 days 02:05:00.000000000,356
148,1 days 00:05:00.000000000,355
149,1 days 01:20:00.000000000,354
150,1 days 20:05:00.000000000,354
151,1 days 03:15:00.000000000,354
152,0 days 23:10:00.000000000,354
153,1 days 00:55:00.000000000,354
154,1 days 00:45:00.000000000,354
155,1 days 01:40:00.000000000,353
156,1 days 22:35:00.000000000,353
157,1 days 17:20:00.000000000,353
158,0 days 20:15:00.000000000,352
159,1 days 00:40:00.000000000,352
160,2 days 02:40:00.000000000,352
161,1 days 20:50:00.000000000,352
162,1 days 00:10:00.000000000,351
163,1 days 18:55:00.000000000,350
164,2 days 01:10:00.000000000,350
165,1 days 19:10:00.000000000,350
166,1 days 22:50:00.000000000,350
167,2 days 02:20:00.000000000,349
168,1 days 01:50:00.000000000,349
169,1 days 21:55:00.000000000,349
170,1 days 02:20:00.000000000,348
171,2 days 21:00:00.000000000,348
172,1 days 02:45:00.000000000,348
173,1 days 17:40:00.000000000,347
174,0 days 21:20:00.000000000,347
175,2 days 06:15:00.000000000,346
176,1 days 17:15:00.000000000,346
177,0 days 21:55:00.000000000,346
178,3 days 01:00:00.000000000,346
179,1 days 22:25:00.000000000,345
180,0 days 19:00:00.000000000,345
181,1 days 19:05:00.000000000,345
182,2 days 23:30:00.000000000,344
183,1 days 04:30:00.000000000,343
184,0 days 19:50:00.000000000,343
185,3 days 00:30:00.000000000,343
186,1 days 02:40:00.000000000,342
187,2 days 01:25:00.000000000,342
188,1 days 02:35:00.000000000,342
189,0 days 23:20:00.000000000,342
190,0 days 18:00:00.000000000,341
191,2 days 01:50:00.000000000,341
192,2 days 23:15:00.000000000,339
193,0 days 22:20:00.000000000,339
194,2 days 22:00:00.000000000,339
195,0 days 21:25:00.000000000,338
196,0 days 20:40:00.000000000,338
197,2 days 21:45:00.000000000,338
198,1 days 21:20:00.000000000,338
199,0 days 23:35:00.000000000,337
200,1 days 04:15:00.000000000,337
201,2 days 08:00:00.000000000,337
202,0 days 23:50:00.000000000,337
203,1 days 01:05:00.000000000,336
204,2 days 04:45:00.000000000,336
205,2 days 06:20:00.000000000,336
206,2 days 22:30:00.000000000,336
207,2 days 22:45:00.000000000,336
208,1 days 01:55:00.000000000,335
209,0 days 22:05:00.000000000,334
210,1 days 00:20:00.000000000,334
211,1 days 02:55:00.000000000,334
212,1 days 03:35:00.000000000,334
213,1 days 18:35:00.000000000,333
214,1 days 04:45:00.000000000,333
215,2 days 01:55:00.000000000,333
216,2 days 03:35:00.000000000,332
217,0 days 18:30:00.000000000,331
218,2 days 02:50:00.000000000,331
219,2 days 03:20:00.000000000,331
220,1 days 02:50:00.000000000,330
221,2 days 18:30:00.000000000,330
222,0 days 21:05:00.000000000,330
223,2 days 01:40:00.000000000,329
224,1 days 16:30:00.000000000,329
225,1 days 01:35:00.000000000,329
226,1 days 18:25:00.000000000,328
227,0 days 20:35:00.000000000,328
228,2 days 03:50:00.000000000,328
229,1 days 03:50:00.000000000,328
230,0 days 20:25:00.000000000,328
231,2 days 20:15:00.000000000,328
232,2 days 20:30:00.000000000,327
233,0 days 19:10:00.000000000,327
234,2 days 22:15:00.000000000,327
235,1 days 02:05:00.000000000,327
236,1 days 17:25:00.000000000,326
237,2 days 01:05:00.000000000,326
238,2 days 05:10:00.000000000,326
239,2 days 19:15:00.000000000,325
240,1 days 19:20:00.000000000,325
241,1 days 03:05:00.000000000,325
242,0 days 23:25:00.000000000,325
243,0 days 19:15:00.000000000,325
244,1 days 17:35:00.000000000,324
245,2 days 21:15:00.000000000,323
246,2 days 07:45:00.000000000,323
247,2 days 21:30:00.000000000,322
248,2 days 18:00:00.000000000,322
249,1 days 05:30:00.000000000,322
250,1 days 19:25:00.000000000,321
251,0 days 20:50:00.000000000,321
252,0 days 21:10:00.000000000,321
253,1 days 16:00:00.000000000,321
254,2 days 03:40:00.000000000,320
255,0 days 18:15:00.000000000,320
256,0 days 22:35:00.000000000,320
257,3 days 01:45:00.000000000,320
258,2 days 07:00:00.000000000,319
259,2 days 09:00:00.000000000,319
260,2 days 07:30:00.000000000,318
261,1 days 06:00:00.000000000,318
262,1 days 20:25:00.000000000,318
263,3 days 01:30:00.000000000,318
264,3 days 03:00:00.000000000,318
265,2 days 02:35:00.000000000,318
266,2 days 23:45:00.000000000,317
267,2 days 03:05:00.000000000,317
268,3 days 00:15:00.000000000,317
269,2 days 05:15:00.000000000,317
270,0 days 20:20:00.000000000,316
271,2 days 21:55:00.000000000,316
272,2 days 23:55:00.000000000,316
273,1 days 23:32:00.000000000,316
274,3 days 01:15:00.000000000,316
275,3 days 00:45:00.000000000,316
276,0 days 17:50:00.000000000,315
277,0 days 18:20:00.000000000,315
278,1 days 02:10:00.000000000,315
279,2 days 05:35:00.000000000,315
280,1 days 18:40:00.000000000,315
281,1 days 04:40:00.000000000,314
282,1 days 03:40:00.000000000,314
283,1 days 16:45:00.000000000,314
284,1 days 04:25:00.000000000,313
285,0 days 19:55:00.000000000,313
286,2 days 06:00:00.000000000,313
287,3 days 02:30:00.000000000,313
288,0 days 19:30:00.000000000,313
289,2 days 00:26:00.000000000,313
290,3 days 01:10:00.000000000,313
291,2 days 03:55:00.000000000,312
292,2 days 20:00:00.000000000,312
293,1 days 03:10:00.000000000,311
294,1 days 21:47:00.000000000,311
295,2 days 03:25:00.000000000,311
296,2 days 20:45:00.000000000,311
297,2 days 19:45:00.000000000,311
298,0 days 17:55:00.000000000,310
299,3 days 06:00:00.000000000,310
300,1 days 17:50:00.000000000,310
301,1 days 17:00:00.000000000,309
302,3 days 03:30:00.000000000,309
303,1 days 02:25:00.000000000,309
304,1 days 15:50:00.000000000,309
305,2 days 19:00:00.000000000,308
306,2 days 22:35:00.000000000,308
307,2 days 04:20:00.000000000,307
308,3 days 01:55:00.000000000,307
309,0 days 18:50:00.000000000,307
310,2 days 23:10:00.000000000,307
311,2 days 23:25:00.000000000,306
312,2 days 05:20:00.000000000,306
313,1 days 15:30:00.000000000,306
314,0 days 20:55:00.000000000,306
315,2 days 00:08:00.000000000,306
316,1 days 04:10:00.000000000,305
317,0 days 19:40:00.000000000,305
318,2 days 20:20:00.000000000,305
319,2 days 08:30:00.000000000,305
320,1 days 05:20:00.000000000,304
321,0 days 18:25:00.000000000,304
322,1 days 21:38:00.000000000,304
323,2 days 22:20:00.000000000,304
324,1 days 23:39:00.000000000,304
325,2 days 04:10:00.000000000,304
326,2 days 00:38:00.000000000,303
327,1 days 05:15:00.000000000,303
328,1 days 15:15:00.000000000,303
329,2 days 17:00:00.000000000,302
330,0 days 19:20:00.000000000,302
331,2 days 07:15:00.000000000,301
332,0 days 17:45:00.000000000,301
333,0 days 19:05:00.000000000,301
334,2 days 04:35:00.000000000,300
335,0 days 17:15:00.000000000,300
336,2 days 00:32:00.000000000,300
337,1 days 17:10:00.000000000,300
338,1 days 04:05:00.000000000,300
339,1 days 23:02:00.000000000,300
340,0 days 19:35:00.000000000,299
341,1 days 22:53:00.000000000,299
342,1 days 18:05:00.000000000,299
343,0 days 23:32:00.000000000,299
344,0 days 18:40:00.000000000,299
345,2 days 17:45:00.000000000,299
346,2 days 20:10:00.000000000,298
347,3 days 02:10:00.000000000,298
348,3 days 02:45:00.000000000,298
349,1 days 21:16:00.000000000,298
350,1 days 21:12:00.000000000,298
351,1 days 23:37:00.000000000,298
352,0 days 17:30:00.000000000,298
353,2 days 05:25:00.000000000,298
354,1 days 05:45:00.000000000,297
355,1 days 22:58:00.000000000,297
356,2 days 21:10:00.000000000,297
357,2 days 08:10:00.000000000,297
358,1 days 20:54:00.000000000,297
359,1 days 16:05:00.000000000,297
360,1 days 05:05:00.000000000,297
361,2 days 08:15:00.000000000,297
362,2 days 16:00:00.000000000,297
363,2 days 04:40:00.000000000,297
364,2 days 19:30:00.000000000,296
365,3 days 02:15:00.000000000,295
366,1 days 21:27:00.000000000,295
367,1 days 04:55:00.000000000,295
368,1 days 04:20:00.000000000,295
369,2 days 21:05:00.000000000,295
370,2 days 00:27:00.000000000,295
371,0 days 16:00:00.000000000,295
372,1 days 23:56:00.000000000,295
373,2 days 00:02:00.000000000,294
374,1 days 07:30:00.000000000,294
375,1 days 22:26:00.000000000,294
376,1 days 07:15:00.000000000,294
377,2 days 20:25:00.000000000,294
378,1 days 22:11:00.000000000,294
379,2 days 01:53:00.000000000,293
380,1 days 23:53:00.000000000,293
381,1 days 21:11:00.000000000,293
382,1 days 15:10:00.000000000,293
383,1 days 05:55:00.000000000,293
384,1 days 23:48:00.000000000,293
385,1 days 20:28:00.000000000,292
386,1 days 15:45:00.000000000,292
387,2 days 23:20:00.000000000,292
388,2 days 17:15:00.000000000,292
389,1 days 03:55:00.000000000,292
390,3 days 02:00:00.000000000,292
391,1 days 22:43:00.000000000,291
392,0 days 16:30:00.000000000,291
393,2 days 23:05:00.000000000,291
394,1 days 23:57:00.000000000,291
395,2 days 20:40:00.000000000,291
396,1 days 14:45:00.000000000,291
397,1 days 20:58:00.000000000,291
398,2 days 05:50:00.000000000,291
399,1 days 22:46:00.000000000,290
400,2 days 05:05:00.000000000,290
401,1 days 20:02:00.000000000,290
402,2 days 01:22:00.000000000,290
403,2 days 21:50:00.000000000,290
404,3 days 05:30:00.000000000,290
405,1 days 23:19:00.000000000,290
406,0 days 17:00:00.000000000,290
407,1 days 04:35:00.000000000,289
408,1 days 21:19:00.000000000,289
409,2 days 05:40:00.000000000,289
410,1 days 23:52:00.000000000,289
411,1 days 20:39:00.000000000,289
412,2 days 00:13:00.000000000,289
413,2 days 04:25:00.000000000,289
414,2 days 22:05:00.000000000,289
415,2 days 20:55:00.000000000,289
416,1 days 22:27:00.000000000,289
417,2 days 17:30:00.000000000,288
418,1 days 00:22:00.000000000,288
419,0 days 18:55:00.000000000,288
420,1 days 21:49:00.000000000,288
421,2 days 06:45:00.000000000,287
422,1 days 22:07:00.000000000,287
423,0 days 17:20:00.000000000,286
424,1 days 22:03:00.000000000,286
425,1 days 23:04:00.000000000,286
426,2 days 00:29:00.000000000,286
427,1 days 22:19:00.000000000,286
428,1 days 09:45:00.000000000,286
429,2 days 04:50:00.000000000,286
430,3 days 05:00:00.000000000,286
431,2 days 21:25:00.000000000,285
432,2 days 22:10:00.000000000,285
433,1 days 06:20:00.000000000,285
434,1 days 04:50:00.000000000,285
435,1 days 22:14:00.000000000,285
436,1 days 16:10:00.000000000,285
437,2 days 16:15:00.000000000,285
438,2 days 00:28:00.000000000,285
439,1 days 03:20:00.000000000,285
440,1 days 23:17:00.000000000,285
441,2 days 01:08:00.000000000,285
442,0 days 19:25:00.000000000,285
443,2 days 15:00:00.000000000,285
444,1 days 23:08:00.000000000,285
445,2 days 23:35:00.000000000,285
446,3 days 00:05:00.000000000,284
447,2 days 18:15:00.000000000,284
448,1 days 17:05:00.000000000,284
449,0 days 21:39:00.000000000,284
450,3 days 03:45:00.000000000,284
451,2 days 04:05:00.000000000,284
452,1 days 23:51:00.000000000,284
453,0 days 17:25:00.000000000,284
454,1 days 03:25:00.000000000,284
455,2 days 21:40:00.000000000,283
456,1 days 16:50:00.000000000,283
457,2 days 22:55:00.000000000,283
458,1 days 20:11:00.000000000,283
459,1 days 23:29:00.000000000,283
