,index,length_of_stay_in_days
0,0.9986110925674438,710
1,2.0,491
2,1.9375,480
3,1.0,471
4,2.0416667461395264,466
5,1.875,465
6,1.9583333730697632,464
7,2.0833332538604736,457
8,1.9166666269302368,457
9,2.0208332538604736,454
10,1.8958333730697632,453
11,0.9479166865348816,450
12,1.8541666269302368,446
13,0.9166666865348816,440
14,1.0208333730697632,436
15,1.9791666269302368,434
16,1.9895833730697632,433
17,1.8229166269302368,433
18,1.0104166269302368,432
19,0.8958333134651184,427
20,1.0625,426
21,0.9791666865348816,423
22,1.9270833730697632,422
23,2.027777671813965,421
24,2.03125,418
25,1.9479166269302368,418
26,1.90625,418
27,0.9861111044883728,416
28,1.8333333730697632,415
29,0.9583333134651184,415
30,1.8125,414
31,1.8854166269302368,412
32,1.8993055820465088,412
33,2.0625,412
34,2.1666667461395264,411
35,2.0104167461395264,410
36,1.0833333730697632,410
37,0.96875,409
38,2.024305582046509,409
39,1.8645833730697632,408
40,0.9895833134651184,407
41,2.09375,407
42,1.9756944179534912,405
43,2.1041667461395264,404
44,1.7916666269302368,403
45,1.7708333730697632,402
46,0.90625,402
47,1.96875,400
48,1.9861111640930176,400
49,1.9027777910232544,399
50,2.0520832538604736,399
51,2.0729167461395264,399
52,1.8923611640930176,398
53,2.006944417953491,397
54,0.9375,397
55,2.125,396
56,1.9097222089767456,396
57,1.9236111640930176,396
58,0.875,395
59,1.1041666269302368,393
60,0.9270833134651184,393
61,1.8020833730697632,392
62,2.0138888359069824,391
63,2.1145832538604736,390
64,1.8784722089767456,390
65,2.055555582046509,389
66,1.9548611640930176,388
67,2.1458332538604736,388
68,1.84375,386
69,1.9618055820465088,385
70,1.0416666269302368,385
71,1.9444444179534912,385
72,1.8819444179534912,384
73,1.9652777910232544,383
74,2.034722328186035,383
75,1.9930555820465088,383
76,0.8854166865348816,382
77,1.125,382
78,1.0729166269302368,381
79,2.2083332538604736,380
80,2.0173611640930176,379
81,2.9583332538604736,379
82,1.9965277910232544,379
83,2.1875,378
84,1.0173611640930176,377
85,0.9548611044883728,377
86,0.8993055820465088,377
87,2.090277671813965,377
88,0.9618055820465088,375
89,2.2291667461395264,374
90,0.8541666865348816,374
91,1.9722222089767456,373
92,1.75,372
93,0.8645833134651184,372
94,2.1354167461395264,372
95,1.9305555820465088,371
96,1.7638888359069824,370
97,1.1458333730697632,370
98,2.100694417953491,370
99,1.8159722089767456,370
100,2.038194417953491,369
101,1.8715277910232544,369
102,1.78125,369
103,0.78125,369
104,0.9340277910232544,368
105,1.8472222089767456,368
106,1.7569444179534912,368
107,1.0486111640930176,367
108,1.8402777910232544,367
109,1.0590277910232544,367
110,1.0520833730697632,367
111,1.8194444179534912,366
112,0.9097222089767456,366
113,0.9444444179534912,365
114,1.9826388359069824,365
115,1.7604166269302368,364
116,1.7291666269302368,364
117,1.8298611640930176,363
118,0.8368055820465088,363
119,2.003472328186035,363
120,1.0243055820465088,363
121,2.15625,363
122,1.6770833730697632,363
123,0.9236111044883728,363
124,1.2083333730697632,362
125,1.0347222089767456,362
126,0.8333333134651184,362
127,2.2708332538604736,362
128,1.7395833730697632,361
129,2.065972328186035,361
130,1.09375,361
131,1.8576388359069824,361
132,0.9965277910232544,361
133,2.1770832538604736,360
134,2.121527671813965,360
135,3.0,360
136,1.9201388359069824,360
137,1.8263888359069824,359
138,1.8611111640930176,359
139,2.2395832538604736,358
140,2.131944417953491,358
141,1.7847222089767456,357
142,0.8229166865348816,357
143,1.15625,356
144,0.9513888955116272,356
145,0.9027777910232544,356
146,2.086805582046509,356
147,1.1666666269302368,356
148,1.0034722089767456,355
149,1.8368055820465088,354
150,1.0555555820465088,354
151,1.03125,354
152,0.9652777910232544,354
153,1.1354166269302368,354
154,1.0381944179534912,354
155,1.7222222089767456,353
156,1.9409722089767456,353
157,1.0694444179534912,353
158,1.8680555820465088,352
159,1.0277777910232544,352
160,2.1111111640930176,352
161,0.84375,352
162,1.0069444179534912,351
163,1.7881944179534912,350
164,2.0486111640930176,350
165,1.9513888359069824,350
166,1.7986111640930176,350
167,1.9131944179534912,349
168,2.097222328186035,349
169,1.0763888359069824,349
170,1.0972222089767456,348
171,1.1145833730697632,348
172,2.875,348
173,1.7361111640930176,347
174,0.8888888955116272,347
175,1.71875,346
176,0.9131944179534912,346
177,3.0416667461395264,346
178,2.2604167461395264,346
179,0.7916666865348816,345
180,1.9340277910232544,345
181,1.7951388359069824,345
182,2.9791667461395264,344
183,1.1875,343
184,3.0208332538604736,343
185,0.8263888955116272,343
186,1.1076388359069824,342
187,2.059027671813965,342
188,1.1111111640930176,342
189,0.9722222089767456,342
190,0.75,341
191,2.0763888359069824,341
192,2.9166667461395264,339
193,2.96875,339
194,0.9305555820465088,339
195,0.8611111044883728,338
196,2.90625,338
197,0.8923611044883728,338
198,1.8888888359069824,338
199,2.3333332538604736,337
200,1.1770833730697632,337
201,0.9930555820465088,337
202,0.9826388955116272,337
203,2.1979167461395264,336
204,2.9375,336
205,2.9479167461395264,336
206,2.2638888359069824,336
207,1.0451388359069824,336
208,1.0798611640930176,335
209,1.1215277910232544,334
210,1.0138888359069824,334
211,0.9201388955116272,334
212,1.1493055820465088,334
213,1.1979166269302368,333
214,1.7743055820465088,333
215,2.0798611640930176,333
216,2.149305582046509,332
217,0.7708333134651184,331
218,2.1388888359069824,331
219,2.118055582046509,331
220,0.8784722089767456,330
221,1.1180555820465088,330
222,2.7708332538604736,330
223,1.0659722089767456,329
224,2.069444417953491,329
225,1.6875,329
226,2.159722328186035,328
227,0.8576388955116272,328
228,1.7673611640930176,328
229,2.84375,328
230,0.8506944179534912,328
231,1.1597222089767456,328
232,2.8541667461395264,327
233,2.9270832538604736,327
234,1.0868055820465088,327
235,0.7986111044883728,327
236,2.215277671813965,326
237,1.7256944179534912,326
238,2.0451388359069824,326
239,0.9756944179534912,325
240,2.8020832538604736,325
241,1.1284722089767456,325
242,1.8055555820465088,325
243,0.8020833134651184,325
244,1.7326388359069824,324
245,2.3229167461395264,323
246,2.8854167461395264,323
247,2.75,322
248,1.2291666269302368,322
249,2.8958332538604736,322
250,1.8090277910232544,321
251,0.8680555820465088,321
252,1.6666666269302368,321
253,0.8819444179534912,321
254,0.9409722089767456,320
255,0.7604166865348816,320
256,2.152777671813965,320
257,3.0729167461395264,320
258,2.375,319
259,2.2916667461395264,319
260,1.25,318
261,2.3125,318
262,1.8506944179534912,318
263,3.125,318
264,3.0625,318
265,2.1076388359069824,318
266,3.0104167461395264,317
267,2.128472328186035,317
268,2.21875,317
269,2.9895832538604736,317
270,0.8472222089767456,316
271,1.980555534362793,316
272,2.996527671813965,316
273,2.913194417953491,316
274,3.0520832538604736,316
275,3.03125,316
276,1.0902777910232544,315
277,1.7777777910232544,315
278,0.7430555820465088,315
279,2.2326388359069824,315
280,0.7638888955116272,315
281,1.1527777910232544,314
282,1.6979166269302368,314
283,1.1944444179534912,314
284,3.0486111640930176,313
285,1.1840277910232544,313
286,2.0180554389953613,313
287,0.8298611044883728,313
288,2.25,313
289,0.8125,313
290,3.1041667461395264,313
291,2.163194417953491,312
