,index,lymph_discharge_value
0,,1155167
1,14.0,2008
2,15.0,1991
3,16.0,1987
4,18.0,1973
5,17.0,1956
6,13.0,1953
7,11.0,1931
8,12.0,1907
9,19.0,1869
10,10.0,1810
11,9.0,1803
12,21.0,1800
13,20.0,1786
14,23.0,1757
15,22.0,1751
16,8.0,1730
17,7.0,1666
18,25.0,1648
19,24.0,1621
20,17.5,1617
21,17.4,1611
22,17.1,1597
23,18.5,1591
24,13.8,1587
25,15.2,1584
26,14.4,1579
27,17.6,1578
28,14.7,1573
29,12.8,1570
30,14.8,1569
31,13.9,1566
32,16.1,1565
33,11.8,1565
34,12.1,1565
35,14.6,1564
36,14.9,1564
37,15.3,1562
38,11.7,1562
39,13.2,1561
40,14.2,1561
41,16.3,1560
42,16.2,1560
43,15.8,1559
44,19.1,1559
45,18.2,1558
46,13.5,1558
47,18.6,1556
48,16.8,1555
49,18.1,1555
50,12.6,1549
51,15.5,1548
52,15.1,1547
53,16.9,1547
54,17.3,1546
55,14.3,1538
56,19.2,1536
57,16.4,1535
58,19.6,1535
59,15.7,1532
60,19.9,1530
61,18.9,1530
62,19.5,1528
63,15.6,1526
64,17.2,1524
65,12.3,1524
66,14.1,1523
67,15.9,1523
68,15.4,1523
69,16.6,1522
70,12.2,1521
71,19.3,1519
72,20.6,1518
73,18.8,1517
74,13.6,1516
75,14.5,1514
76,18.3,1510
77,12.4,1509
78,10.4,1506
79,16.5,1506
80,18.7,1506
81,17.7,1505
82,12.9,1505
83,19.4,1502
84,13.4,1501
85,11.3,1501
86,19.8,1500
87,17.9,1499
88,19.7,1497
89,20.7,1495
90,13.7,1492
91,20.2,1490
92,16.7,1488
93,11.9,1486
94,20.3,1485
95,13.3,1484
96,11.6,1479
97,18.4,1479
98,12.7,1477
99,13.1,1469
100,20.4,1467
101,10.5,1465
102,10.2,1464
103,21.1,1464
104,21.9,1464
105,22.1,1460
106,10.9,1460
107,20.1,1459
108,11.4,1459
109,22.9,1459
110,10.8,1458
111,17.8,1456
112,10.7,1450
113,10.6,1449
114,26.0,1447
115,9.9,1446
116,6.0,1446
117,9.5,1442
118,21.6,1442
119,22.6,1441
120,21.4,1439
121,21.8,1437
122,21.5,1435
123,20.8,1434
124,12.5,1431
125,22.3,1431
126,21.2,1430
127,20.9,1429
128,10.1,1426
129,9.6,1425
130,11.1,1424
131,10.3,1424
132,21.3,1420
133,20.5,1411
134,21.7,1409
135,9.4,1405
136,11.5,1405
137,11.2,1399
138,22.7,1398
139,22.4,1394
140,8.7,1390
141,27.0,1380
