,index,mch_discharge_value
0,,951275
1,30.1,13148
2,30.0,13094
3,30.2,12935
4,30.5,12913
5,29.7,12899
6,29.6,12883
7,30.3,12862
8,30.4,12821
9,29.8,12699
10,29.9,12629
11,30.6,12406
12,29.5,12307
13,30.8,12220
14,30.7,12022
15,29.4,11976
16,30.9,11701
17,29.3,11606
18,29.2,11431
19,31.0,11383
20,29.1,11222
21,31.1,11165
22,31.3,10881
23,29.0,10780
24,28.9,10720
25,28.8,10069
26,31.2,9870
27,31.4,9840
28,28.7,9635
29,31.5,9407
30,28.5,9387
31,28.6,9139
32,31.6,9074
33,28.4,8450
34,31.7,8445
35,28.3,8345
36,31.8,8023
37,28.2,7932
38,31.9,7723
39,28.1,7586
40,28.0,7504
41,32.0,7122
42,27.9,6904
43,27.8,6798
44,32.1,6485
45,32.2,6196
46,27.7,6162
47,27.6,6056
48,27.5,5945
49,32.3,5864
50,27.4,5608
51,32.4,5498
52,27.3,5469
53,32.5,5097
54,27.2,4980
55,27.1,4916
56,32.6,4794
57,27.0,4609
58,26.9,4421
59,32.7,4203
60,26.8,4125
61,32.8,4035
62,26.7,3941
63,32.9,3750
64,26.6,3736
65,26.5,3661
66,26.4,3393
67,33.0,3338
68,33.3,3338
69,26.3,3288
70,33.1,3038
71,26.2,3020
72,33.2,3009
73,26.1,2885
74,26.0,2741
75,25.9,2549
76,25.8,2533
77,25.7,2255
78,25.6,2240
79,25.5,2094
80,25.4,2069
81,33.6,2026
82,33.5,1985
83,33.7,1916
84,33.4,1900
85,25.3,1899
86,25.1,1860
87,25.2,1803
88,33.8,1738
89,24.9,1646
90,24.8,1515
91,34.0,1512
92,33.9,1481
93,24.7,1399
94,24.6,1348
95,34.1,1291
96,24.5,1269
97,34.2,1263
98,24.4,1230
99,25.0,1193
100,34.3,1164
101,24.3,1127
102,24.2,1115
103,24.1,1081
104,24.0,1029
105,Unable to assay. Clotted specimen.,1015
106,34.4,1006
107,34.5,924
108,23.8,916
109,23.7,911
110,23.9,905
111,34.6,899
112,Account Credited,869
113,23.5,854
114,23.3,849
115,23.6,832
116,23.4,810
117,34.7,808
118,34.8,728
119,23.2,720
120,23.1,694
121,23.0,687
122,22.9,646
123,34.9,637
124,35.0,633
125,22.8,629
126,22.6,617
127,22.5,603
128,22.7,600
129,35.1,588
130,35.2,550
131,22.4,517
132,35.3,507
133,22.2,502
134,35.4,500
135,22.1,484
136,22.3,480
137,35.5,458
138,22.0,455
139,35.6,430
140,21.7,420
141,Unable to report,410
142,21.9,402
143,35.8,392
144,21.8,375
145,21.6,374
146,35.7,366
147,36.0,350
148,21.4,342
149,35.9,338
150,21.5,336
151,36.1,319
152,21.3,316
153,36.2,300
154,21.1,289
155,21.2,282
156,36.3,281
157,21.0,277
158,20.8,268
159,36.5,264
160,20.9,261
161,36.4,259
162,20.4,259
163,36.6,240
164,20.7,230
165,20.3,222
166,20.6,214
167,36.7,212
168,20.2,208
169,36.9,197
170,37.0,191
171,20.5,191
172,36.8,190
173,20.0,189
174,20.1,183
175,37.1,179
176,19.8,166
177,19.7,155
178,37.2,153
179,19.9,153
180,19.5,152
181,37.3,144
182,37.4,141
183,19.2,127
184,19.3,126
185,19.4,125
186,37.6,125
187,19.6,123
188,37.5,118
189,19.1,105
190,37.9,104
191,19.0,104
192,18.9,98
193,37.8,98
194,Duplicate request,94
195,37.7,93
196,18.8,90
197,18.5,83
198,38.0,79
199,Unable to assay. Quantity not sufficient.,77
200,18.6,69
201,18.4,68
202,18.7,67
203,38.2,66
204,38.3,64
205,18.3,63
206,18.1,62
207,Unable to assay. No specimen received.,62
208,18.2,61
209,38.1,60
210,38.4,58
211,38.5,53
212,18.0,52
213,17.9,50
214,38.8,46
215,17.6,45
216,17.4,42
217,17.3,42
218,38.6,40
219,17.5,38
220,16.9,36
221,17.7,36
222,38.7,35
223,Unable to assay. Specimen incorrectly identified.,35
224,17.1,32
225,38.9,32
226,16.8,31
227,17.8,31
228,39.3,31
229,39.0,30
230,39.2,29
231,39.1,26
232,17.0,26
233,Microtainer specimen,25
234,39.8,24
235,16.4,23
236,16.0,23
237,39.5,22
238,16.5,22
239,16.7,21
240,17.2,21
241,39.6,21
242,16.3,20
243,16.2,19
244,39.4,19
245,39.7,19
246,40.0,17
247,16.6,17
248,16.1,16
249,15.9,15
250,Requisitioning entry error,15
251,39.9,15
252,15.5,14
253,40.7,14
254,40.4,14
255,40.2,14
256,40.1,14
257,15.7,13
258,40.3,13
259,15.8,13
260,15.3,12
261,40.8,12
262,14.5,11
263,Specimen received unlabelled.,11
264,15.2,11
265,Unable to assay. Specimen improperly collected/handled.,11
266,41.0,11
267,Unable to assay. Possible interfering substance(s) present.,10
268,"CANCELLED,Specimen not collected or received",10
269,41.1,9
270,40.5,8
271,Unable to quantitate due to possible contamination.,8
272,15.0,8
273,41.7,8
274,41.8,7
275,40.6,7
276,40.9,6
277,<<DO NOT REPORT>>,6
278,41.4,6
279,42.1,6
280,14.7,6
281,15.4,6
282,15.6,6
283,Identity unclear. Specimen labelled incorrectly.,6
284,Ignore results. Specimen was contaminated,5
285,15.1,5
286,14.4,5
287,14.8,5
288,42.4,5
289,Cancelled by clinician,5
290,"Test accessioning error,please disregard.",4
291,42.6,4
292,41.2,4
293,14.0,4
294,42.9,4
295,13.1,4
296,Disregard results. Specimen incorrectly identified.,4
297,13.2,4
298,44.2,3
299,42.5,3
300,14.6,3
301,42.2,3
302,42.8,3
303,CLOTTED,3
304,13.7,3
305,43.1,3
306,Ignore results.  Specimen clotted.,3
307,13.9,3
308,43.6,3
309,41.9,3
310,41.5,3
311,41.6,3
312,13.6,2
313,14.3,2
314,Test incorrectly ordered.,2
315,45.2,2
316,Unable to assay.  Unable to locate specimen.,2
317,45.5,2
318,Test Not Performed,2
319,Test inadvertently not performed,2
320,Specimen collected in wrong container type.,2
321,41.3,2
322,Ignore results. Specimen clotted.,2
323,42.0,2
324,LCAN LOCATION ROUTING ERROR,2
325,Unable to assay. Specimen too old to perform test.,2
326,43.0,2
327,42.7,2
328,43.4,2
329,Specimen contaminated,2
330,43.7,2
331,13.8,1
332,14.9,1
333,13.3,1
334,14.1,1
335,14.2,1
336,12.2,1
337,11.9,1
338,11.2,1
339,Disregard results.,1
340,Specimen drawn in wrong tube.,1
341,Unable to assay. Broken/spilled in transit.,1
342,49.3,1
343,44.5,1
344,44.9,1
345,45.1,1
346,45.8,1
347,46.7,1
348,47.6,1
349,47.7,1
350,48.6,1
351,67.3,1
352,Unable to assay. Analytical difficulty.,1
353,ACRE,1
354,Blood/Anticoagulant Ratio in tube unsatisfactory.,1
355,CLTD,1
356,CNDUPL,1
357,Called to,1
358,Cancelled,1
359,Clerical Error,1
360,Cold agglutinin not corrected by heating,1
361,44.4,1
362,44.1,1
363,43.9,1
364,43.5,1
365,"Unable to assay,specimen age exceeds the recommended acceptable limit",1
366,Test reordered by CCHS hospital.,1
367,Test Not Indicated,1
368,Disregard previous report of:,1
369,SPECIMEN CLOTTED,1
370,Results called to and read back by:,1
371,Patient discharged,1
372,Medical record number mismatch. Disregard results.,1
373,MISLABELED,1
374,"MISID,NOTIFIED IAN,01/24/2017 1246,TS,ACRE",1
375,Ignore results. Specimen mislabeled,1
376,Ignore results. Specimen hemolyzed,1
377,IMPCOL,1
378,ER NOTIFIED TO REDRAW,1
379,see below,1
380,42.3,1
381,43.3,1
382,10.9,1
383,REQUEST CREDITED,0
384,45.0,0
