,index,mcv_admit_value
0,,951272
1,90.0,5023
2,89.8,4996
3,89.3,4992
4,90.8,4975
5,89.9,4970
6,88.8,4962
7,89.0,4916
8,89.5,4895
9,89.4,4879
10,88.9,4878
11,90.4,4868
12,90.5,4858
13,89.7,4852
14,88.6,4851
15,90.2,4850
16,89.1,4823
17,91.0,4818
18,89.6,4817
19,90.6,4812
20,89.2,4809
21,90.1,4803
22,90.7,4775
23,90.3,4773
24,91.3,4753
25,88.4,4753
26,88.5,4740
27,88.7,4723
28,88.1,4723
29,91.2,4722
30,87.6,4705
31,90.9,4698
32,87.8,4673
33,91.1,4661
34,91.5,4659
35,87.9,4659
36,91.6,4642
37,91.4,4604
38,88.0,4592
39,87.4,4588
40,88.3,4581
41,88.2,4564
42,87.7,4559
43,91.8,4511
44,91.9,4410
45,92.0,4382
46,87.3,4363
47,92.2,4339
48,87.2,4318
49,92.1,4294
50,87.1,4288
51,86.9,4277
52,92.3,4262
53,87.5,4230
54,86.7,4215
55,91.7,4204
56,86.4,4118
57,87.0,4102
58,86.8,4094
59,92.6,4089
60,92.4,4079
61,92.8,4036
62,92.5,4029
63,93.0,3993
64,92.7,3952
65,86.3,3926
66,86.6,3924
67,86.5,3902
68,92.9,3880
69,93.1,3843
70,86.2,3810
71,93.2,3799
72,93.3,3730
73,86.1,3723
74,93.8,3685
75,93.4,3685
76,85.7,3676
77,85.9,3639
78,86.0,3584
79,85.8,3582
80,93.5,3534
81,85.5,3484
82,85.6,3471
83,85.3,3419
84,93.9,3413
85,85.4,3394
86,93.6,3380
87,93.7,3286
88,94.0,3262
89,85.1,3245
90,84.8,3231
91,85.2,3226
92,94.1,3215
93,94.2,3174
94,85.0,3073
95,94.4,3043
96,84.9,3039
97,94.3,3038
98,84.7,3015
99,94.5,2985
100,84.6,2950
101,94.6,2940
102,94.8,2911
103,84.5,2878
104,94.7,2877
105,84.4,2871
106,95.3,2791
107,84.1,2784
108,95.0,2708
109,94.9,2707
110,84.3,2697
111,84.2,2675
112,95.1,2614
113,83.8,2564
114,84.0,2518
115,83.9,2517
116,95.2,2512
117,95.5,2511
118,83.6,2440
119,83.5,2404
120,83.7,2402
121,95.7,2396
122,95.4,2394
123,83.3,2369
124,95.8,2301
125,83.4,2284
126,83.2,2283
127,95.6,2255
128,83.1,2246
129,100.0,2236
130,95.9,2192
131,96.0,2179
132,83.0,2133
133,82.8,2119
134,96.2,2096
135,96.3,2093
136,82.9,2070
137,96.1,2060
138,96.4,2041
139,82.4,1994
140,82.7,1970
141,82.6,1921
142,96.6,1912
143,82.5,1898
144,96.7,1896
145,96.8,1886
146,96.5,1867
147,82.2,1840
148,82.1,1802
149,97.1,1728
150,97.0,1725
151,82.0,1722
152,82.3,1691
153,96.9,1690
154,81.9,1689
155,81.8,1680
156,81.3,1659
157,81.7,1648
158,97.2,1627
159,97.3,1624
160,81.6,1556
161,81.4,1540
162,97.7,1525
163,97.4,1505
164,97.5,1490
165,81.5,1461
166,81.0,1441
167,81.1,1403
168,99.7,1387
169,97.8,1378
170,97.9,1370
171,97.6,1361
172,81.2,1359
173,98.0,1326
174,98.2,1314
175,80.7,1299
176,98.1,1277
177,80.9,1276
178,80.3,1254
179,80.4,1254
180,98.4,1252
181,80.8,1250
182,98.3,1231
183,80.5,1230
184,80.0,1228
185,100.3,1196
186,80.6,1195
187,98.6,1179
188,80.2,1167
189,98.5,1136
190,98.7,1078
191,98.8,1071
192,79.8,1071
193,80.1,1060
194,98.9,1057
195,99.5,1027
196,99.0,1027
197,79.6,1024
198,Unable to assay. Clotted specimen.,1015
199,79.9,1011
200,79.7,1007
201,79.5,994
202,99.2,961
203,99.1,959
204,78.9,957
205,99.3,934
206,79.1,934
207,79.4,927
208,79.3,907
209,79.2,901
210,Account Credited,870
211,99.4,869
212,79.0,829
213,78.8,826
214,100.5,808
215,78.6,803
216,78.4,794
217,78.5,774
218,78.3,754
219,78.1,749
220,78.7,744
221,78.2,723
222,78.0,709
223,77.9,685
224,100.6,683
225,100.8,674
226,77.8,671
227,77.6,642
228,77.7,618
229,101.1,608
