,index,medsfirst24hours
0,4,56836
1,16,55139
2,15,55076
3,14,54741
4,17,54241
5,13,54011
6,5,53352
7,18,53031
8,12,52949
9,19,50783
10,11,50224
11,20,48823
12,10,48519
13,21,46587
14,9,44718
15,22,44522
16,7,43250
17,8,43102
18,6,42978
19,23,41735
20,24,38862
21,25,35778
22,3,35103
23,26,33420
24,27,31398
25,0,30313
26,28,28478
27,29,26202
28,2,25087
29,30,24421
30,1,23406
31,31,22178
32,32,20475
33,33,19018
34,34,17580
35,35,16156
36,36,15317
37,37,14170
38,38,13425
39,39,12220
40,40,11576
41,41,10946
42,42,10563
43,43,9698
44,44,8940
45,45,8596
46,46,7834
47,47,7271
48,48,6744
49,49,6168
50,50,5699
51,51,5187
52,52,4803
53,53,4329
54,54,3853
55,55,3611
56,56,3134
57,57,2862
58,58,2512
59,59,2427
60,60,2142
61,61,1874
62,62,1763
63,63,1649
64,64,1394
65,65,1280
66,66,1219
67,67,1041
68,68,982
69,69,911
70,70,868
71,71,850
72,72,707
73,73,676
74,74,660
75,75,642
76,76,550
77,77,536
78,78,517
79,81,441
80,79,437
81,80,428
82,82,409
83,83,324
84,84,301
85,85,276
86,88,260
87,86,245
88,87,233
89,89,191
90,90,185
91,91,171
92,93,135
93,92,135
94,95,117
95,94,103
96,96,102
97,97,84
98,98,68
99,100,61
100,102,58
101,99,54
102,101,50
103,104,44
104,103,39
105,106,35
106,109,30
107,107,28
108,105,25
109,112,25
110,108,24
111,115,20
112,110,16
113,111,16
114,117,14
115,114,14
116,113,13
117,116,13
118,119,13
119,120,13
120,121,13
121,133,8
122,118,6
123,122,6
124,123,6
125,124,5
126,126,5
127,135,4
128,130,4
129,128,4
130,127,3
131,137,3
132,139,3
133,131,2
134,132,2
135,150,2
136,159,1
137,164,1
138,153,1
139,145,1
140,152,1
141,147,1
142,146,1
143,172,1
144,144,1
145,143,1
146,142,1
147,141,1
148,140,1
149,134,1
150,129,1
151,125,1
152,177,1
