,index,medsonadmitdate
0,4,57853
1,5,55274
2,13,51224
3,3,51198
4,14,51135
5,15,50673
6,12,50467
7,16,49727
8,0,49592
9,11,49323
10,17,48342
11,10,47775
12,18,46633
13,9,45747
14,19,44493
15,8,43739
16,20,42578
17,6,41169
18,7,40904
19,21,40248
20,22,38896
21,23,36408
22,24,33978
23,25,31789
24,26,29727
25,2,29118
26,27,27734
27,28,25784
28,29,23904
29,1,23820
30,30,22099
31,31,20611
32,32,19082
33,33,18184
34,34,16891
35,35,16221
36,36,15237
37,37,14635
38,38,13825
39,39,13304
40,40,12504
41,41,11990
42,42,11350
43,43,11018
44,44,10699
45,45,10006
46,46,9492
47,47,8912
48,48,8323
49,49,8051
50,50,7551
51,51,6952
52,52,6601
53,53,6103
54,54,5482
55,55,5206
56,56,4741
57,57,4486
58,58,4041
59,59,3703
60,60,3527
61,61,3231
62,62,3043
63,63,2763
64,64,2547
65,65,2345
66,66,2105
67,67,2008
68,68,1794
69,69,1658
70,70,1623
71,71,1467
72,72,1371
73,73,1228
74,74,1202
75,75,1069
76,76,992
77,77,942
78,78,833
79,79,787
80,80,732
81,81,669
82,82,601
83,83,560
84,84,507
85,85,415
86,86,360
87,87,346
88,88,314
89,89,301
90,90,249
91,91,209
92,92,184
93,93,165
94,94,143
95,95,127
96,96,111
97,97,108
98,99,82
99,98,80
100,100,71
101,101,58
102,102,55
103,105,47
104,103,44
105,104,41
106,106,35
107,109,31
108,107,31
109,108,25
110,110,15
111,112,15
112,113,14
113,114,13
114,111,13
115,116,12
116,118,11
117,122,11
118,123,11
119,117,10
120,115,9
121,119,6
122,128,5
123,126,5
124,125,4
125,130,4
126,120,4
127,133,4
128,124,3
129,144,3
130,121,3
131,141,3
132,142,2
133,136,2
134,147,2
135,135,1
136,137,1
137,138,1
138,139,1
139,132,1
140,129,1
141,127,1
142,145,1
143,149,1
