,index,medsondischargedate
0,15,80094
1,16,80040
2,14,78457
3,17,77391
4,13,77132
5,12,74101
6,18,73195
7,11,69789
8,19,67994
9,10,64955
10,20,62622
11,9,57990
12,21,57374
13,22,52431
14,8,51248
15,23,47375
16,7,43807
17,2,42437
18,24,42246
19,25,37173
20,6,36881
21,1,35061
22,26,32628
23,3,31643
24,5,31376
25,4,28325
26,27,28097
27,28,24263
28,29,20971
29,0,20824
30,30,17489
31,31,14828
32,32,12510
33,33,10305
34,34,8494
35,35,7082
36,36,5716
37,37,4783
38,38,3807
39,39,3179
40,40,2558
41,41,2041
42,42,1618
43,43,1290
44,44,1090
45,45,840
46,46,692
47,47,560
48,48,478
49,49,367
50,50,313
51,51,271
52,52,236
53,53,199
54,54,163
55,55,125
56,57,114
57,56,106
58,58,75
59,60,68
60,59,66
61,61,61
62,63,57
63,65,50
64,62,42
65,64,33
66,70,32
67,67,30
68,66,28
69,68,25
70,69,21
71,72,19
72,73,18
73,75,15
74,77,14
75,71,14
76,81,13
77,80,12
78,74,11
79,76,11
80,88,9
81,82,8
82,78,7
83,83,7
84,79,6
85,84,6
86,86,5
87,90,5
88,92,4
89,102,3
90,85,3
91,87,3
92,115,3
93,91,3
94,105,2
95,130,2
96,94,2
97,93,2
98,95,1
99,97,1
100,98,1
101,100,1
102,108,1
103,109,1
104,110,1
105,111,1
106,113,1
107,89,1
108,117,1
109,120,1
