,index,mono_admit_value
0,,1101944
1,7.0,9079
2,8.0,8737
3,6.0,7942
4,7.7,7573
5,7.4,7548
6,7.8,7536
7,8.1,7518
8,6.9,7513
9,7.9,7507
10,7.2,7499
11,6.8,7477
12,7.3,7429
13,7.6,7404
14,7.5,7385
15,6.7,7378
16,9.0,7376
17,7.1,7333
18,6.3,7203
19,6.5,7128
20,6.6,7089
21,8.2,7065
22,6.4,7034
23,8.3,6978
24,8.5,6925
25,8.6,6842
26,8.4,6807
27,6.1,6637
28,8.7,6626
29,8.8,6566
30,6.2,6334
31,8.9,6313
32,5.9,6077
33,5.8,5963
34,9.1,5936
35,9.2,5876
36,9.3,5823
37,5.7,5790
38,10.0,5788
39,5.0,5737
40,5.6,5617
41,9.4,5613
42,9.5,5509
43,9.6,5299
44,5.5,5273
45,5.4,5120
46,9.7,5099
47,9.8,4981
48,9.9,4903
49,5.3,4874
50,5.2,4800
51,10.1,4644
52,5.1,4542
53,10.2,4371
54,10.4,4336
55,10.3,4327
56,11.0,4159
57,10.5,4035
58,4.9,3904
59,10.6,3880
60,4.8,3679
61,10.7,3656
62,10.8,3629
63,4.0,3561
64,10.9,3505
65,4.7,3472
66,4.6,3309
67,11.1,3248
68,4.5,3082
69,11.2,3032
70,4.4,3010
71,11.3,3008
72,11.4,2897
73,12.0,2893
74,4.3,2853
75,11.5,2763
76,11.6,2702
77,4.2,2648
78,11.7,2612
79,11.8,2468
80,4.1,2370
81,11.9,2349
82,3.0,2145
83,12.1,2108
84,3.9,2072
85,12.2,2036
86,12.3,2014
87,3.8,1891
88,13.0,1883
89,12.4,1857
90,3.7,1796
91,12.5,1780
92,12.6,1731
93,3.5,1707
94,12.7,1701
95,3.6,1646
96,12.8,1638
97,12.9,1516
98,3.4,1440
99,2.0,1408
100,13.2,1380
101,13.1,1360
102,14.0,1300
103,13.3,1294
104,3.3,1293
105,13.4,1257
106,3.2,1229
107,13.5,1142
108,13.6,1137
109,3.1,1135
110,13.7,1045
111,2.9,1031
112,13.8,1026
113,2.8,1012
114,2.6,1002
115,1.0,959
116,13.9,944
117,Unable to assay. Clotted specimen.,887
118,15.0,882
119,14.1,866
120,2.7,863
121,2.5,837
122,14.4,805
123,14.3,800
124,14.2,793
125,Account Credited,766
126,2.3,728
127,2.4,725
128,14.5,702
129,14.7,685
130,14.6,682
131,2.2,679
132,2.1,676
133,14.8,652
134,1.7,632
135,1.9,604
136,16.0,597
137,14.9,577
138,1.8,570
139,15.1,566
140,15.3,512
141,15.2,507
142,15.4,500
143,1.6,500
144,4,492
145,0.9,475
146,1.5,474
147,1.4,466
148,6,463
149,5,462
150,15.5,456
151,15.7,446
152,0.0,446
153,15.6,441
154,1.1,437
155,1.2,431
156,17.0,426
157,1.3,420
158,15.8,410
159,15.9,408
160,7,407
161,3,404
162,8,391
163,0.8,348
164,16.2,346
165,16.1,341
166,16.4,333
167,Unable to report,329
168,16.3,309
169,2,300
170,16.5,289
171,16.6,284
172,9,283
173,0.7,282
174,17.1,274
175,16.9,273
176,16.8,271
177,10,270
178,16.7,266
179,18.0,264
180,0.6,264
181,0.5,262
182,19.0,246
183,1,226
184,0.4,216
185,17.3,215
186,17.2,209
187,17.4,204
188,17.5,203
189,17.8,192
190,11,190
191,0.3,184
192,17.9,175
193,17.6,175
194,18.1,174
195,12,157
196,0.2,155
197,17.7,152
198,18.2,150
199,18.6,144
200,18.3,143
201,20.0,138
202,18.5,137
203,18.4,133
204,Too Few Cells To Do Differential,129
205,18.9,121
206,19.3,116
207,13,115
208,18.8,111
209,14,105
210,21.0,102
211,19.4,97
212,18.7,97
213,0.1,92
214,19.9,88
215,19.8,87
216,19.1,85
217,19.6,84
218,19.5,76
219,19.2,76
220,22.0,75
221,23.0,73
222,19.7,69
223,16,69
224,Unable to assay. Quantity not sufficient.,67
225,24.0,66
226,20.3,63
227,15,62
228,20.4,61
229,20.2,59
230,20.1,57
231,20.8,57
232,20.5,54
233,Duplicate request,52
234,20.9,51
235,20.7,51
236,17,49
237,26.0,46
238,20.6,46
239,21.1,40
240,22.3,39
241,Unable to assay. No specimen received.,39
242,21.5,38
243,21.2,37
244,25.0,37
245,21.8,36
246,18,36
247,21.3,36
248,21.4,36
249,22.1,35
250,27.0,33
251,22.2,32
252,22.4,32
253,22.9,30
254,21.9,28
255,30.0,28
256,Unable to assay. Specimen incorrectly identified.,28
257,21.7,27
258,22.8,27
259,29.0,27
260,22.5,26
261,22.6,25
262,28.0,25
263,Microtainer specimen,25
264,24.2,24
265,31.0,23
266,21.6,23
267,23.8,23
268,20,23
269,23.4,23
270,22.7,22
271,23.1,22
272,23.2,22
273,19,21
274,23.6,21
275,23.5,20
276,24.5,20
277,24.4,20
278,34.0,19
279,21,19
280,32.0,18
281,23.3,17
282,23.9,17
283,24.6,16
284,24.1,16
285,23.7,16
286,22,15
287,33.0,15
288,25.2,14
289,26.4,14
290,25.4,14
291,REVISED,14
292,24.9,13
293,38.0,13
294,25.1,12
295,24.8,12
296,26.2,12
297,24.3,12
298,32.5,12
299,Requisitioning entry error,11
300,26.3,11
301,Manual review follows,11
302,26.1,11
303,24.7,11
304,35.0,11
305,25.9,10
306,27.4,10
307,25.6,9
308,26.7,9
309,27,9
310,28.2,9
311,25,9
312,Unable to quantitate due to possible contamination.,8
313,23,8
314,Unable to assay. Specimen improperly collected/handled.,8
