,index,nucleated_reds_discharge_value
0,,1576954
1,0.0,46548
2,0,1796
3,0.1,757
4,0.2,698
5,0.3,524
6,0.4,318
7,0.5,229
8,0.6,216
9,0.7,158
10,0.8,152
11,0.9,136
12,1.0,100
13,1,84
14,1.3,76
15,1.1,68
16,1.2,66
17,1.5,49
18,1.4,41
19,Unable to report,41
20,1.7,38
21,1.8,38
22,1.9,36
23,3,31
24,1.6,30
25,2.4,28
26,2.0,26
27,2.3,25
28,2,24
29,2.2,23
30,3.2,21
31,3.0,21
32,2.7,21
33,2.1,21
34,2.9,20
35,2.6,20
36,3.5,20
37,2.8,19
38,2.5,18
39,<<DO NOT REPORT>>,17
40,3.4,16
41,4,15
42,3.1,13
43,4.5,13
44,4.7,12
45,4.4,11
46,4.2,11
47,5.8,11
48,4.1,11
49,4.0,11
50,3.6,10
51,3.7,10
52,3.3,9
53,6.0,9
54,3.8,9
55,5.1,9
56,5.4,8
57,5,8
58,4.8,8
59,6.9,8
60,6.3,8
61,5.6,7
62,4.9,7
63,6,6
64,3.9,6
65,10.0,6
66,6.2,6
67,4.6,6
68,5.5,5
69,7.1,5
70,6.7,5
71,6.8,5
72,5.7,5
73,5.3,5
74,5.9,4
75,4.3,4
76,8.4,4
77,5.0,4
78,9.6,4
79,7,4
80,10.2,3
81,11.1,3
82,8.6,3
83,7.7,3
84,7.6,3
85,8.9,3
86,8.1,3
87,9.9,3
88,15.0,2
89,9.2,2
90,9.1,2
91,9.5,2
92,9.0,2
93,9.8,2
94,11.5,2
95,18.2,2
96,13.7,2
97,11.9,2
98,15.7,2
99,13.8,2
100,17.4,2
101,11.4,2
102,15.3,2
103,7.9,2
104,6.6,2
105,10.6,2
106,10.7,2
107,6.5,2
108,7.0,2
109,7.2,2
110,7.5,2
111,7.8,2
112,10.1,2
113,5.2,2
114,15.2,1
115,123.5,1
116,14.2,1
117,14.6,1
118,14.9,1
119,15,1
120,10,1
121,13.4,1
122,13.2,1
123,13.0,1
124,11.0,1
125,12.8,1
126,12.7,1
127,10.3,1
128,112.1,1
129,Unable to assay. Clotted specimen.,1
130,10.8,1
131,12.4,1
132,12.3,1
133,12.2,1
134,12.1,1
135,12.0,1
136,12,1
137,112.4,1
138,112.2,1
139,10.5,1
140,26.1,1
141,15.4,1
142,33.0,1
143,34.5,1
144,35.3,1
145,36.6,1
146,44.4,1
147,45.7,1
148,47.6,1
149,52.0,1
150,558.0,1
151,6.1,1
152,6.4,1
153,7.3,1
154,7.4,1
155,8,1
156,8.0,1
157,8.2,1
158,8.3,1
159,8.5,1
160,8.7,1
161,8.8,1
162,85.6,1
163,88.2,1
164,9,1
165,9.3,1
166,9.4,1
167,9.7,1
168,16.0,1
169,33.8,1
170,28.2,1
171,28.0,1
172,16.1,1
173,16.3,1
174,17.1,1
175,17.2,1
176,17.8,1
177,17.9,1
178,18.1,1
179,18.7,1
180,19,1
181,19.7,1
182,20.0,1
183,20.1,1
184,21.0,1
185,21.9,1
186,22.3,1
187,25.5,1
188,25.6,1
189,92.8,1
190,26.8,1
191,27.6,1
192,27.5,1
193,68.2,0
194,63.5,0
195,61.4,0
196,24.3,0
197,18.4,0
198,13.1,0
199,25.9,0
200,11.2,0
