,index,number_past_admissions
0,0,765761
1,1,293821
2,2,157944
3,3,98778
4,4,67249
5,5,48505
6,6,36105
7,7,27631
8,8,21550
9,9,16964
10,10,13668
11,11,11111
12,12,9196
13,13,7692
14,14,6448
15,15,5489
16,16,4650
17,17,3965
18,18,3485
19,19,3029
20,20,2643
21,21,2291
22,22,2043
23,23,1798
24,24,1613
25,25,1426
26,26,1261
27,27,1122
28,28,1008
29,29,929
30,30,824
31,31,760
32,32,681
33,33,608
34,34,555
35,35,507
36,36,475
37,37,432
38,38,396
39,39,371
40,40,355
41,41,328
42,42,298
43,43,274
44,44,250
45,45,233
46,46,210
47,47,199
48,48,180
49,49,162
50,50,154
51,51,143
52,52,134
53,53,124
54,54,117
55,55,114
56,56,110
57,57,103
58,58,96
59,59,84
60,60,77
61,61,69
62,62,66
63,63,62
64,64,56
65,66,52
66,65,52
67,67,49
68,68,48
69,69,42
70,70,38
71,71,36
72,72,36
73,73,33
74,74,31
75,75,29
76,76,28
77,77,28
78,78,28
79,80,26
80,79,26
81,81,25
82,82,24
83,83,23
84,84,22
85,85,22
86,86,20
87,87,19
88,88,19
89,89,18
90,91,18
91,90,18
92,92,17
93,94,16
94,93,15
95,95,15
96,96,13
97,97,13
98,98,13
99,99,12
100,100,10
101,101,10
102,102,10
103,103,9
104,104,7
105,105,7
106,110,6
107,109,6
108,112,6
109,111,6
110,106,6
111,108,6
112,107,6
113,129,4
114,130,4
115,131,4
116,136,4
117,133,4
118,134,4
119,135,4
120,140,4
121,137,4
122,138,4
123,139,4
124,141,4
125,142,4
126,127,4
127,128,4
128,132,4
129,126,4
130,119,4
131,113,4
132,114,4
133,115,4
134,117,4
135,118,4
136,116,4
137,120,4
138,121,4
139,122,4
140,123,4
141,124,4
142,125,4
143,143,3
144,144,3
145,145,3
146,150,2
147,154,2
148,153,2
149,152,2
150,151,2
151,149,2
152,148,2
153,146,2
154,147,2
155,178,1
156,172,1
157,173,1
158,174,1
159,175,1
160,176,1
161,177,1
162,180,1
163,179,1
164,181,1
165,182,1
166,183,1
167,184,1
168,185,1
169,170,1
170,171,1
171,186,1
172,169,1
173,168,1
174,167,1
175,166,1
176,165,1
177,164,1
178,163,1
179,162,1
180,161,1
181,160,1
182,159,1
183,158,1
184,157,1
185,156,1
186,155,1
187,187,1
