,index,ohiodeathindexdate
0,,1361064
1,2017-12-24,294
2,2016-05-09,292
3,2017-05-24,290
4,2017-10-29,283
5,2016-11-17,276
6,2017-02-17,257
7,2017-09-15,256
8,2016-05-11,255
9,2015-11-28,251
10,2016-12-26,251
11,2017-11-02,250
12,2017-03-19,249
13,2017-07-12,248
14,2017-10-27,245
15,2016-06-01,244
16,2016-03-23,242
17,2016-05-26,240
18,2017-09-05,237
19,2017-12-30,236
20,2016-09-02,234
21,2016-01-27,234
22,2017-12-14,233
23,2017-11-28,231
24,2015-01-20,231
25,2017-01-23,231
26,2017-02-22,230
27,2017-05-29,230
28,2017-02-21,228
29,2017-12-29,227
30,2017-03-21,226
31,2017-01-26,225
32,2016-03-13,224
33,2017-12-22,223
34,2017-03-13,222
35,2017-03-14,221
36,2017-04-03,221
37,2017-12-19,221
38,2017-03-02,220
39,2017-06-19,219
40,2017-11-27,219
41,2016-10-17,219
42,2015-11-01,217
43,2016-01-18,217
44,2017-02-04,217
45,2017-08-01,217
46,2017-01-16,216
47,2016-12-28,216
48,2017-04-08,215
49,2017-12-23,215
50,2017-08-15,215
51,2017-11-16,215
52,2017-09-17,214
53,2017-08-09,214
54,2017-01-20,214
55,2017-08-05,214
56,2017-10-13,213
57,2017-01-02,212
58,2016-10-16,211
59,2016-01-09,211
60,2017-11-25,211
61,2017-02-06,210
62,2017-12-28,210
63,2014-12-08,209
64,2015-05-22,209
65,2017-02-14,209
66,2017-06-21,208
67,2016-11-30,208
68,2017-04-10,208
69,2015-11-21,208
70,2017-03-31,207
71,2017-06-03,207
72,2017-03-22,207
73,2017-07-15,206
74,2017-11-06,206
75,2016-03-16,206
76,2017-03-05,205
77,2017-11-19,204
78,2017-12-31,203
79,2016-07-31,203
80,2016-07-21,203
81,2016-09-19,202
82,2017-06-02,202
83,2017-03-06,202
84,2016-01-10,202
85,2017-02-24,202
86,2017-08-27,201
87,2017-01-30,201
88,2017-02-20,200
89,2014-11-28,200
90,2017-12-26,199
91,2017-04-25,199
92,2015-09-29,199
93,2017-04-15,198
94,2016-09-13,198
95,2017-10-15,197
96,2016-01-31,197
97,2017-12-07,196
98,2015-07-22,196
99,2016-08-31,196
100,2017-05-11,196
101,2017-02-18,196
102,2017-12-08,196
103,2016-08-04,196
104,2017-06-08,195
105,2015-04-17,195
106,2017-07-06,195
107,2017-12-05,194
108,2017-10-14,194
109,2016-04-05,193
110,2014-06-15,193
111,2016-04-21,192
112,2015-12-09,192
113,2017-09-03,192
114,2016-02-29,191
115,2017-01-03,191
116,2015-02-01,191
117,2016-03-22,191
118,2017-11-12,191
119,2016-01-08,190
120,2017-07-23,190
121,2016-04-07,190
122,2017-04-21,190
123,2017-01-05,189
124,2016-10-24,189
125,2017-12-06,189
126,2016-11-21,188
127,2016-04-12,188
128,2016-11-28,188
129,2016-12-29,188
130,2015-05-07,188
131,2016-01-23,188
132,2017-01-25,188
133,2017-04-18,188
134,2017-09-21,188
135,2017-11-20,187
136,2015-12-03,187
137,2015-10-07,187
138,2017-08-03,187
139,2017-06-15,187
140,2016-01-07,187
141,2017-05-03,187
142,2015-07-29,186
143,2017-11-01,186
144,2017-08-31,185
145,2017-12-12,185
146,2017-11-21,185
147,2016-02-20,185
148,2017-09-01,185
149,2017-11-11,185
150,2017-01-04,184
151,2015-03-15,184
152,2016-11-18,184
153,2016-12-24,184
154,2017-07-17,184
155,2017-12-02,184
156,2016-09-30,183
157,2015-04-06,183
158,2017-04-16,183
159,2017-06-12,183
160,2017-06-26,183
161,2017-02-13,182
162,2017-06-24,182
163,2016-09-03,182
164,2016-02-04,182
165,2017-11-03,182
166,2017-10-22,181
167,2016-07-18,181
168,2016-08-26,181
169,2017-10-01,181
170,2017-05-09,181
171,2016-11-20,181
172,2017-08-24,181
173,2015-10-21,180
174,2017-12-03,180
175,2017-03-12,180
176,2016-06-02,180
177,2016-02-14,180
178,2015-01-08,179
179,2016-09-24,179
180,2017-11-14,179
181,2016-05-18,178
182,2016-11-02,178
183,2015-12-28,178
184,2017-11-05,178
185,2015-09-14,178
186,2017-12-21,178
187,2016-01-25,178
188,2016-12-31,177
189,2017-12-09,177
190,2017-03-20,177
191,2017-02-27,177
192,2015-11-11,177
193,2015-07-01,176
194,2017-08-12,176
195,2014-01-15,176
196,2016-01-19,176
197,2017-10-16,176
198,2015-12-05,176
199,2016-10-05,176
200,2015-06-07,175
201,2015-11-06,175
202,2017-08-30,175
203,2017-01-15,175
204,2016-06-11,175
205,2016-04-13,175
206,2016-08-27,175
207,2016-10-29,175
208,2014-12-26,175
209,2017-03-09,175
210,2016-12-11,174
211,2013-02-08,174
212,2017-02-02,174
213,2017-01-08,174
214,2017-11-17,174
215,2017-10-24,174
216,2017-04-07,174
217,2016-10-18,174
218,2016-11-27,174
219,2017-06-27,174
220,2017-09-08,173
221,2016-11-14,173
222,2017-09-06,173
223,2017-12-27,173
224,2016-03-20,173
225,2017-09-23,173
226,2015-10-12,173
227,2017-07-26,173
228,2016-10-07,173
229,2017-08-16,173
230,2014-01-27,172
231,2017-02-07,172
232,2016-12-21,172
233,2017-09-26,172
234,2017-05-15,172
235,2015-10-13,172
236,2015-02-03,172
237,2017-11-08,171
238,2017-02-10,171
239,2016-07-08,171
240,2017-04-04,171
241,2015-11-22,170
242,2016-09-25,170
243,2016-06-12,170
244,2016-12-17,170
245,2016-07-03,170
246,2017-10-17,170
247,2015-05-29,169
248,2016-12-07,169
249,2016-11-19,169
250,2017-01-27,169
251,2016-02-26,169
252,2014-12-27,169
253,2017-09-18,169
254,2017-05-04,169
255,2017-07-28,168
256,2016-01-13,168
257,2016-10-27,168
258,2016-01-29,168
259,2017-01-14,168
260,2016-12-16,168
261,2015-01-17,168
262,2014-07-22,168
263,2014-05-13,168
264,2016-05-24,168
265,2017-08-19,167
266,2016-04-20,167
267,2013-07-13,167
268,2015-09-07,167
269,2016-04-25,167
270,2015-09-26,167
271,2016-10-03,166
272,2015-01-16,166
273,2016-02-28,166
274,2016-09-01,166
275,2017-06-18,166
276,2016-04-01,165
277,2017-04-05,165
278,2017-11-29,165
279,2015-07-07,165
280,2015-06-29,165
281,2016-05-28,165
282,2017-10-10,164
283,2017-09-30,164
284,2016-04-04,164
285,2017-09-22,164
286,2016-05-06,164
287,2015-12-12,164
288,2017-12-25,164
289,2014-06-12,164
290,2017-10-08,164
291,2016-11-25,164
292,2016-12-18,164
293,2016-12-19,164
294,2013-12-23,164
295,2017-10-30,163
296,2015-12-18,163
297,2016-04-24,163
298,2016-08-01,163
299,2016-10-02,163
300,2016-07-27,163
301,2015-04-21,163
302,2017-06-22,163
303,2015-11-18,163
304,2016-03-08,163
305,2015-11-24,162
306,2015-11-26,162
307,2017-10-04,162
308,2016-12-12,162
309,2015-01-01,162
310,2016-10-19,162
311,2015-09-30,162
312,2016-11-12,162
313,2016-01-15,162
314,2017-10-31,162
315,2014-03-06,161
316,2017-12-18,161
317,2015-11-12,161
318,2016-03-11,161
319,2017-04-01,161
320,2013-09-02,161
321,2017-06-13,161
322,2017-05-14,160
323,2016-12-30,160
324,2015-08-16,160
325,2017-12-17,160
326,2017-12-11,160
327,2014-12-05,160
328,2017-08-25,160
329,2017-05-12,160
330,2015-06-04,160
331,2017-03-28,160
332,2016-10-12,160
333,2013-06-29,159
334,2013-09-08,159
335,2015-11-08,159
336,2013-10-01,159
337,2017-01-17,159
338,2014-01-25,159
339,2014-09-01,159
340,2015-08-27,159
341,2016-02-23,159
342,2016-07-20,159
343,2016-06-18,159
344,2015-10-22,159
345,2016-08-10,159
346,2016-08-24,159
347,2014-06-16,159
348,2015-11-23,159
349,2017-06-25,159
350,2015-02-24,158
351,2017-01-09,158
352,2017-10-18,158
353,2016-02-11,158
354,2017-04-24,158
355,2017-07-11,157
356,2014-10-15,157
357,2016-11-24,157
358,2014-09-04,157
359,2017-09-11,157
360,2017-07-30,157
361,2017-11-30,157
362,2014-02-24,157
363,2015-11-25,157
364,2014-08-16,157
365,2016-12-02,157
366,2014-10-13,157
367,2017-02-08,156
368,2017-06-20,156
369,2016-12-03,156
370,2015-12-14,156
371,2016-08-20,156
372,2015-04-10,156
373,2014-11-19,155
374,2017-05-06,155
375,2016-11-05,155
376,2016-03-29,155
377,2015-07-13,155
378,2015-07-03,155
379,2017-11-07,155
380,2016-11-01,155
381,2014-05-22,155
382,2017-09-12,155
383,2015-01-22,154
384,2017-09-19,154
385,2017-10-11,154
386,2016-12-13,154
387,2013-06-27,154
388,2014-01-12,154
389,2017-04-27,154
390,2017-07-01,154
391,2016-09-10,154
392,2016-03-30,154
393,2017-05-01,153
394,2016-07-24,153
395,2017-05-19,153
396,2016-03-28,153
397,2014-06-24,153
398,2017-05-05,153
399,2017-04-06,153
400,2014-12-22,153
401,2017-12-01,153
402,2016-04-15,153
403,2016-05-01,153
404,2017-12-04,153
405,2017-02-26,152
406,2017-11-15,152
407,2015-02-13,152
408,2013-12-03,152
409,2016-04-11,152
410,2015-10-28,152
411,2015-01-18,152
412,2016-06-21,152
413,2017-03-23,152
414,2015-06-25,152
415,2016-01-28,152
416,2016-03-14,152
417,2013-11-20,151
418,2015-06-10,151
419,2014-02-23,151
420,2014-12-04,151
421,2015-04-09,151
422,2017-01-19,151
423,2017-04-19,151
424,2017-06-09,151
425,2017-03-15,151
426,2014-11-20,151
427,2017-07-29,151
428,2017-09-24,150
429,2016-05-23,150
430,2015-01-29,150
431,2017-02-05,150
432,2013-03-16,150
433,2017-11-10,150
434,2013-09-07,150
435,2016-12-22,150
436,2015-06-22,150
437,2012-11-17,150
438,2015-01-14,150
439,2017-02-25,150
440,2014-10-12,149
441,2016-12-09,149
442,2017-12-13,149
443,2016-06-24,149
444,2015-05-25,149
445,2015-01-13,149
446,2017-01-10,149
447,2016-02-06,148
448,2017-07-16,148
449,2013-01-12,148
450,2017-01-06,148
451,2015-03-04,148
452,2014-06-21,148
453,2016-08-09,148
454,2017-07-10,148
455,2015-08-09,148
456,2016-07-19,148
457,2013-10-25,148
458,2016-07-17,148
459,2015-08-29,147
460,2016-09-20,147
461,2015-06-27,147
462,2014-12-12,147
463,2016-12-08,147
464,2016-02-08,147
465,2017-04-13,147
466,2016-04-10,147
467,2017-11-09,147
468,2017-02-03,147
469,2013-07-31,147
470,2016-10-22,147
471,2015-05-10,147
472,2017-10-21,147
473,2017-10-20,147
474,2014-10-25,147
475,2017-08-29,147
476,2017-06-16,146
477,2016-08-19,146
478,2017-02-19,146
479,2017-02-11,146
480,2013-05-09,146
481,2015-01-12,146
482,2015-04-16,146
483,2014-11-09,146
484,2016-04-26,146
485,2017-10-03,146
486,2015-11-19,146
487,2016-04-18,146
488,2016-10-06,146
489,2017-07-27,146
490,2017-11-26,145
491,2016-10-11,145
492,2014-04-22,145
