,index,patient_age
0,0.0,91536
1,66.0,31224
2,65.0,30504
3,67.0,30176
4,64.0,29928
5,63.0,29765
6,69.0,29750
7,62.0,29673
8,68.0,29517
9,60.0,29501
10,61.0,29329
11,70.0,29160
12,59.0,28974
13,71.0,28353
14,58.0,28148
15,57.0,27911
16,56.0,27168
17,72.0,26723
18,55.0,26337
19,73.0,26108
20,74.0,26012
21,75.0,25764
22,54.0,25042
23,76.0,24820
24,77.0,24637
25,78.0,24078
26,53.0,24000
27,79.0,23058
28,80.0,22534
29,52.0,22533
30,81.0,22215
31,82.0,21446
32,51.0,21377
33,83.0,20663
34,50.0,20242
35,84.0,20181
36,85.0,19487
37,49.0,19256
38,86.0,18183
39,48.0,18015
40,87.0,17250
41,47.0,17151
42,88.0,16238
43,46.0,15834
44,32.0,15462
45,33.0,15404
46,31.0,15400
47,45.0,15123
48,34.0,14785
49,89.0,14721
50,30.0,14699
51,44.0,14461
52,35.0,14296
53,43.0,13903
54,29.0,13817
55,36.0,13792
56,42.0,13490
57,37.0,13470
58,28.0,13282
59,90.0,13255
60,38.0,12903
61,40.0,12886
62,41.0,12871
63,39.0,12783
64,27.0,12231
65,26.0,11707
66,25.0,11364
67,91.0,11271
68,24.0,10806
69,23.0,10111
70,92.0,9711
71,22.0,9390
72,21.0,8791
73,20.0,8120
74,93.0,7961
75,1.0,7685
76,19.0,7144
77,94.0,6212
78,18.0,5758
79,17.0,5177
80,95.0,4737
81,16.0,4511
82,2.0,4508
83,15.0,3800
84,96.0,3559
85,3.0,3216
86,14.0,3176
87,4.0,2630
88,97.0,2564
89,13.0,2544
90,5.0,2278
91,6.0,2209
92,12.0,2095
93,7.0,1966
94,11.0,1953
95,9.0,1853
96,10.0,1772
97,98.0,1754
98,8.0,1730
99,99.0,1174
100,100.0,765
101,101.0,486
102,102.0,291
103,103.0,173
104,104.0,90
105,105.0,63
106,106.0,22
107,107.0,6
108,119.0,3
109,108.0,2
110,113.0,2
111,126.0,2
112,116.0,1
113,118.0,1
114,112.0,1
115,109.0,1
