,index,platelet_count_discharge_value
0,,938692
1,206,3989
2,209,3976
3,211,3975
4,208,3957
5,201,3942
6,220,3941
7,217,3940
8,207,3929
9,214,3929
10,210,3922
11,204,3918
12,203,3906
13,213,3905
14,212,3897
15,221,3895
16,219,3894
17,226,3892
18,224,3887
19,199,3862
20,225,3858
21,205,3842
22,197,3830
23,215,3829
24,196,3829
25,227,3828
26,222,3824
27,218,3821
28,223,3816
29,231,3807
30,216,3801
31,198,3786
32,194,3768
33,192,3768
34,200,3761
35,233,3747
36,230,3744
37,202,3734
38,195,3733
39,229,3713
40,187,3707
41,193,3706
42,191,3694
43,186,3675
44,188,3673
45,235,3651
46,184,3648
47,185,3648
48,228,3645
49,232,3643
50,234,3639
51,189,3625
52,239,3592
53,241,3576
54,237,3574
55,190,3566
56,238,3546
57,179,3528
58,236,3526
59,182,3524
60,242,3510
61,240,3499
62,183,3484
63,178,3480
64,181,3475
65,244,3463
66,245,3457
67,243,3446
68,246,3446
69,180,3434
70,251,3344
71,247,3340
72,252,3315
73,249,3304
74,176,3299
75,177,3290
76,248,3283
77,173,3266
78,175,3236
79,174,3235
80,254,3215
81,256,3199
82,172,3197
83,250,3176
84,253,3131
85,258,3129
86,255,3120
87,171,3101
88,170,3077
89,260,3048
90,257,3042
91,167,3032
92,168,3017
93,169,2990
94,166,2977
95,261,2974
96,259,2965
97,262,2939
98,165,2926
99,263,2911
100,162,2871
101,266,2867
102,163,2864
103,164,2852
104,267,2828
105,264,2821
106,268,2818
107,265,2814
108,161,2746
109,271,2715
110,270,2701
111,159,2690
112,273,2687
113,269,2677
114,274,2669
115,160,2607
116,278,2587
117,157,2568
118,156,2566
119,272,2564
120,276,2564
121,158,2563
122,275,2529
123,277,2507
124,279,2486
125,153,2465
126,152,2437
127,280,2433
128,281,2421
129,155,2396
130,151,2379
131,154,2357
132,284,2333
133,285,2306
134,282,2303
135,150,2270
136,283,2269
137,287,2268
138,286,2243
139,288,2189
140,149,2172
141,148,2155
142,291,2151
143,289,2151
144,147,2139
145,290,2137
146,292,2135
147,146,2075
148,145,2068
149,293,2035
150,296,2018
151,294,2012
152,144,1977
153,143,1969
154,295,1966
155,298,1964
156,297,1952
157,301,1918
158,141,1915
159,300,1906
160,142,1894
161,140,1871
162,299,1868
163,304,1835
164,306,1806
165,303,1796
166,302,1789
167,139,1768
168,305,1731
169,137,1720
170,307,1702
171,308,1684
172,138,1671
173,309,1638
174,136,1618
175,134,1608
176,310,1599
177,311,1593
178,312,1592
179,135,1563
180,314,1541
181,315,1529
182,313,1526
183,133,1510
184,132,1495
185,317,1439
186,131,1437
187,318,1430
188,316,1430
189,320,1418
190,321,1398
191,127,1362
192,130,1350
193,129,1349
194,128,1348
195,326,1347
196,319,1343
197,323,1334
198,325,1318
199,322,1312
200,327,1286
201,324,1271
202,124,1254
203,125,1244
204,328,1243
205,330,1228
206,331,1219
207,123,1215
208,126,1201
209,329,1200
210,338,1142
211,333,1142
212,336,1131
213,332,1127
214,334,1116
215,122,1110
216,335,1089
217,121,1088
218,337,1083
219,339,1066
220,119,1053
221,120,1048
222,341,1041
223,Unable to assay. Clotted specimen.,1032
224,340,1013
225,342,999
226,347,998
227,345,988
228,344,987
229,343,963
230,346,962
231,117,947
232,118,935
233,116,929
234,352,915
235,115,912
236,348,911
237,350,909
238,349,907
239,Account Credited,890
240,351,889
241,114,885
242,354,867
243,113,865
244,112,856
245,353,848
246,355,835
247,358,835
248,356,827
249,360,815
250,357,803
251,111,801
252,363,770
253,359,759
254,364,734
255,361,733
256,109,731
257,110,724
258,108,720
259,362,706
260,367,705
261,107,704
262,365,694
263,102,693
264,366,687
265,370,686
266,104,682
267,368,677
268,371,675
269,105,666
270,369,655
271,373,652
272,106,640
273,103,639
274,101,632
275,375,628
276,374,624
277,372,622
278,376,603
279,379,602
280,380,591
281,378,584
282,377,581
283,381,576
284,383,562
285,384,552
286,100,541
287,385,533
288,390,532
289,388,525
290,386,523
291,382,514
292,389,505
293,393,502
294,400,483
295,387,478
296,98,477
297,396,475
298,96,469
299,392,466
300,391,464
301,394,460
302,403,451
303,395,450
304,99,445
305,397,440
306,97,438
307,94,433
308,399,426
309,95,420
310,398,417
311,Unable to report,410
312,401,403
313,402,403
314,407,394
315,408,385
316,406,384
317,93,384
318,92,382
319,91,378
320,405,374
321,414,371
322,90,370
323,417,367
324,409,367
325,404,356
326,410,351
327,419,343
328,413,339
329,412,338
330,421,332
331,89,331
332,411,329
333,415,327
334,88,326
335,86,324
336,87,323
337,416,322
338,424,312
339,85,309
340,425,308
341,83,307
342,423,302
343,418,301
344,84,299
345,427,299
346,420,296
347,82,296
348,422,290
349,77,281
350,80,279
351,434,277
352,78,274
353,81,273
354,426,271
355,430,270
356,431,269
357,428,269
358,79,267
359,440,267
360,429,266
361,433,264
362,432,263
363,436,253
364,435,253
365,73,242
366,437,241
367,445,239
368,75,238
369,438,236
370,446,234
371,76,231
372,444,230
373,441,229
374,442,222
375,455,221
376,439,221
377,447,220
378,74,219
379,449,217
380,72,217
381,443,215
382,70,213
383,450,208
384,68,206
385,452,204
386,456,199
387,69,199
388,457,198
389,71,197
390,448,196
391,453,196
392,458,196
393,465,195
394,63,195
395,459,195
396,462,194
397,454,192
398,64,192
399,66,191
400,460,191
401,65,189
402,470,188
403,461,187
404,67,185
405,"Platelets Clumped,Estimate Normal",175
406,62,174
407,451,170
408,463,166
409,53,163
410,61,163
411,468,161
412,59,160
413,471,159
414,57,159
415,473,159
416,464,156
417,60,155
418,469,154
419,54,152
420,467,150
421,474,150
422,56,149
423,58,149
424,478,148
425,466,145
426,475,144
427,472,143
428,485,142
429,477,142
430,51,142
431,52,141
432,482,141
433,50,140
434,479,140
435,480,139
436,481,139
437,484,134
438,490,129
439,476,127
440,483,125
441,489,124
442,494,124
443,492,124
444,55,123
445,496,122
446,486,118
447,41,118
448,498,117
449,488,116
450,"Platelets Clumped,Estimate Low",114
451,493,114
452,497,113
453,500,113
454,505,112
455,43,112
456,495,111
457,48,110
458,504,110
459,47,109
460,502,109
461,49,108
462,487,108
463,507,108
464,46,107
465,499,107
466,45,107
467,31,105
468,508,105
469,513,103
470,491,102
471,37,100
472,509,100
473,38,100
474,512,100
475,506,100
476,524,99
477,33,97
478,Duplicate request,97
479,40,97
480,531,96
481,511,95
482,501,95
483,522,95
484,525,93
485,32,92
486,30,91
487,519,91
488,44,91
489,42,90
490,510,90
491,35,90
492,34,90
493,518,89
494,520,88
495,503,87
496,521,86
497,516,85
498,514,84
499,534,83
500,529,81
501,517,81
502,515,81
503,Unable to assay. Quantity not sufficient.,79
504,545,77
505,36,77
506,547,77
507,555,77
508,39,77
509,526,77
510,Unable to count due to clumping on chamber. Estimate appears adequate.,77
511,539,76
512,530,75
513,540,74
514,554,74
515,528,72
516,23,72
517,532,72
518,542,72
519,527,71
520,544,70
521,541,69
522,546,68
523,523,68
524,24,66
525,26,66
526,535,66
527,533,66
528,Unable to assay. No specimen received.,66
529,538,65
530,18,64
531,549,64
532,21,63
533,556,63
534,563,63
535,537,62
536,564,61
537,14,60
538,20,60
539,568,60
540,548,59
541,557,59
542,553,57
543,543,57
544,536,57
545,29,57
546,552,57
547,566,56
548,559,55
549,561,55
550,19,55
551,570,55
552,569,54
553,27,53
554,560,52
555,15,52
556,565,52
557,25,51
558,28,51
559,550,50
560,562,50
561,588,50
562,583,49
563,567,49
564,581,48
565,577,48
566,572,48
567,587,48
568,573,47
569,22,47
570,571,47
571,551,47
572,579,46
