,index,primary_diagnosis_code
0,V3000,32772
1,Z3800,23612
2,78659,23090
3,R0789,16615
4,A419,15630
5,78650,14295
6,486,14217
7,42731,13768
8,V3001,13750
9,5849,13334
10,V5789,12961
11,0389,12900
12,R079,12472
13,71536,12303
14,N179,10984
15,J441,10798
16,49121,10248
17,Z3801,9766
18,5990,9730
19,41401,9463
20,7802,8848
21,71535,8747
22,J189,8655
23,I130,8544
24,49322,7964
25,41071,7486
26,R55,7364
27,N390,6495
28,6826,6345
29,I110,6231
30,43491,6183
31,42833,5906
32,42823,5775
33,56211,5673
34,4241,5638
35,I214,5616
36,F332,5484
37,27651,5451
38,64511,5339
39,65421,5338
40,5770,5331
41,29633,4677
42,99859,4642
43,I480,4623
44,M1711,4608
45,5070,4562
46,41519,4462
47,51881,4444
48,M1712,4364
49,M1611,4280
50,F10239,4089
51,27801,4071
52,49392,4066
53,E860,4062
54,42843,4040
55,V5811,3998
56,O480,3963
57,7804,3851
58,J440,3763
59,4280,3760
60,66411,3707
61,5609,3696
62,M1612,3625
63,00845,3581
64,5789,3531
65,29570,3527
66,4240,3522
67,185,3511
68,29181,3472
69,J690,3433
70,R42,3403
71,78039,3318
72,V552,3211
73,I481,3206
74,I2699,3138
75,5409,3119
76,4359,3072
77,45341,3066
78,E6601,3048
79,5921,2983
80,I25110,2923
81,66401,2894
82,J9621,2869
83,T814XXA,2854
84,64891,2841
85,I350,2829
86,J9601,2749
87,65971,2728
88,4019,2659
89,I639,2561
90,K5732,2546
91,42789,2534
92,29530,2530
93,2761,2512
94,Z5111,2506
95,C61,2488
96,25013,2481
97,R569,2476
98,Z432,2473
99,5589,2468
100,65961,2463
101,L03115,2445
102,L03116,2430
103,3310,2417
104,I4891,2410
105,J45901,2403
106,34590,2387
107,78900,2381
108,G459,2343
109,78701,2316
110,N132,2313
111,F200,2310
112,51884,2275
113,25080,2275
114,R531,2265
115,78097,2264
116,99664,2246
117,K921,2245
118,43310,2244
119,72402,2240
120,1890,2230
121,K529,2209
122,78060,2206
123,I5033,2205
124,O34211,2201
125,K922,2171
126,82021,2147
127,72210,2101
128,I5023,2083
129,57400,2075
130,A4151,2061
131,E1010,2046
132,43411,2043
133,I5043,2043
134,I160,2007
135,78909,2004
136,J101,1977
137,49122,1965
138,I340,1957
139,78906,1948
140,I132,1925
141,7840,1903
142,unkn,1899
143,R112,1884
144,E1165,1881
145,I2510,1879
146,4271,1865
147,5920,1860
148,5781,1846
149,64893,1840
150,99666,1804
151,55321,1793
152,34551,1788
153,56081,1766
154,4580,1758
155,M4806,1751
156,K5720,1699
157,F259,1686
158,71596,1685
159,56212,1666
160,2859,1649
161,E871,1648
162,42732,1636
163,03842,1630
164,K5660,1629
165,K3580,1627
166,O99824,1622
167,40391,1617
168,O76,1615
169,K8590,1612
170,I120,1604
171,2189,1595
172,40491,1557
173,7211,1542
174,99749,1511
175,G40119,1499
