,index,primary_diagnosis_desc
0,SINGLE LB-IN HOSPITL NEC,32772
1,"Single liveborn infant,delivered vaginally",23612
2,CHEST PAIN NEC,23090
3,Other chest pain,16615
4,"Sepsis,unspecified organism",15630
5,CHEST PAIN NOS,14295
6,"PNEUMONIA,ORGANISM NOS",14217
7,ATRIAL FIBRILLATION,13768
8,SINGLE LB/BY C-SECTION,13750
9,ACUTE KIDNEY FAILURE NOS,13334
10,REHABILITATION PROC NEC,12961
11,SEPTICEMIA NOS,12900
12,"Chest pain,unspecified",12472
13,LOC OSTEOARTH NOS-L/LEG,12303
14,"Acute kidney failure,unspecified",10984
15,Chronic obstructive pulmonary disease w (acute) ex,10798
16,OBST CH BRONCH W/ EXAC,10248
17,"Single liveborn infant,delivered by cesarean",9766
18,URIN TRACT INFECTION NOS,9730
19,CORNARY ATHERO-NATV VESL,9463
20,SYNCOPE AND COLLAPSE,8848
21,LOC OSTEOARTH NOS-PELVIS,8747
22,"Pneumonia,unspecified organism",8655
23,Hyp hrt & chr kdny dis w hrt fail and stg 1-4/unsp,8544
24,CHR OBS ASTHMA W/EXAC,7964
25,SUBENDO INFRC-INIT EPISD,7486
26,Syncope and collapse,7364
27,"Urinary tract infection,site not specified",6495
28,CELLULITIS OF LEG,6345
29,Hypertensive heart disease with heart failure,6231
30,CEREBR ART OCC W INFARCT,6183
31,AC-CHR DIASTOL HRT FAIL,5906
32,AC-CHR SYSTOL HRT FAIL,5775
33,DIVERTICULITIS OF COLON,5673
34,AORTIC VALVE DISORDER,5638
35,Non-ST elevation (NSTEMI) myocardial infarction,5616
36,"Major depressv disorder,recurrent severe w/o psyc",5484
37,DEHYDRATION,5451
38,POST TERM PREG-DELIVERED,5339
39,PREV C-SECT NOS-DELIVER,5338
40,ACUTE PANCREATITIS,5331
41,RECUR MJR DEPRESS-SEVERE,4677
42,OTHER POSTOP INFECTION,4642
43,Paroxysmal atrial fibrillation,4623
44,"Unilateral primary osteoarthritis,right knee",4608
45,FOOD/VOMIT PNEUMONITIS,4562
46,PUL EMBOLISM/INFARCT NEC,4462
47,ACUTE RESP FAILURE,4444
48,"Unilateral primary osteoarthritis,left knee",4364
49,"Unilateral primary osteoarthritis,right hip",4280
50,"Alcohol dependence with withdrawal,unspecified",4089
51,MORBID OBESITY,4071
52,ASTHMA NOS W/ EXACER,4066
53,Dehydration,4062
54,AC-CHR COMB S/D HRT FAIL,4040
55,ENC ANTINEOPLSTC CHEMO,3998
56,Post-term pregnancy,3963
57,DIZZINESS AND GIDDINESS,3851
58,Chronic obstructive pulmon disease w acute lower r,3763
59,CONGESTVE HRT FAILUR NOS,3760
60,DEL W 2 DEG LACERAT-DEL,3707
61,INTESTINAL OBSTRUCT NOS,3696
62,"Unilateral primary osteoarthritis,left hip",3625
63,C. DIFFICILE ENTERITIS,3581
64,GASTROINTEST HEMORR NOS,3531
65,SCHIZOAFFECTIVE DIS-UNSP,3527
66,MITRAL VALVE DISORDER,3522
67,MALIGN NEOPL PROSTATE,3511
68,ALCOHOL WITHDRAWAL,3472
69,Pneumonitis due to inhalation of food and vomit,3433
70,Dizziness and giddiness,3403
71,OTHER CONVULSIONS,3318
72,ATTEN TO ILEOSTOMY,3211
73,Persistent atrial fibrillation,3206
74,Other pulmonary embolism without acute cor pulmona,3138
75,ACUTE APPENDICITIS NOS,3119
76,TRANS CEREB ISCHEMIA NOS,3072
77,AC DVT/EMB PROX LOW EXT,3066
78,Morbid (severe) obesity due to excess calories,3048
79,CALCULUS OF URETER,2983
80,Athscl heart disease of native cor art w unstable ,2923
81,DEL W 1 DEG LACERAT-DEL,2894
82,Acute and chronic respiratory failure with hypoxia,2869
83,"Infection following a procedure,initial encounter",2854
84,OTH CURR COND-DELIVERED,2841
85,Nonrheumatic aortic (valve) stenosis,2829
86,Acute respiratory failure with hypoxia,2749
87,"ABN FETAL HRT RATE,DEL",2728
88,HYPERTENSION NOS,2659
89,"Cerebral infarction,unspecified",2561
90,Dvtrcli of lg int w/o perforation or abscess w/o b,2546
91,CARDIAC DYSRHYTHMIAS NEC,2534
92,PARANOID SCHIZO-UNSPEC,2530
93,HYPONATREMIA,2512
94,Encounter for antineoplastic chemotherapy,2506
95,Malignant neoplasm of prostate,2488
96,DM KETOACID TYPE I UNCNT,2481
97,Unspecified convulsions,2476
98,Encounter for attention to ileostomy,2473
99,NONINF GASTROENTERIT NEC,2468
100,ELDERLY MULTIGRAVIDA-DEL,2463
101,Cellulitis of right lower limb,2445
