,index,protein_total_admit_value
0,,1489253
1,6.6,6391
2,6.8,6386
3,6.7,6385
4,6.9,6345
5,7.0,6275
6,6.5,6062
7,6.4,5936
8,7.1,5923
9,7.2,5852
10,6.3,5604
11,7.3,5432
12,6.2,5340
13,7.4,4965
14,6.1,4961
15,6.0,4517
16,7.5,4465
17,5.9,4067
18,7.6,4055
19,5.8,3617
20,7.7,3541
21,5.7,3156
22,7.8,3025
23,7.9,2738
24,5.6,2672
25,5.5,2217
26,8.0,2177
27,5.4,1862
28,8.1,1807
29,5.3,1542
30,8.2,1486
31,5.2,1243
32,8.3,1136
33,8.4,986
34,5.1,967
35,5.0,805
36,8.5,757
37,4.9,632
38,8.6,572
39,4.8,479
40,8.7,475
41,4.7,353
42,8.8,332
43,8.9,297
44,4.6,273
45,4.5,229
46,9.0,222
47,4.4,174
48,9.1,173
49,Account Credited,162
50,4.3,141
51,9.2,118
52,9.3,103
53,9.4,95
54,4.2,88
55,Unacceptable due to gross hemolysis. Redraw requested.,85
56,4.1,84
57,Unable to assay. Specimen significantly hemolyzed.,78
58,9.5,66
59,9.6,60
60,4.0,54
61,3.9,42
62,Unable to assay. No specimen received.,40
63,9.7,38
64,Duplicate request,38
65,Unable to assay. Quantity not sufficient.,35
66,9.8,34
67,3.8,30
68,Unable to assay.  Unable to locate specimen.,29
69,9.9,29
70,10.0,24
71,Unable to assay. Specimen incorrectly identified.,24
72,Cancelled by clinician,22
73,Unable to assay. Possible interfering substance(s) present.,20
74,"CANCELLED,Specimen not collected or received",19
75,10.1,18
76,Specimen received unlabelled.,18
77,3.7,18
78,3.6,17
79,Specimen hemolyzed.,13
80,10.2,11
81,10.4,10
82,10.3,9
83,3.4,8
84,Identity unclear. Specimen labelled incorrectly.,7
85,10.8,7
86,10.7,7
87,3.3,7
88,Unable to assay. Specimen grossly hemolyzed.,6
89,10.6,6
90,10.5,6
91,3.5,5
92,"Test accessioning error,please disregard.",5
93,Requisitioning entry error,5
94,3.2,5
95,2.2,4
96,Unable to quantitate due to possible contamination.,4
97,Unable to assay. Specimen improperly collected/handled.,4
98,2.9,3
99,11.9,3
100,11.7,3
101,11.6,3
102,2.1,2
103,13.0,2
104,11.5,2
105,11.2,2
106,11.1,2
107,10.9,2
108,2.8,2
109,Unable to assay. Specimen significantly icteric.,2
110,3.0,2
111,<0.3,2
112,Specimen collected in wrong container type.,2
113,Patient refused collection,2
114,Disregard results. Specimen incorrectly identified.,2
115,MISLABELED,1
116,Unable to assay. Analytical difficulty.,1
117,Test inadvertently not performed,1
118,Specimen leaked in transport.,1
119,Specimen contaminated,1
120,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
121,SPECIMEN HEMOLYZED,1
122,POS CONTAMINATION 998335BY 897715 103018,1
123,Notified by unit that specimen labelled incorrectly.,1
124,11.0,1
125,Medical record number mismatch. Disregard results.,1
126,11.4,1
127,11.3,1
128,2.7,1
129,Incorrect test ordered.,1
130,Ignore results. Specimen was contaminated,1
131,Ignore results. Specimen hemolyzed,1
132,12.5,1
133,12.8,1
134,CONVERTED TO ISTAT,1
135,13.3,1
136,14.2,1
137,15.8,1
138,3.1,1
139,2.6,1
140,1.1,1
