,index,protein_total_discharge_value
0,,1496565
1,6.6,6138
2,6.7,6102
3,6.8,6013
4,6.5,5932
5,6.9,5915
6,6.4,5859
7,7.0,5750
8,6.3,5573
9,7.1,5407
10,6.2,5360
11,7.2,5316
12,6.1,4984
13,7.3,4886
14,6.0,4577
15,7.4,4420
16,5.9,4153
17,7.5,3908
18,5.8,3701
19,7.6,3542
20,5.7,3230
21,7.7,3076
22,5.6,2749
23,7.8,2665
24,7.9,2365
25,5.5,2301
26,5.4,1932
27,8.0,1881
28,5.3,1602
29,8.1,1551
30,8.2,1280
31,5.2,1273
32,5.1,1000
33,8.3,974
34,5.0,846
35,8.4,843
36,4.9,673
37,8.5,654
38,8.6,489
39,4.8,477
40,8.7,398
41,4.7,368
42,4.6,300
43,8.8,288
44,8.9,248
45,4.5,244
46,9.0,185
47,4.4,178
48,4.3,152
49,9.1,141
50,Account Credited,132
51,9.2,101
52,4.2,91
53,9.3,86
54,4.1,81
55,9.4,79
56,Unacceptable due to gross hemolysis. Redraw requested.,75
57,Unable to assay. Specimen significantly hemolyzed.,63
58,4.0,55
59,9.6,53
60,9.5,50
61,3.9,41
62,Duplicate request,40
63,Unable to assay. No specimen received.,40
64,9.7,34
65,Unable to assay. Quantity not sufficient.,34
66,Unable to assay.  Unable to locate specimen.,33
67,3.8,30
68,9.8,27
69,9.9,24
70,Cancelled by clinician,23
71,Unable to assay. Specimen incorrectly identified.,23
72,3.7,22
73,10.0,20
74,"CANCELLED,Specimen not collected or received",20
75,Unable to assay. Possible interfering substance(s) present.,20
76,Specimen received unlabelled.,17
77,3.6,17
78,10.1,16
79,Specimen hemolyzed.,12
80,10.2,9
81,3.4,9
82,10.4,8
83,10.8,7
84,10.3,7
85,3.3,7
86,Requisitioning entry error,6
87,Identity unclear. Specimen labelled incorrectly.,6
88,10.5,6
89,3.5,5
90,10.7,5
91,Unable to assay. Specimen grossly hemolyzed.,5
92,"Test accessioning error,please disregard.",5
93,3.2,4
94,2.9,4
95,10.6,4
96,Unable to quantitate due to possible contamination.,3
97,2.2,3
98,Unable to assay. Specimen improperly collected/handled.,3
99,11.6,3
100,11.7,3
101,11.9,3
102,11.5,2
103,Unable to assay. Specimen significantly icteric.,2
104,10.9,2
105,Patient refused collection,2
106,2.1,2
107,11.1,2
108,11.2,2
109,Specimen collected in wrong container type.,2
110,2.8,2
111,3.0,2
112,Disregard results. Specimen incorrectly identified.,2
113,<0.3,2
114,MISLABELED,1
115,11.0,1
116,Specimen leaked in transport.,1
117,Test inadvertently not performed,1
118,Unable to assay. Analytical difficulty.,1
119,SPECIMEN HEMOLYZED,1
120,12.5,1
121,11.3,1
122,11.4,1
123,12.8,1
124,13.3,1
125,14.2,1
126,15.8,1
127,2.6,1
128,2.7,1
129,Ignore results. Specimen was contaminated,1
130,Ignore results. Specimen hemolyzed,1
131,CONVERTED TO ISTAT,1
132,1.1,1
133,2.0,0
134,3.1,0
135,1.8,0
