,index,rbc_admit_value
0,,939764
1,4.30,4252
2,4.29,4250
3,4.23,4233
4,4.28,4222
5,4.21,4189
6,4.38,4173
7,4.27,4168
8,4.25,4156
9,4.39,4155
10,4.14,4150
11,4.37,4132
12,4.33,4131
13,4.17,4117
14,4.16,4116
15,4.26,4113
16,4.22,4112
17,4.32,4100
18,4.31,4098
19,4.40,4096
20,4.34,4095
21,4.36,4078
22,4.35,4077
23,4.41,4073
24,4.18,4069
25,4.45,4066
26,4.24,4050
27,4.20,4047
28,4.43,4023
29,4.11,4011
30,4.44,4002
31,4.48,4001
32,4.12,3998
33,4.13,3971
34,4.42,3968
35,4.19,3964
36,4.09,3962
37,4.15,3959
38,4.54,3954
39,4.46,3951
40,4.51,3946
41,4.10,3945
42,4.50,3930
43,4.47,3878
44,4.07,3873
45,4.08,3866
46,4.05,3861
47,4.06,3843
48,4.49,3835
49,4.01,3827
50,4.03,3823
51,4.59,3809
52,4.02,3800
53,4.52,3797
54,4.56,3797
55,4.04,3796
56,4.55,3781
57,4.57,3780
58,3.96,3729
59,4.58,3713
60,4.00,3709
61,3.99,3703
62,4.53,3680
63,4.61,3679
64,3.97,3592
65,4.60,3591
66,3.98,3569
67,4.62,3559
68,4.63,3545
69,3.94,3514
70,3.95,3509
71,4.64,3497
72,4.67,3469
73,3.93,3452
74,4.65,3451
75,3.92,3444
76,4.66,3433
77,3.91,3421
78,3.90,3390
79,4.71,3352
80,4.68,3350
81,3.85,3349
82,3.86,3335
83,4.69,3320
84,3.87,3313
85,3.84,3294
86,3.89,3290
87,4.76,3262
88,3.88,3262
89,4.72,3253
90,3.83,3227
91,4.73,3224
92,4.70,3203
93,4.75,3200
94,3.80,3113
95,4.74,3099
96,3.81,3096
97,3.82,3094
98,4.79,3059
99,4.78,3049
100,3.79,3022
101,3.76,3011
102,4.77,2965
103,3.78,2932
104,4.80,2930
105,3.77,2912
106,4.81,2910
107,3.74,2875
108,4.84,2849
109,3.75,2838
110,3.71,2822
111,3.73,2791
112,4.83,2746
113,4.82,2744
114,3.72,2743
115,3.69,2727
116,4.85,2702
117,4.86,2691
118,3.68,2686
119,3.67,2680
120,3.70,2677
121,3.64,2633
122,4.89,2631
123,4.87,2614
124,3.66,2581
125,3.63,2532
126,4.90,2511
127,3.65,2494
128,4.91,2482
129,4.88,2479
130,4.92,2447
131,3.60,2397
132,3.61,2388
133,3.62,2367
134,4.93,2337
135,4.94,2325
136,3.57,2295
137,4.95,2283
138,3.58,2273
139,4.97,2254
140,3.59,2247
141,4.96,2236
142,3.55,2218
143,3.56,2213
144,3.52,2197
145,4.98,2164
146,3.53,2162
147,4.99,2161
148,3.54,2156
149,5.01,2139
150,3.51,2068
151,5.00,2065
152,3.49,2064
153,3.50,2049
154,3.46,2040
155,5.02,2032
156,5.03,1994
157,3.48,1946
158,5.04,1940
159,3.47,1934
160,5.05,1901
161,3.45,1892
162,3.42,1891
163,3.41,1858
