,index,rdw_admit_value
0,,975809
1,13.2,22793
2,13.4,21604
3,13.5,21557
4,13.3,21129
5,13.6,20778
6,13.1,20491
7,13.7,20372
8,13.0,19438
9,13.8,19398
10,13.9,18915
11,12.9,18506
12,14.0,18008
13,14.1,16985
14,12.8,16911
15,14.2,16201
16,14.3,15235
17,12.7,15129
18,14.4,14428
19,14.5,13767
20,14.6,13680
21,12.6,13442
22,14.7,12051
23,12.5,11685
24,14.9,11553
25,14.8,11328
26,15.0,9951
27,12.4,9680
28,15.1,9362
29,15.2,8733
30,15.3,8409
31,12.3,8013
32,15.4,7844
33,15.5,7407
34,15.6,7049
35,15.7,6660
36,12.2,6433
37,15.9,6331
38,15.8,6158
39,16.0,5578
40,16.1,5207
41,16.2,5053
42,12.1,4826
43,16.3,4654
44,16.4,4433
45,16.5,4289
46,16.6,4058
47,16.7,3761
48,12.0,3660
49,16.8,3557
50,16.9,3460
51,17.0,3326
52,17.2,3114
53,11.9,3059
54,17.1,3045
55,17.3,2721
56,17.4,2656
57,17.5,2380
58,17.6,2287
59,17.7,2202
60,17.8,2099
61,17.9,1915
62,18.0,1866
63,18.1,1823
64,11.8,1790
65,18.2,1654
66,18.3,1621
67,18.4,1582
68,18.6,1480
69,18.5,1465
70,18.7,1365
71,18.8,1180
72,11.7,1179
73,18.9,1166
74,19.0,1161
75,19.1,1031
76,Unable to assay. Clotted specimen.,1007
77,19.3,955
78,19.2,943
79,19.4,910
80,Account Credited,862
81,19.6,831
82,19.5,815
83,19.7,766
84,19.8,732
85,19.9,719
86,11.6,715
87,20.0,641
88,20.1,587
89,20.2,574
90,20.4,559
91,20.3,521
92,20.5,498
93,11.5,488
94,20.6,468
95,20.7,460
96,20.9,425
97,Unable to report,420
98,20.8,406
99,21.2,405
100,21.0,397
101,21.3,346
102,21.1,338
103,21.4,310
104,11.4,281
105,21.7,279
106,21.5,275
107,21.6,271
108,21.8,247
109,22.0,235
110,21.9,235
111,22.2,213
112,22.5,211
113,22.4,211
114,22.3,201
115,22.1,197
116,11.3,194
117,<<DO NOT REPORT>>,182
118,22.8,174
119,22.9,174
120,22.6,171
121,23.0,167
122,22.7,149
123,23.2,142
124,23.3,136
125,23.1,132
126,23.4,128
127,23.5,124
128,11.2,120
129,23.9,119
130,23.6,111
131,23.7,111
132,23.8,105
133,Duplicate request,93
134,24.2,92
135,24.4,89
136,24.1,89
137,24.0,87
138,Unable to assay. Quantity not sufficient.,77
