,index,socialsecuritydeathdate
0,,1628647
1,2011-09-09,21
2,2011-05-21,14
3,2011-09-25,14
4,2011-07-02,13
5,2011-09-03,13
6,2011-09-22,12
7,2011-07-22,12
8,2011-08-21,11
9,2011-06-23,11
10,2011-08-22,10
11,2011-05-12,9
12,2011-12-03,9
13,2011-08-15,9
14,2011-07-09,9
15,2011-07-05,9
16,2011-06-29,9
17,2011-07-08,9
18,2012-08-27,9
19,2011-08-05,8
20,2011-08-18,8
21,2011-07-23,8
22,2011-07-13,7
23,2011-04-11,7
24,2011-08-20,7
25,2011-04-19,7
26,2011-07-25,7
27,2011-11-26,7
28,2011-07-15,7
29,2011-10-09,7
30,2011-08-25,7
31,2011-09-05,7
32,2011-07-04,7
33,2011-12-23,7
34,2011-06-10,7
35,2011-06-11,7
36,2011-07-29,6
37,2011-12-21,6
38,2012-12-14,6
39,2011-08-03,6
40,2011-08-13,6
41,2011-05-29,6
42,2011-04-05,6
43,2011-09-23,6
44,2011-02-21,6
45,2011-06-16,6
46,2011-08-04,6
47,2011-04-14,6
48,2011-11-22,6
49,2011-03-13,6
50,2011-09-14,6
51,2011-05-30,6
52,2011-04-22,6
53,2011-09-01,6
54,2011-11-14,5
55,2011-09-12,5
56,2011-07-18,5
57,2011-08-23,5
58,2011-06-13,5
59,2011-05-01,5
60,2011-09-10,5
61,2011-08-19,5
62,2011-05-05,5
63,2011-07-20,5
64,2012-02-19,5
65,2011-05-22,5
66,2011-07-27,5
67,2011-09-28,5
68,2011-04-01,5
69,2011-07-21,5
70,2012-07-13,5
71,2011-05-24,5
72,2011-08-12,5
73,2011-09-13,5
74,2012-12-16,5
75,2011-02-14,5
76,2011-09-17,5
77,2011-07-10,5
78,2011-09-11,5
79,2011-07-12,5
80,2011-09-08,5
81,2011-06-02,5
82,2011-06-30,5
83,2011-08-26,5
84,2011-07-24,5
85,2012-08-04,4
86,2011-08-09,4
87,2011-06-05,4
88,2011-06-26,4
89,2012-08-10,4
90,2011-02-16,4
91,2011-03-29,4
92,2011-08-06,4
93,2011-02-15,4
94,2011-04-17,4
95,2011-02-10,4
96,2011-08-02,4
97,2011-05-26,4
98,2011-03-16,4
99,2011-09-02,4
100,2011-04-21,4
101,2011-08-16,4
102,2011-11-09,4
103,2011-05-13,4
104,2011-12-01,4
105,2011-12-30,4
106,2011-10-24,4
107,2011-08-24,4
108,2011-12-20,4
109,2011-05-02,4
110,2011-10-26,4
111,2011-07-30,4
112,2011-08-11,4
113,2011-06-25,4
114,2011-09-24,4
115,2011-10-06,4
116,2011-09-19,4
117,2011-08-08,4
118,2011-09-06,4
119,2011-08-29,4
120,2011-10-29,4
121,2011-05-20,4
122,2011-04-20,4
123,2011-02-26,4
124,2011-05-03,4
125,2012-06-26,4
126,2011-06-14,4
127,2011-11-13,4
128,2011-06-03,4
129,2011-02-24,3
130,2012-12-27,3
131,2011-05-14,3
132,2012-08-28,3
133,2011-11-07,3
134,2011-03-04,3
135,2011-06-06,3
136,2011-06-20,3
137,2012-09-25,3
138,2012-08-31,3
139,2011-04-30,3
140,2012-10-23,3
141,2012-10-04,3
142,2011-05-17,3
143,2012-12-22,3
144,2011-11-11,3
145,2011-10-01,3
146,2011-01-25,3
147,2012-12-21,3
148,2011-03-25,3
149,2012-10-03,3
150,2011-04-02,3
151,2011-03-12,3
152,2011-08-28,3
153,2011-08-07,3
154,2011-04-04,3
155,2012-12-11,3
156,2011-06-19,3
157,2012-09-15,3
158,2011-06-12,3
159,2011-03-26,3
160,2012-05-16,3
161,2011-07-01,3
162,2012-08-22,3
163,2011-10-08,3
164,2011-06-28,3
165,2012-11-22,3
166,2011-03-28,3
167,2011-04-27,3
168,2012-09-02,3
169,2011-02-28,3
170,2011-06-04,3
171,2011-03-21,3
172,2011-09-15,3
173,2011-05-11,3
174,2011-04-29,3
175,2011-06-08,3
176,2012-08-25,3
177,2012-12-28,3
178,2012-08-05,3
179,2011-07-14,3
180,2011-02-11,3
181,2011-08-31,3
182,2011-04-15,3
183,2011-10-13,3
184,2011-03-23,3
185,2011-05-28,3
186,2011-03-30,3
187,2011-06-07,3
188,2011-05-07,3
189,2011-07-17,3
190,2011-06-21,3
191,2011-03-20,3
192,2012-10-11,3
193,2012-09-19,3
194,2011-11-05,3
195,2011-03-06,3
196,2011-07-31,3
197,2011-03-15,3
198,2011-05-15,3
199,2011-05-16,3
200,2011-03-01,3
201,2011-10-14,3
202,2012-11-28,2
203,2011-09-04,2
204,2011-07-06,2
205,2012-06-09,2
206,2011-04-06,2
207,2011-07-03,2
208,2012-06-17,2
209,2011-02-02,2
210,2012-06-23,2
211,2011-02-27,2
212,2011-04-28,2
213,2011-03-27,2
214,2011-10-30,2
215,2011-10-21,2
216,2011-10-28,2
217,2012-05-25,2
218,2012-07-20,2
219,2011-11-21,2
220,2011-02-18,2
221,2012-05-02,2
222,2011-09-20,2
223,2012-10-25,2
224,2012-10-16,2
225,2011-08-27,2
226,2012-12-04,2
227,2011-06-18,2
228,2012-10-09,2
229,2012-09-05,2
230,2011-11-23,2
231,2012-08-16,2
232,2011-06-17,2
233,2011-12-22,2
234,2012-12-31,2
235,2011-06-27,2
236,2011-09-26,2
237,2011-04-09,2
238,2012-11-15,2
239,2011-05-09,2
240,2011-01-14,2
241,2011-01-11,2
242,2011-05-19,2
243,2011-09-07,2
244,2011-10-05,2
245,2011-04-18,2
246,2011-10-27,2
247,2011-01-27,2
248,2012-11-09,2
249,2011-05-06,2
250,2012-11-13,2
251,2011-12-14,2
252,2012-12-07,2
253,2011-03-10,2
254,2012-10-05,2
255,2011-10-18,2
256,2011-07-26,2
257,2011-04-07,2
258,2011-11-20,2
259,2011-12-11,2
260,2012-07-07,2
261,2012-05-13,2
262,2012-11-14,2
263,2012-06-01,2
264,2011-05-23,2
265,2012-06-08,2
266,2011-11-03,2
267,2011-07-11,2
268,2011-03-09,2
269,2011-09-21,2
270,2011-03-31,2
271,2011-02-09,2
272,2012-07-31,2
273,2011-12-25,2
274,2011-07-16,2
275,2011-08-17,2
276,2012-03-26,2
277,2011-03-02,2
278,2012-07-29,2
279,2011-10-10,2
280,2012-12-20,2
281,2012-08-11,2
282,2012-05-08,2
283,2011-10-31,2
284,2012-08-15,2
285,2012-08-13,2
286,2012-10-12,2
287,2011-02-19,2
288,2012-06-11,2
289,2012-05-27,2
290,2011-08-10,2
291,2012-02-10,2
292,2012-08-20,2
293,2011-02-17,2
294,2011-12-07,2
