,index,sodium_admit_value
0,,1308334
1,139,41773
2,140,39299
3,138,38997
4,137,32697
5,141,31637
6,136,25457
7,142,21885
8,135,18418
9,143,13192
10,134,12742
11,133,8989
12,144,7132
13,132,6390
14,131,4319
15,145,3424
16,130,2993
17,129,2158
18,146,1651
19,128,1606
20,127,1110
21,126,807
22,147,741
23,125,534
24,124,429
25,148,402
26,123,272
27,149,216
28,122,189
29,Account Credited,185
30,121,170
31,120,136
32,Duplicate request,132
33,150,115
34,151,97
35,Unacceptable due to gross hemolysis. Redraw requested.,91
36,Unable to assay. Specimen significantly hemolyzed.,89
37,119,71
38,Unable to assay. No specimen received.,69
39,152,67
40,154,56
41,Unable to assay. Quantity not sufficient.,53
42,118,52
43,Cancelled by clinician,42
44,Unable to assay.  Unable to locate specimen.,40
45,117,39
46,"CANCELLED,Specimen not collected or received",39
47,155,38
48,153,37
49,156,34
50,Unable to assay. Possible interfering substance(s) present.,34
51,157,32
52,Unable to assay. Specimen incorrectly identified.,30
53,116,28
54,115,25
55,Specimen received unlabelled.,18
56,158,15
57,114,13
58,159,12
59,Specimen hemolyzed.,12
60,110,12
61,113,11
62,112,10
63,Unable to assay. Specimen improperly collected/handled.,9
64,111,9
65,Identity unclear. Specimen labelled incorrectly.,8
66,165,8
67,160,7
68,Unable to quantitate due to possible contamination.,7
69,164,7
70,109,6
71,166,6
72,108,6
73,169,6
74,Requisitioning entry error,6
75,163,5
76,161,5
77,Unable to assay. Specimen grossly hemolyzed.,5
78,"Test accessioning error,please disregard.",5
79,136.9,5
80,136.6,4
81,162,4
82,107,4
83,104,3
84,173,3
85,see below,3
86,Disregard results. Specimen incorrectly identified.,3
87,105,3
88,168,3
89,135.2,3
90,171,3
91,135.6,2
92,137.3,2
93,138.5,2
94,Patient refused collection,2
95,138.2,2
96,Specimen collected in wrong container type.,2
97,137.9,2
98,137.5,2
99,137.1,2
100,135.7,2
101,135.3,2
102,134.9,2
103,Patient expired,2
104,136.7,2
105,Unable to assay. Specimen too old to perform test.,2
106,136.4,2
107,136.1,2
108,167,2
109,135.0,2
110,Ignore results. Specimen was contaminated,2
111,Patient discharged,2
112,139.3,2
113,170,2
114,172,2
115,141.6,2
116,174,2
117,176,2
118,132.0,1
119,125.9,1
120,134.0,1
121,134.4,1
122,128.1,1
123,134.6,1
124,102,1
125,129.5,1
126,134.7,1
127,128.5,1
128,125.7,1
129,123.8,1
130,124.5,1
131,132.6,1
132,133.7,1
133,130.2,1
134,130.5,1
135,113.8,1
136,131.3,1
137,133.6,1
138,133.1,1
139,131.4,1
140,133.0,1
141,131.8,1
142,132.7,1
143,132.9,1
144,140.0,1
145,135.4,1
146,Medical record number mismatch. Disregard results.,1
147,194,1
148,198,1
149,>180,1
150,ACRE,1
151,CONVERTED TO ISTAT,1
152,"DUPLICATE ORDER,PATIENT CREDITED",1
153,Ignore results.  Ordered on wrong patient.,1
154,Ignore results.  Specimen mislabeled.,1
155,Ignore results. Specimen hemolyzed,1
156,LCAN LOCATION TOUTING ERROR,1
157,MISID NOTIFIED SHENEFE DIAL 04/06 1340 TS,1
158,MISLABELED,1
159,Notified by unit that specimen labelled incorrectly.,1
160,135.5,1
161,POS CONTAMINATION 998335BY 897715 103018,1
162,PT EXPIRED,1
163,SPECIMEN HEMOLYZED,1
164,SPECIMEN HEMOLYZED NURSE TO REDRAW,1
165,Specimen contaminated,1
166,Specimen drawn in wrong tube.,1
167,Test inadvertently not performed,1
168,Test reordered on another CCHS MRN.,1
169,"UNSUITABLE FOR ANALYSIS,SAMPLES LEFT AT SATELLITE",1
170,Unable to assay due to viscosity of specimen.,1
171,Unable to assay. Analytical difficulty.,1
172,Unable to quantitate due to age of specimen.,1
173,180,1
174,179,1
175,178,1
176,139.1,1
177,136.0,1
178,136.3,1
179,136.8,1
180,137.0,1
181,138.0,1
182,138.1,1
183,138.3,1
184,138.4,1
185,138.6,1
186,138.8,1
187,138.9,1
188,177,1
189,139.0,1
190,139.5,1
191,139.8,1
192,139.9,1
193,140.5,1
194,140.7,1
195,140.8,1
196,141.7,1
197,142.3,1
198,145.8,1
199,150.2,1
200,175,1
201,101,1
202,132.5,0
203,124.4,0
204,136.2,0
