,index,time_from_admission_to_death_socialsecurity
0,,1628647
1,6 days 23:59:00.000000000,3
2,7 days 03:02:00.000000000,2
3,15 days 09:55:00.000000000,2
4,33 days 08:00:00.000000000,2
5,7 days 23:59:00.000000000,2
6,0 days 03:36:00.000000000,2
7,12 days 10:00:00.000000000,2
8,98 days 23:59:00.000000000,2
9,57 days 23:59:00.000000000,2
10,1 days 23:59:00.000000000,2
11,0 days 23:59:00.000000000,2
12,36 days 23:59:00.000000000,2
13,2 days 23:59:00.000000000,2
14,4 days 23:59:00.000000000,2
15,0 days 03:40:00.000000000,2
16,28 days 00:00:00.000000000,1
17,8 days 14:12:00.000000000,1
18,28 days 18:50:00.000000000,1
19,188 days 04:24:00.000000000,1
20,54 days 07:06:00.000000000,1
21,48 days 07:11:00.000000000,1
22,140 days 09:15:00.000000000,1
23,26 days 04:40:00.000000000,1
24,86 days 11:15:00.000000000,1
25,30 days 05:46:00.000000000,1
26,15 days 05:06:00.000000000,1
27,43 days 23:59:00.000000000,1
28,77 days 13:39:00.000000000,1
29,28 days 10:55:00.000000000,1
30,120 days 07:31:00.000000000,1
31,51 days 12:23:00.000000000,1
32,15 days 00:49:00.000000000,1
33,65 days 05:00:00.000000000,1
34,47 days 08:49:00.000000000,1
35,13 days 08:00:00.000000000,1
36,125 days 23:59:00.000000000,1
37,18 days 06:10:00.000000000,1
38,58 days 02:58:00.000000000,1
39,56 days 01:48:00.000000000,1
40,52 days 08:11:00.000000000,1
41,63 days 08:45:00.000000000,1
42,139 days 01:26:00.000000000,1
43,77 days 10:23:00.000000000,1
44,16 days 04:47:00.000000000,1
45,241 days 23:25:00.000000000,1
46,34 days 23:12:00.000000000,1
47,31 days 04:34:00.000000000,1
48,61 days 03:31:00.000000000,1
49,66 days 15:42:00.000000000,1
50,37 days 08:30:00.000000000,1
51,243 days 03:40:00.000000000,1
52,44 days 02:58:00.000000000,1
53,172 days 15:15:00.000000000,1
54,6 days 06:56:00.000000000,1
55,7 days 02:59:00.000000000,1
56,96 days 10:15:00.000000000,1
57,12 days 09:34:00.000000000,1
58,6 days 08:54:00.000000000,1
59,45 days 04:36:00.000000000,1
60,25 days 01:47:00.000000000,1
61,1 days 09:39:00.000000000,1
62,15 days 09:45:00.000000000,1
63,123 days 02:07:00.000000000,1
64,155 days 23:59:00.000000000,1
65,114 days 06:47:00.000000000,1
66,1 days 02:32:00.000000000,1
67,9 days 22:40:00.000000000,1
68,0 days 04:23:00.000000000,1
69,116 days 02:04:00.000000000,1
70,16 days 04:51:00.000000000,1
71,40 days 06:22:00.000000000,1
72,156 days 06:05:00.000000000,1
73,11 days 13:53:00.000000000,1
74,11 days 04:57:00.000000000,1
75,3 days 14:40:00.000000000,1
76,134 days 05:45:00.000000000,1
77,4 days 02:17:00.000000000,1
78,16 days 23:09:00.000000000,1
79,105 days 16:58:00.000000000,1
80,41 days 21:48:00.000000000,1
81,102 days 05:24:00.000000000,1
82,126 days 02:27:00.000000000,1
83,34 days 07:53:00.000000000,1
84,102 days 03:22:00.000000000,1
85,14 days 04:42:00.000000000,1
86,7 days 05:49:00.000000000,1
87,32 days 09:33:00.000000000,1
88,11 days 01:28:00.000000000,1
89,17 days 04:14:00.000000000,1
90,0 days 02:34:00.000000000,1
91,35 days 00:57:00.000000000,1
92,40 days 05:34:00.000000000,1
93,38 days 14:30:00.000000000,1
94,5 days 21:43:00.000000000,1
95,92 days 00:31:00.000000000,1
96,55 days 04:27:00.000000000,1
97,4 days 05:55:00.000000000,1
98,40 days 02:27:00.000000000,1
99,45 days 05:11:00.000000000,1
100,172 days 04:43:00.000000000,1
101,184 days 07:00:00.000000000,1
102,48 days 07:20:00.000000000,1
103,55 days 23:59:00.000000000,1
104,1 days 22:56:00.000000000,1
105,48 days 09:22:00.000000000,1
106,11 days 23:15:00.000000000,1
107,43 days 21:05:00.000000000,1
108,134 days 07:51:00.000000000,1
109,25 days 11:52:00.000000000,1
110,4 days 09:50:00.000000000,1
111,48 days 04:04:00.000000000,1
112,14 days 01:00:00.000000000,1
113,202 days 01:23:00.000000000,1
114,25 days 04:46:00.000000000,1
115,170 days 05:22:00.000000000,1
116,77 days 08:43:00.000000000,1
117,73 days 04:34:00.000000000,1
118,70 days 05:28:00.000000000,1
119,54 days 06:46:00.000000000,1
120,36 days 20:34:00.000000000,1
121,91 days 13:42:00.000000000,1
122,46 days 05:07:00.000000000,1
123,166 days 23:28:00.000000000,1
124,29 days 19:30:00.000000000,1
125,83 days 10:12:00.000000000,1
126,9 days 06:06:00.000000000,1
127,26 days 03:55:00.000000000,1
128,163 days 14:47:00.000000000,1
129,247 days 22:32:00.000000000,1
130,114 days 02:38:00.000000000,1
131,22 days 02:10:00.000000000,1
132,70 days 08:15:00.000000000,1
133,59 days 08:29:00.000000000,1
134,29 days 13:24:00.000000000,1
135,59 days 09:30:00.000000000,1
136,18 days 00:30:00.000000000,1
137,15 days 07:04:00.000000000,1
138,43 days 07:17:00.000000000,1
139,261 days 10:00:00.000000000,1
140,0 days 09:19:00.000000000,1
141,5 days 02:28:00.000000000,1
142,66 days 08:00:00.000000000,1
143,85 days 03:13:00.000000000,1
144,59 days 07:26:00.000000000,1
145,3 days 04:34:00.000000000,1
146,10 days 01:21:00.000000000,1
147,97 days 04:03:00.000000000,1
148,84 days 18:17:00.000000000,1
149,67 days 16:06:00.000000000,1
150,212 days 09:13:00.000000000,1
151,16 days 08:03:00.000000000,1
152,26 days 23:59:00.000000000,1
153,5 days 05:44:00.000000000,1
154,39 days 07:21:00.000000000,1
155,2 days 09:15:00.000000000,1
156,5 days 04:07:00.000000000,1
157,11 days 00:31:00.000000000,1
158,101 days 06:36:00.000000000,1
159,35 days 23:58:00.000000000,1
160,247 days 05:47:00.000000000,1
161,120 days 19:39:00.000000000,1
162,38 days 23:17:00.000000000,1
163,77 days 00:00:00.000000000,1
164,40 days 03:41:00.000000000,1
165,3 days 04:47:00.000000000,1
166,14 days 09:56:00.000000000,1
167,41 days 23:59:00.000000000,1
168,10 days 22:29:00.000000000,1
169,76 days 11:48:00.000000000,1
170,0 days 16:26:00.000000000,1
171,8 days 01:47:00.000000000,1
172,15 days 10:07:00.000000000,1
173,70 days 05:41:00.000000000,1
174,7 days 09:22:00.000000000,1
175,41 days 15:38:00.000000000,1
176,41 days 07:20:00.000000000,1
177,10 days 09:51:00.000000000,1
178,0 days 12:00:00.000000000,1
179,37 days 10:14:00.000000000,1
180,84 days 09:47:00.000000000,1
181,19 days 02:39:00.000000000,1
182,19 days 16:27:00.000000000,1
183,13 days 05:15:00.000000000,1
184,9 days 08:44:00.000000000,1
185,213 days 04:59:00.000000000,1
186,70 days 12:44:00.000000000,1
187,62 days 23:59:00.000000000,1
188,43 days 01:45:00.000000000,1
189,96 days 06:54:00.000000000,1
190,13 days 10:07:00.000000000,1
191,16 days 21:38:00.000000000,1
192,316 days 02:23:00.000000000,1
193,132 days 22:35:00.000000000,1
194,12 days 18:00:00.000000000,1
195,31 days 07:41:00.000000000,1
196,88 days 23:05:00.000000000,1
197,7 days 05:32:00.000000000,1
198,25 days 08:46:00.000000000,1
199,9 days 03:39:00.000000000,1
200,129 days 02:52:00.000000000,1
201,164 days 02:01:00.000000000,1
202,156 days 08:59:00.000000000,1
203,1 days 14:40:00.000000000,1
204,29 days 08:59:00.000000000,1
205,2 days 20:44:00.000000000,1
206,10 days 10:00:00.000000000,1
207,39 days 08:52:00.000000000,1
208,105 days 12:37:00.000000000,1
209,45 days 00:40:00.000000000,1
210,33 days 20:37:00.000000000,1
211,18 days 06:32:00.000000000,1
212,5 days 08:26:00.000000000,1
213,83 days 00:37:00.000000000,1
214,43 days 05:36:00.000000000,1
215,60 days 23:41:00.000000000,1
216,87 days 07:52:00.000000000,1
217,2 days 06:17:00.000000000,1
218,38 days 21:06:00.000000000,1
219,12 days 21:03:00.000000000,1
220,3 days 00:09:00.000000000,1
221,1 days 02:50:00.000000000,1
222,31 days 06:14:00.000000000,1
223,36 days 15:04:00.000000000,1
224,46 days 10:00:00.000000000,1
225,38 days 08:19:00.000000000,1
226,10 days 06:53:00.000000000,1
227,66 days 02:03:00.000000000,1
228,83 days 04:18:00.000000000,1
229,26 days 21:00:00.000000000,1
230,0 days 08:45:00.000000000,1
231,5 days 21:13:00.000000000,1
232,0 days 06:43:00.000000000,1
233,40 days 05:51:00.000000000,1
234,202 days 08:16:00.000000000,1
235,33 days 22:52:00.000000000,1
236,54 days 03:55:00.000000000,1
237,5 days 04:09:00.000000000,1
238,0 days 00:50:00.000000000,1
239,32 days 10:55:00.000000000,1
240,51 days 07:13:00.000000000,1
241,27 days 03:06:00.000000000,1
242,83 days 02:55:00.000000000,1
243,154 days 05:12:00.000000000,1
244,0 days 07:57:00.000000000,1
245,4 days 21:41:00.000000000,1
246,31 days 00:08:00.000000000,1
247,54 days 17:08:00.000000000,1
248,112 days 01:16:00.000000000,1
249,186 days 21:36:00.000000000,1
250,86 days 00:12:00.000000000,1
251,90 days 03:20:00.000000000,1
252,50 days 01:09:00.000000000,1
253,94 days 02:15:00.000000000,1
254,30 days 08:05:00.000000000,1
255,24 days 05:10:00.000000000,1
256,116 days 00:20:00.000000000,1
257,8 days 19:35:00.000000000,1
258,8 days 18:34:00.000000000,1
259,35 days 10:19:00.000000000,1
260,31 days 08:07:00.000000000,1
261,126 days 01:53:00.000000000,1
262,107 days 05:17:00.000000000,1
263,1 days 09:00:00.000000000,1
264,46 days 06:40:00.000000000,1
265,12 days 07:41:00.000000000,1
266,5 days 05:27:00.000000000,1
267,17 days 06:56:00.000000000,1
268,305 days 11:42:00.000000000,1
269,0 days 15:56:00.000000000,1
270,80 days 07:18:00.000000000,1
271,18 days 00:00:00.000000000,1
272,3 days 06:19:00.000000000,1
273,173 days 02:09:00.000000000,1
274,42 days 20:49:00.000000000,1
275,203 days 07:57:00.000000000,1
276,39 days 11:20:00.000000000,1
277,48 days 03:46:00.000000000,1
278,4 days 18:16:00.000000000,1
279,69 days 15:45:00.000000000,1
280,24 days 00:49:00.000000000,1
281,4 days 03:14:00.000000000,1
282,76 days 00:06:00.000000000,1
283,8 days 10:30:00.000000000,1
284,130 days 05:26:00.000000000,1
285,9 days 23:41:00.000000000,1
286,67 days 11:45:00.000000000,1
287,133 days 06:34:00.000000000,1
288,62 days 02:33:00.000000000,1
289,18 days 04:39:00.000000000,1
290,12 days 18:39:00.000000000,1
291,9 days 16:30:00.000000000,1
292,46 days 21:55:00.000000000,1
293,15 days 08:36:00.000000000,1
294,14 days 09:39:00.000000000,1
295,19 days 04:50:00.000000000,1
296,77 days 05:10:00.000000000,1
297,262 days 13:58:00.000000000,1
298,75 days 05:01:00.000000000,1
299,92 days 04:30:00.000000000,1
300,302 days 00:30:00.000000000,1
301,54 days 14:44:00.000000000,1
302,145 days 06:36:00.000000000,1
303,47 days 04:14:00.000000000,1
304,12 days 21:07:00.000000000,1
305,12 days 01:00:00.000000000,1
306,131 days 09:02:00.000000000,1
307,20 days 08:04:00.000000000,1
308,11 days 23:59:00.000000000,1
309,14 days 22:00:00.000000000,1
310,73 days 11:24:00.000000000,1
311,152 days 01:21:00.000000000,1
312,222 days 13:00:00.000000000,1
313,44 days 23:35:00.000000000,1
314,98 days 18:10:00.000000000,1
315,1 days 09:35:00.000000000,1
316,226 days 07:05:00.000000000,1
317,42 days 06:09:00.000000000,1
318,57 days 01:03:00.000000000,1
319,5 days 13:57:00.000000000,1
320,223 days 05:57:00.000000000,1
321,1 days 19:45:00.000000000,1
322,12 days 22:56:00.000000000,1
323,318 days 01:44:00.000000000,1
324,96 days 14:32:00.000000000,1
325,114 days 04:06:00.000000000,1
326,162 days 06:18:00.000000000,1
