,,Grouped by 30-day readmissions,Grouped by 30-day readmissions
,,0,1
variable,level,,
n,,1050053,220631
"Age, median [Q1,Q3]",,"58.0 [36.0,72.0]","63.0 [49.0,76.0]"
"Gender, n (%)",Female,579754 (56.1),116563 (53.6)
"Gender, n (%)",Male,454282 (43.9),100913 (46.4)
"Race/Ethnicity, n (%)",Black,223425 (21.6),56737 (26.1)
"Race/Ethnicity, n (%)",Other,71498 (6.9),12328 (5.7)
"Race/Ethnicity, n (%)",White,739113 (71.5),148411 (68.2)
"Marital status, n (%)",Divorced or separated,89384 (8.6),23533 (10.8)
"Marital status, n (%)",Married or partnered,419186 (40.5),79993 (36.8)
"Marital status, n (%)",Other,18306 (1.8),3831 (1.8)
"Marital status, n (%)",Single,395301 (38.2),79653 (36.6)
"Marital status, n (%)",Widow,111859 (10.8),30466 (14.0)
"Cancer, n (%)",0.0,921642 (89.1),176000 (80.9)
"Cancer, n (%)",1.0,112394 (10.9),41476 (19.1)
"Metastatic solid tumor, n (%)",0.0,1002007 (96.9),203209 (93.4)
"Metastatic solid tumor, n (%)",1.0,32029 (3.1),14267 (6.6)
"Solid organ transplant, n (%)",0.0,1014256 (98.1),208763 (96.0)
"Solid organ transplant, n (%)",1.0,19780 (1.9),8713 (4.0)
"AIDS/HIV, n (%)",0.0,1031297 (99.7),216255 (99.4)
"AIDS/HIV, n (%)",1.0,2739 (0.3),1221 (0.6)
"Renal disease, n (%)",0.0,926377 (89.6),171804 (79.0)
"Renal disease, n (%)",1.0,107659 (10.4),45672 (21.0)
"Mild liver disease, n (%)",0.0,975590 (94.3),194243 (89.3)
"Mild liver disease, n (%)",1.0,58446 (5.7),23233 (10.7)
"Moderate or severe liver disease, n (%)",0.0,1022047 (98.8),210125 (96.6)
"Moderate or severe liver disease, n (%)",1.0,11989 (1.2),7351 (3.4)
"Diabetes with chronic complication, n (%)",0.0,953969 (92.3),186370 (85.7)
"Diabetes with chronic complication, n (%)",1.0,80067 (7.7),31106 (14.3)
"Diabetes without chronic complication, n (%)",0.0,844686 (81.7),154138 (70.9)
"Diabetes without chronic complication, n (%)",1.0,189350 (18.3),63338 (29.1)
"Hypertension, n (%)",0,409733 (39.6),51826 (23.8)
"Hypertension, n (%)",1,624303 (60.4),165650 (76.2)
"Myocardial infarction, n (%)",0.0,990227 (95.8),200085 (92.0)
"Myocardial infarction, n (%)",1.0,43809 (4.2),17391 (8.0)
"CHF, n (%)",0.0,902253 (87.3),165463 (76.1)
"CHF, n (%)",1.0,131783 (12.7),52013 (23.9)
"Cerebrovascular disease, n (%)",0.0,910934 (88.1),176042 (80.9)
"Cerebrovascular disease, n (%)",1.0,123102 (11.9),41434 (19.1)
"COPD, n (%)",0.0,835272 (80.8),152216 (70.0)
"COPD, n (%)",1.0,198764 (19.2),65260 (30.0)
"Pneumonia, n (%)",0.0,917556 (88.7),168694 (77.6)
"Pneumonia, n (%)",1.0,116480 (11.3),48782 (22.4)
"Dementia, n (%)",0.0,997386 (96.5),204813 (94.2)
"Dementia, n (%)",1.0,36650 (3.5),12663 (5.8)
"Anxiety, n (%)",0.0,909143 (87.9),179302 (82.4)
"Anxiety, n (%)",1.0,124893 (12.1),38174 (17.6)
"Depression, n (%)",0.0,860068 (83.2),162053 (74.5)
"Depression, n (%)",1.0,173968 (16.8),55423 (25.5)
"Psychosis, n (%)",0.0,1002006 (96.9),203165 (93.4)
"Psychosis, n (%)",1.0,32030 (3.1),14311 (6.6)
"Receiving dialysis, n (%)",0,1023692 (99.0),212215 (97.6)
"Receiving dialysis, n (%)",1,10344 (1.0),5261 (2.4)
"On total parenteral nutrition before or during admission, n (%)",0.0,1026073 (99.2),214009 (98.4)
"On total parenteral nutrition before or during admission, n (%)",1.0,7963 (0.8),3467 (1.6)
"Low hemoglobin level (<12) at discharge, n (%)",0,870288 (84.2),173031 (79.6)
"Low hemoglobin level (<12) at discharge, n (%)",1,163748 (15.8),44445 (20.4)
"Low sodium level (<135) at discharge, n (%)",0,1008754 (97.6),209674 (96.4)
"Low sodium level (<135) at discharge, n (%)",1,25282 (2.4),7802 (3.6)
"Total ED visits in the last 6 months, median [Q1,Q3]",,"0.0 [0.0,1.0]","1.0 [0.0,3.0]"
"Number of patients with any ED visits in past 6 months, n (%)",N,619708 (59.9),82545 (38.0)
"Number of patients with any ED visits in past 6 months, n (%)",Y,414328 (40.1),134931 (62.0)
"Admitted from the ED, n (%)",0.0,543176 (52.5),90246 (41.5)
"Admitted from the ED, n (%)",1.0,490860 (47.5),127230 (58.5)
"Total number of previous hospitalizations, median [Q1,Q3]",,"1.0 [0.0,2.0]","2.0 [0.0,6.0]"
"Admission class, n (%)",Ambulatory Surgical Procedures,6277 (0.6),595 (0.3)
"Admission class, n (%)",Emergency,2468 (0.2),294 (0.1)
"Admission class, n (%)",Hospice,357 (0.0),39 (0.0)
"Admission class, n (%)",Inpatient,805328 (77.9),180767 (83.1)
"Admission class, n (%)",Observation,209986 (20.3),34564 (15.9)
"Admission class, n (%)",Other,3372 (0.3),299 (0.1)
"Admission class, n (%)",Outpatient,3412 (0.3),474 (0.2)
"Admission class, n (%)",Psychiatric inpatient,2836 (0.3),444 (0.2)
"Discharge location, n (%)",Home,788421 (76.2),122867 (56.5)
"Discharge location, n (%)",Home Care Services,102713 (9.9),29591 (13.6)
"Discharge location, n (%)",Hospice,9720 (0.9),4475 (2.1)
"Discharge location, n (%)",Intermediate care facility,7136 (0.7),1747 (0.8)
"Discharge location, n (%)",Left Against Medical Advice,10307 (1.0),3359 (1.5)
"Discharge location, n (%)",Long-Term Care Facility,8619 (0.8),4598 (2.1)
"Discharge location, n (%)",Other,3852 (0.4),2410 (1.1)
"Discharge location, n (%)",Skilled nursing facility,100923 (9.8),39593 (18.2)
"Discharge location, n (%)",Transfer to a psychiatric hospital,1300 (0.1),5386 (2.5)
"Discharge location, n (%)",Transfer to another hospital,1045 (0.1),3450 (1.6)
"Days since last discharge (for patients with previous admissions), median [Q1,Q3]",,"119.5 [25.3,415.7]","40.2 [10.9,167.2]"
"Length of stay in days, median [Q1,Q3]",,"2.8 [1.6,4.9]","3.9 [2.0,7.0]"
"30-day readmissions, n (%)",0,1034036 (100.0),
"30-day readmissions, n (%)",1,,217476 (100.0)
