,Time,Target,Number of Features,ROC AUC,Average Precision,Brier Score Loss
0,2019-04-05-1444,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1451,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1500,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1522,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1541,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1554,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1601,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1610,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1622,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1628,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1637,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
0,2019-04-05-1654,readmitted30d,291,0.7316327022209376,0.3334131136372222,0.10726360396222892
