,Time,Target,Number of Features,ROC AUC,Average Precision,Brier Score Loss
0,2019-03-27-1435,readmitted30d,10,0.780461771266828,0.48618734582779377,0.12064655536163553
0,2019-03-27-1450,length_of_stay_over_7_days,10,0.8358637057003159,0.5614542215876136,0.11896282042446174
0,2019-03-27-1549,financialclass_binary,10,0.9210991084120422,0.9618107544151531,0.09920287690477875
0,2019-03-27-1800,gender_binary,10,0.7861905591842524,0.7323248736287692,0.1865786461332007
0,2019-03-27-1915,race_binary,10,0.9114872514238677,0.8514018279904607,0.09800717918606541
0,2019-03-27-2018,readmitted30d,20,0.7799470197395413,0.49019571220644453,0.12028765799751052
0,2019-03-27-2029,length_of_stay_over_7_days,20,0.835192493598271,0.5610551921042245,0.11865893378262657
0,2019-03-27-2047,financialclass_binary,20,0.9180696905909571,0.9594775546351069,0.10026116295995972
0,2019-03-27-2118,gender_binary,20,0.8292677954911805,0.78825030096565,0.16840463714928874
0,2019-03-27-2229,race_binary,20,0.9127694909247006,0.8534551482230308,0.09730317489815463
0,2019-03-27-2312,readmitted30d,30,0.7808861550956094,0.4917642456662291,0.12013689564736951
0,2019-03-27-2323,length_of_stay_over_7_days,30,0.8400852081917994,0.571172473477457,0.11715608369724012
0,2019-03-27-2337,financialclass_binary,30,0.9175108437961903,0.9588742896103183,0.10034607842124188
0,2019-03-28-0011,gender_binary,30,0.8472866853162268,0.8106041581208012,0.15920760480104273
0,2019-03-28-0055,race_binary,30,0.9131830927439626,0.8549569056481269,0.09663048850114658
0,2019-03-28-0121,readmitted30d,40,0.7812940133092396,0.49254540285956117,0.12007941217765235
0,2019-03-28-0133,length_of_stay_over_7_days,40,0.8413287088075277,0.572800826358129,0.11692367758252728
0,2019-03-28-0152,financialclass_binary,40,0.9186687521687764,0.9594934091290674,0.09978773110369701
0,2019-03-28-0227,gender_binary,40,0.8569533660077921,0.8226623708653786,0.15354849355443576
0,2019-03-28-0308,race_binary,40,0.915173717864554,0.8583747029953271,0.09541746885648014
0,2019-03-28-0333,readmitted30d,50,0.7819534299902309,0.4933426463336883,0.12008208101998923
0,2019-03-28-0348,length_of_stay_over_7_days,50,0.8451495766357581,0.5813652810471034,0.1158100157186887
0,2019-03-28-0411,financialclass_binary,50,0.9195787051598416,0.9599866786440181,0.09913034143747632
0,2019-03-28-0452,gender_binary,50,0.8686381988938292,0.8401758023473408,0.14682369296858921
0,2019-03-28-0540,race_binary,50,0.9158861239349758,0.8595131266776213,0.0949372501596215
0,2019-03-28-0606,readmitted30d,60,0.7819831577745626,0.49323973644282293,0.12002110303990614
0,2019-03-28-0622,length_of_stay_over_7_days,60,0.8458318098324962,0.583567029957454,0.11559943399666467
0,2019-03-28-0650,financialclass_binary,60,0.9209173687002647,0.9607197630713284,0.09820233675900845
0,2019-03-28-0732,gender_binary,60,0.87039797334229,0.8418622128064218,0.1458717408945594
0,2019-03-28-0824,race_binary,60,0.9163736699184148,0.860210302583926,0.09458897876372742
0,2019-03-28-0859,readmitted30d,280,0.7823829315840324,0.4938861263839027,0.11994965301447542
0,2019-03-28-0920,length_of_stay_over_7_days,170,0.8465153398086394,0.5839989510605027,0.11536733481933484
0,2019-03-28-1000,financialclass_binary,274,0.9209242759076584,0.960580259838835,0.09812745446513292
0,2019-03-28-1125,gender_binary,293,0.8776574789010395,0.8511088782870911,0.1417603859862578
0,2019-03-28-1312,race_binary,291,0.9188820055749716,0.864370722685028,0.09289747357674356
0,2019-03-28-1821,readmitted30d,10,0.765378820273771,0.37328275454410553,0.10281555372985716
