,feature_ugly,feature_pretty
0,Patient age,Age
1,Marital status,Marital status
2,Hypertension,Hypertension
3,Race,Race
4,Number morbidities,Number of morbidities
5,Ed 6month total,Number of ED visits in past 6 months
6,Primary diagnosis code,Primary diagnosis
7,Number past admissions,Number of past admissions
8,Admit source description,Admit source description
9,Acs blockgroup geoid,ACS BlockGroup GeoID
10,Dischargedispositiondescription,Discharge disposition description
11,Medsondischargedate,Medications administered in hospital on day of discharge
12,Acs population employed civilians,ACS Employed population count
13,Ed 6month,Has had at least 1 ED encounter in the past 6 months
14,Acs 200 and over ratio income poverty level past 12 mo,ACS Income over twice the poverty level
15,Acs married couple family,ACS Number of married couple families
16,Acs race white alone,"ACS Race, white alone"
17,Acs total population count,ACS Total population count
18,Days between current admission and previous discharge,Days between current admission and previous discharge
19,Acs 50 to 99 ratio income poverty level past 12 mo,ACS Income between 50 and 99 percent of poverty level
20,Gender,Gender
21,Bmi discharge,BMI on discharge
22,Bmi admit,BMI on admission
23,Depression,Depression
24,Acs under 50 ratio income poverty level past 12 mo,ACS Income below 50 percent of poverty level
25,Any cancer not skin,"Cancer, excluding skin cancers"
26,Rdw admit value,RDW value on admission
27,Acs race black alone,"ACS Race, black alone"
28,Length of stay in days,Length of stay in days
29,Discharge diastolic bp,Diastolic BP on discharge
30,Wbc admit value,WBC value on admission
31,B23025 003e,ACS Population employed
32,Admit diastolic bp,Diastolic BP on admission
33,Renal disease,Renal disease
34,Ed admission,Admitted from ED
35,Metastatic solid tumor,Metastatic solid tumor
36,Acs 125 to 149 ratio income poverty level past 12 mo,ACS Income between 125 and 149 percent of poverty level
37,Abs neut anc admit value,ANC value on admission
38,Cerebrovascular disease,Cerebrovascular disease
39,Acs 100 to 124 ratio income poverty level past 12 mo,ACS Income between 100 and 124 percent of poverty level
40,Congestive heart failure,Congestive heart failure
41,Admit systolic bp,Systolic BP on admission
42,Dischargemeds,Number of prescribed homegoing medications on day of discharge
43,Epilepsy,Epilepsy
44,Primary language,Primary language
45,Acs 150 to 184 ratio income poverty level past 12 mo,ACS Income between 150 and 184 percent of poverty level
