Characteristic,,Overall,Not readmitted within 30 days,Readmitted within 30 days,Hospital stay less than 7 days,Hospital stay over 7 days
,,,,,,
n,,1485880,1274858,211022,1234148,251732
,,,,,,
"Age, median [Q1,Q3]",,"59.0 [39.0,73.0]","59.0 [38.0,73.0]","62.0 [48.0,76.0]","58.0 [36.0,72.0]","66.0 [54.0,78.0]"
,,,,,,
"Gender, n (\%)",\hspace{3mm} Female,826025 (55.6),713391 (56.0),112634 (53.4),698382 (56.6),127643 (50.7)
,,,,,,
"Race/Ethnicity, n (\%)",\hspace{3mm} Black,333212 (22.4),276208 (21.7),57004 (27.0),276476 (22.4),56736 (22.5)
,\hspace{3mm} Other,96592 (6.5),84755 (6.7),11837 (5.6),83453 (6.8),13139 (5.2)
,\hspace{3mm} White,1055180 (71.1),913085 (71.7),142095 (67.4),873453 (70.8),181727 (72.2)
,,,,,,
"Marital status, n (\%)",\hspace{3mm} Divorced or separated,134841 (9.1),111680 (8.8),23161 (11.0),108779 (8.8),26062 (10.4)
,\hspace{3mm} Married or partnered,594375 (40.0),515620 (40.5),78755 (37.3),494338 (40.1),100037 (39.7)
,\hspace{3mm} Other,26200 (1.8),22847 (1.8),3353 (1.6),21347 (1.7),4853 (1.9)
,\hspace{3mm} Single,554116 (37.3),477592 (37.5),76524 (36.3),472301 (38.3),81815 (32.5)
,\hspace{3mm} Widowed,175822 (11.8),146611 (11.5),29211 (13.8),136888 (11.1),38934 (15.5)
,,,,,,
"Financial Class, n (\%)",\hspace{3mm} Medicaid,221969 (16.4),188630 (16.3),33339 (17.0),193978 (17.2),27991 (12.1)
,\hspace{3mm} Medicare,725125 (53.5),601752 (51.9),123373 (63.0),567435 (50.5),157690 (68.4)
,\hspace{3mm} Other,78269 (5.8),70553 (6.1),7716 (3.9),69940 (6.2),8329 (3.6)
,\hspace{3mm} Private health insurance,329842 (24.3),298444 (25.7),31398 (16.0),293292 (26.1),36550 (15.9)
,,,,,,
"Cancer, n (\%)",,183367 (12.3),142205 (11.2),41162 (19.5),140188 (11.4),43179 (17.2)
"Metastatic solid tumor, n (\%)",,55906 (3.8),41867 (3.3),14039 (6.7),42339 (3.4),13567 (5.4)
"Solid organ transplant, n (\%)",,33780 (2.3),24928 (2.0),8852 (4.2),22837 (1.9),10943 (4.3)
"AIDS/HIV, n (\%)",,4552 (0.3),3310 (0.3),1242 (0.6),3703 (0.3),849 (0.3)
"Renal disease, n (\%)",,177544 (11.9),133099 (10.4),44445 (21.1),129114 (10.5),48430 (19.2)
"Mild liver disease, n (\%)",,93947 (6.3),71396 (5.6),22551 (10.7),73362 (5.9),20585 (8.2)
"Moderate or severe liver disease, n (\%)",,22816 (1.5),15542 (1.2),7274 (3.4),15971 (1.3),6845 (2.7)
